criterion,family,param,IS_trades,IS_win_rate,IS_profit_factor,IS_avg_trade,IS_median_trade,IS_total_return,IS_cagr,IS_sharpe,IS_max_drawdown,IS_calmar,IS_exposure,IS_ending_equity,Validation_trades,Validation_win_rate,Validation_profit_factor,Validation_avg_trade,Validation_median_trade,Validation_total_return,Validation_cagr,Validation_sharpe,Validation_max_drawdown,Validation_calmar,Validation_exposure,Validation_ending_equity,OOS_trades,OOS_win_rate,OOS_profit_factor,OOS_avg_trade,OOS_median_trade,OOS_total_return,OOS_cagr,OOS_sharpe,OOS_max_drawdown,OOS_calmar,OOS_exposure,OOS_ending_equity
cagr,RVOL50_min,0.75,68,0.75,3.291018074525273,0.048461137326593705,0.04362563129968766,12.835005500065233,0.5507954032682452,1.147860550742891,-0.4884931582236043,1.1275396471696795,0.11920529801324503,1383500.5500065233,26,0.6538461538461539,2.6536224664363672,0.030522595263128064,0.00988641233634624,0.9696233428121681,0.40770956903818156,1.0277845440321653,-0.3197632613188607,1.275035685327286,0.162,196962.3342812168,14,0.7142857142857143,2.7465113905088376,0.04757445787614613,0.065020392625883,0.739009561200769,0.3189650267622295,0.7283690540484469,-0.3988610298971422,0.7996896233369396,0.08946322067594434,173900.9561200769
sharpe,ADX20_min,15,60,0.7333333333333333,3.7708558959294476,0.05371744176706285,0.049291542586719195,12.693243397778875,0.5481301537349461,1.186971747705415,-0.45911426095451235,1.1938861419712101,0.10198675496688742,1369324.3397778876,23,0.6956521739130435,3.517889116918602,0.03696211173198482,0.01275690999291279,1.1150926402859014,0.45923448514781384,1.1585603399218003,-0.2587891122517628,1.774551027869549,0.14,211509.26402859014,13,0.8461538461538461,74.07685718707168,0.0809302509110672,0.05507549140632406,1.6770491981265332,0.6367209219214183,1.1198147733453354,-0.23964945388002512,2.6568845103238905,0.07157057654075547,267704.91981265333
baseline,baseline,,71,0.7183098591549296,2.56608440885869,0.04080870191112186,0.04212328048836844,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,887242.9658021608,27,0.6666666666666666,2.6802044294614777,0.02986460691978676,0.010132158590308471,0.9947496505163627,0.41674074070254497,1.0329217125833705,-0.3197632613188608,1.3032789914129015,0.166,199474.96505163627,18,0.7777777777777778,3.65497786851002,0.05624952527125863,0.065020392625883,1.415889744923978,0.5547828658723246,0.9952879614988505,-0.3988610298971422,1.3909176988671752,0.10337972166998012,241588.9744923978
