period,signal_date,wr2,cci5,soxl_close,previous_high,qqq_close,qqq_ema200,action,regime_weight,exit_reason,trade_id,execution_date,execution_underlying_open
IS,2017-08-14,-2.7158557557171124,37.57095586890082,6.326,5.906667,143.93,132.35339326753208,SELL,,close>prev_high+wr>-30+cci>0,10,2017-08-15,6.386
IS,2017-12-04,-94.39560285593488,-98.51935993287458,8.584667,9.5534,152.71,141.4826344165704,BUY,1.0,,11,2017-12-05,8.533333
IS,2017-12-07,-10.509373971037306,43.53656223464241,9.056667,8.844667,154.02,141.83624856837446,SELL,,close>prev_high+wr>-30+cci>0,11,2017-12-08,9.343333
IS,2018-01-25,-99.94483709134109,-127.46669107071496,11.029333,12.236,168.35,147.1089030963425,BUY,1.0,,12,2018-01-26,11.466667
IS,2018-01-26,-1.879324616836949,-9.990006438489297,12.075333,12.09538,170.93,147.3459289361799,SELL,,wr>-30,12,2018-01-29,11.916
IS,2018-02-02,-99.86307615840988,-163.57716761820106,10.468667,11.927333,164.61,148.35961267928522,BUY,1.0,,13,2018-02-05,10.2
IS,2018-02-12,-10.1938372093023,27.87061279398649,9.365333,9.036,158.87,148.93027180950838,SELL,,close>prev_high+wr>-30+cci>0,13,2018-02-13,9.125333
IS,2018-03-22,-98.79248685320069,-124.01344888736217,11.35,12.822667,162.8,153.37955561204348,BUY,1.0,,14,2018-03-23,11.284667
IS,2018-03-26,-0.6188760283011332,-49.6692052529381,11.499333,11.372,164.4,153.53975302078,SELL,,close>prev_high+wr>-30,14,2018-03-27,11.84
IS,2018-03-28,-93.91205436528496,-132.1738889694246,9.569333,11.851333,157.25,153.6312492110569,BUY,1.0,,15,2018-03-29,9.788667
IS,2018-03-29,-25.85593070344008,-60.42992540625051,10.188,10.302667,160.13,153.69591339801158,SELL,,wr>-30,15,2018-04-02,9.88
IS,2018-04-06,-92.20745318140459,-142.29913361598673,8.708667,10.1286,156.63,153.90432224100567,BUY,1.0,,16,2018-04-09,9.046
IS,2018-04-10,-14.698129921259705,59.99673946493839,9.720667,9.623333,161.21,154.01470322680294,SELL,,close>prev_high+wr>-30+cci>0,16,2018-04-11,9.574667
IS,2018-04-19,-93.9055125892614,-165.00513639782724,9.005333,10.525513,164.91,154.65288665068982,BUY,1.0,,17,2018-04-20,9.0
IS,2018-04-26,-2.3529061418427797,29.757364582971753,8.596,8.281333,161.99,154.94539080119065,SELL,,close>prev_high+wr>-30+cci>0,17,2018-04-27,8.904
IS,2018-06-22,-92.28726985130662,-112.54500847769978,10.733333,11.658667,175.32,160.23790706861587,BUY,1.0,,18,2018-06-25,10.333333
IS,2018-07-02,-21.303258145363397,-52.065165405114506,9.607333,9.777333,172.8,160.89228249986144,SELL,,wr>-30,18,2018-07-03,9.697333
IS,2018-09-06,-97.58966588520687,-166.66666666666535,10.386667,11.526,181.81,168.12112903655503,BUY,1.0,,19,2018-09-07,10.266667
IS,2018-09-10,-22.75009656237914,-58.2848997576243,10.595333,10.716667,181.72,168.38439768759724,SELL,,wr>-30,19,2018-09-11,10.417333
IS,2018-09-25,-90.16383364583653,-94.55270149323034,10.284667,10.871327,184.14,169.95106206921477,BUY,1.0,,20,2018-09-26,10.18
IS,2018-09-28,-21.24591349560452,-28.136446118367246,10.307333,10.22,185.79,170.40474642844688,SELL,,close>prev_high+wr>-30,20,2018-10-01,10.392667
IS,2018-10-10,-99.12913443943846,-134.0302555462808,7.664667,8.954,171.73,171.23891387349576,BUY,1.0,,21,2018-10-11,7.646667
IS,2018-10-16,-3.607135991121952,132.5265098679762,8.371333,7.88,177.22,171.32221844547485,SELL,,close>prev_high+wr>-30+cci>0,21,2018-10-17,8.532667
IS,2018-10-19,-91.10345134363753,-95.44463927402127,7.286,8.166667,173.02,171.41561832913484,BUY,1.0,,22,2018-10-22,7.433333
IS,2018-10-23,-26.375926586300995,-96.29605992625753,7.308667,7.558667,173.27,171.45864264379765,SELL,,wr>-30,22,2018-10-24,6.944
IS,2018-10-24,-98.12499999999999,-153.685303810021,5.863333,7.433333,165.34,171.39776062744144,BUY,0.5,,23,2018-10-25,6.000667
IS,2018-10-30,-0.6909235838327874,55.17117087375865,6.47,6.3694,165.92,171.21332307398194,SELL,,close>prev_high+wr>-30+cci>0,23,2018-10-31,6.766667
IS,2018-11-12,-92.13232605299024,-155.75776178122442,6.168,7.276573,166.33,171.1888296052,BUY,0.5,,24,2018-11-13,6.267333
IS,2018-11-15,-8.271821169933077,58.88650185919226,7.125333,6.771333,168.09,171.05297429561057,SELL,,close>prev_high+wr>-30+cci>0,24,2018-11-16,6.39
IS,2018-11-19,-99.11089377403366,-97.99920069561323,6.071333,6.963113,162.06,170.9284907571712,BUY,0.5,,25,2018-11-20,5.572667
IS,2018-11-26,-0.5113814011390991,105.10102162105711,6.518667,6.333333,162.89,170.51644625010334,SELL,,close>prev_high+wr>-30+cci>0,25,2018-11-27,6.406
IS,2018-12-19,-92.34875444839862,-140.78078755384777,5.267333,6.305333,154.53,169.53110400658892,BUY,0.5,,26,2018-12-20,5.240667
IS,2018-12-26,-2.790681211813434,-30.760946464320828,5.221802,4.923333,152.46,168.7241290645944,SELL,,close>prev_high+wr>-30,26,2018-12-27,4.956667
IS,2019-01-03,-98.60817038778113,-117.29882734211381,4.688667,5.822233,149.82,167.9566039265388,BUY,0.5,,27,2019-01-04,4.922
IS,2019-01-04,-13.12849162011177,-46.15355955305711,5.294667,5.388667,156.23,167.83992130040411,SELL,,wr>-30,27,2019-01-07,5.398667
IS,2019-03-06,-97.96839843769833,-116.68678919317203,8.132,8.710667,173.56,167.96409741593794,BUY,1.0,,28,2019-03-07,8.0
IS,2019-03-08,-29.96971242698663,-100.2652961504966,7.842667,8.040667,171.17,168.03014038683594,SELL,,wr>-30,28,2019-03-11,7.988667
IS,2019-05-13,-92.80582952321404,-145.17981991087436,9.212,10.923333,178.58,173.9224974673821,BUY,1.0,,29,2019-05-14,9.553333
IS,2019-05-14,-14.655282960108469,-60.76613089189409,9.871333,9.858667,180.54,173.98834326372656,SELL,,close>prev_high+wr>-30,29,2019-05-15,9.522
IS,2019-05-20,-91.21598195245986,-153.75187817889437,7.95,9.715333,179.95,174.33143682377556,BUY,1.0,,30,2019-05-21,8.466667
IS,2019-05-21,-15.758556478858692,-63.87062428002296,8.45,8.373333,181.83,174.40604939269323,SELL,,close>prev_high+wr>-30,30,2019-05-22,7.982
IS,2019-06-17,-94.53160900676167,-88.63462698736807,7.855333,8.143333,183.74,175.16569141295847,BUY,1.0,,31,2019-06-18,8.144667
IS,2019-06-18,-13.316224005114474,55.75960754586249,8.88,8.110667,186.41,175.27757508049123,SELL,,close>prev_high+wr>-30+cci>0,31,2019-06-19,9.026667
IS,2019-06-25,-94.51422615445539,-116.67762708419085,8.619333,9.133333,184.93,175.8743476433611,BUY,1.0,,32,2019-06-26,9.188667
IS,2019-06-26,-16.357643590184207,112.7506482742532,9.429333,9.17066,185.79,175.97301085088984,SELL,,close>prev_high+wr>-30+cci>0,32,2019-06-27,9.603333
IS,2019-08-23,-93.6110164217616,-166.66666666666748,9.212,10.755333,182.07,180.39957743977504,BUY,1.0,,33,2019-08-26,9.668667
IS,2019-08-29,-14.192399049881246,166.66666666666694,10.156667,9.552667,187.92,180.60260795414982,SELL,,close>prev_high+wr>-30+cci>0,33,2019-08-30,10.440667
IS,2019-12-02,-92.4668244911993,-166.30721892197218,14.113333,15.070667,203.0,187.74701933762276,BUY,1.0,,34,2019-12-03,13.153333
IS,2019-12-04,-11.27414460198868,-33.22089710724893,14.100667,13.475333,202.43,188.02771596715922,SELL,,close>prev_high+wr>-30,34,2019-12-05,14.316667
IS,2020-01-27,-97.48237834361029,-166.04575530109526,18.041333,22.066667,218.1,195.93644467128996,BUY,1.0,,35,2020-01-28,18.733333
IS,2020-01-28,-10.517580392151714,-57.74589288975425,19.332667,18.796487,221.45,196.1903108934662,SELL,,close>prev_high+wr>-30,35,2020-01-29,19.117333
IS,2020-01-31,-91.16286527952386,-146.88549585187224,16.240667,18.37262,219.07,196.92801215042323,BUY,1.0,,36,2020-02-03,16.468
IS,2020-02-04,-1.7736429698832263,57.2003516657155,18.433333,16.940667,227.47,197.48264620105715,SELL,,close>prev_high+wr>-30+cci>0,36,2020-02-05,19.413333
IS,2020-02-21,-92.33331544440269,-119.08519616814556,18.896667,21.66666,230.27,201.46050970280243,BUY,1.0,,37,2020-02-24,16.222
IS,2020-02-28,-23.324881801160696,-90.46828587385359,13.666667,14.342,205.8,202.0161904233623,SELL,,wr>-30,37,2020-03-02,14.5
IS,2020-03-09,-99.47739227585083,-146.98551672980585,9.886,13.566,193.57,202.44882219596607,BUY,0.5,,38,2020-03-10,11.128
IS,2020-03-10,-1.0034823594893927,-69.56661025494664,11.773333,11.79266,204.11,202.46535132834452,SELL,,wr>-30,38,2020-03-11,10.719333
IS,2020-03-12,-99.96920117451113,-149.0389629474722,6.802667,11.132667,177.32,202.14377312328338,BUY,0.5,,39,2020-03-13,8.074
IS,2020-03-13,-10.663308144416435,-71.90651859584374,8.661333,8.915333,192.34,202.0462231419572,SELL,,wr>-30,39,2020-03-16,5.985333
IS,2020-03-16,-98.49999971153841,-104.29041592839289,5.318667,8.733333,169.3,201.7203900758681,BUY,0.5,,40,2020-03-17,5.32
IS,2020-03-24,-0.7650115208430865,166.66666666666674,6.249333,4.938667,183.66,200.27237020779697,SELL,,close>prev_high+wr>-30+cci>0,40,2020-03-25,6.363333
IS,2020-04-01,-90.51916759492956,-157.6838007538533,5.294,7.08258,182.31,199.52136868052688,BUY,0.5,,41,2020-04-02,5.184
IS,2020-04-06,-3.8887510798563363,100.86921088745984,7.102667,5.960667,196.48,199.20021593751392,SELL,,close>prev_high+wr>-30+cci>0,41,2020-04-07,7.909333
IS,2020-04-21,-93.40494871991524,-131.58992682500735,6.886,8.566667,204.89,199.93883467700715,BUY,1.0,,42,2020-04-22,7.495333
IS,2020-04-22,-10.16949152542374,-20.447890777799113,8.039333,7.773867,210.97,200.04859751604192,SELL,,close>prev_high+wr>-30,42,2020-04-23,8.080667
IS,2020-05-01,-96.28888042947197,-163.78891745343415,7.406667,9.655333,212.74,201.03305308882528,BUY,1.0,,43,2020-05-04,7.208667
IS,2020-05-05,-33.36936815024516,-22.558123569380637,8.000667,7.635667,217.66,201.33825438406402,SELL,,close>prev_high,43,2020-05-06,8.266667
IS,2020-06-11,-99.4909649488744,-166.66666666666688,10.516,13.382667,234.02,208.12094102051464,BUY,1.0,,44,2020-06-12,11.492
IS,2020-06-15,-11.193073779887554,-55.24892998032011,11.432667,11.598667,238.75,208.69916896496127,SELL,,wr>-30,44,2020-06-16,12.406
IS,2020-09-08,-98.67985767326734,-115.18284749317289,14.174,17.363333,269.95,235.29424995788693,BUY,1.0,,45,2020-09-09,15.209333
IS,2020-09-09,-21.903141061662627,-60.21838271037595,15.346,15.612667,277.88,235.71798876427613,SELL,,wr>-30,45,2020-09-10,15.85
IS,2020-10-21,-95.87741151763468,-127.80020555787075,19.589333,20.520667,284.19,246.9233708028287,BUY,1.0,,46,2020-10-22,19.726
IS,2020-10-29,-25.04159581563546,-54.54514685022346,17.446,17.085067,276.39,248.84670288078544,SELL,,close>prev_high+wr>-30,46,2020-10-30,16.895333
IS,2021-01-27,-92.88513164080864,-166.66666666666634,33.144,41.046667,319.43,274.68460867325126,BUY,1.0,,47,2021-01-28,35.000667
IS,2021-02-01,-3.8691551170225305,21.249820585525555,37.348,35.8216,322.42,276.0072549785189,SELL,,close>prev_high+wr>-30+cci>0,47,2021-02-02,39.132667
IS,2021-02-22,-90.11254338908176,-87.62371670035797,40.806667,46.518,322.44,283.2672869603796,BUY,1.0,,48,2021-02-23,38.496667
IS,2021-02-24,-1.0040741449424493,-7.8977965014104194,43.745333,40.744,324.13,284.0503237770845,SELL,,close>prev_high+wr>-30,48,2021-02-25,42.067333
IS,2021-02-25,-93.66178923389532,-87.59849755392017,36.218667,43.833333,312.83,284.33668871462595,BUY,1.0,,49,2021-02-26,37.943333
IS,2021-03-01,-0.0,76.65078916018936,42.558,39.700667,323.59,285.020868537608,SELL,,close>prev_high+wr>-30+cci>0,49,2021-03-02,42.94
IS,2021-03-03,-97.6744186046512,-110.62681406062067,35.01,42.99,309.16,285.5898847790356,BUY,1.0,,50,2021-03-04,34.83
IS,2021-03-09,-11.290322580645084,-4.375804375804384,32.45,32.93,311.77,286.39568969356804,SELL,,wr>-30,50,2021-03-10,34.19
IS,2021-03-24,-99.19191919191907,-93.93041094255,32.59,37.5,311.87,289.5028890641996,BUY,1.0,,51,2021-03-25,30.93
IS,2021-03-26,-0.6544502617801604,57.72358596404613,37.69,33.1799,316.0,289.9815660461714,SELL,,close>prev_high+wr>-30+cci>0,51,2021-03-29,36.3839
IS,2021-04-30,-92.70386266094427,-142.08250897633164,36.9,41.22,337.99,299.54520339787643,BUY,1.0,,52,2021-05-03,37.72
IS,2021-05-05,-32.71767810026391,-63.94561435518164,34.55,34.45,329.03,300.49738590925745,SELL,,close>prev_high,52,2021-05-06,34.2
IS,2021-05-10,-99.11816578483244,-87.57738609045916,31.93,37.55,325.76,301.3832406048652,BUY,1.0,,53,2021-05-11,29.02
IS,2021-05-14,-17.12328767123288,30.503188382764844,31.93,30.497,326.39,302.19124217703256,SELL,,close>prev_high+wr>-30+cci>0,53,2021-05-17,30.98
IS,2021-07-16,-96.73779551734735,-118.9186895587684,36.76,41.8012,357.6,317.3307461873888,BUY,1.0,,54,2021-07-19,35.21
IS,2021-07-20,-16.93363844393582,-39.6985099661587,38.34,36.93,358.79,318.1111140755621,SELL,,close>prev_high+wr>-30,54,2021-07-21,38.67
IS,2021-08-18,-97.62442095260724,-112.35659115358429,38.66,41.9476,362.21,327.2700005992482,BUY,1.0,,55,2021-08-19,38.18
IS,2021-08-20,-8.864265927977849,-19.324710462484052,40.43,40.26,367.73,328.0340296955726,SELL,,close>prev_high+wr>-30,55,2021-08-23,41.4
IS,2021-09-28,-97.06366943443012,-135.38764081574462,42.23,48.1801,359.87,338.7559319581185,BUY,1.0,,56,2021-09-29,42.56
IS,2021-10-05,-29.486744864058547,-61.43873520321165,38.65,39.5198,357.38,339.6684277131167,SELL,,wr>-30,56,2021-10-06,37.32
IS,2021-12-13,-95.97633136094672,-140.8799313027227,62.34,70.45,392.26,357.771492556921,BUY,1.0,,57,2021-12-14,60.0
IS,2021-12-15,-2.34042553191488,1.1982570806098614,68.12,62.37,397.05,358.462082046153,SELL,,close>prev_high+wr>-30+cci>0,57,2021-12-16,69.01
IS,2021-12-31,-94.87179487179469,-99.95165578922004,68.01,71.34,397.85,362.21591029562967,BUY,1.0,,58,2022-01-03,69.05
IS,2022-01-03,-0.23364485981320357,42.64520152937404,72.1,70.1,401.68,362.6085878051259,SELL,,close>prev_high+wr>-30+cci>0,58,2022-01-04,72.58
IS,2022-01-05,-99.3184031158714,-141.47089263895256,64.01,74.21,384.29,363.1579001923416,BUY,1.0,,59,2022-01-06,64.0899
IS,2022-01-11,-1.5592515592515448,-24.634542501353796,63.29,60.19,385.82,363.91474021091796,SELL,,close>prev_high+wr>-30,59,2022-01-12,64.99
IS,2022-01-18,-94.69026548672569,-155.4262995140629,55.98,64.54,370.55,364.4996764139782,BUY,1.0,,60,2022-01-19,57.48
IS,2022-01-24,-28.264877640694895,-95.47774788868263,45.45,48.93,353.3,364.2540571866981,SELL,,wr>-30,60,2022-01-25,41.7699
IS,2022-01-27,-96.75675675675676,-125.8761058727457,36.36,47.1,341.1,363.6430399783755,BUY,0.5,,61,2022-01-28,36.37
IS,2022-01-31,-1.458601458601473,65.69785043899466,44.58,38.41,363.05,363.5204704384458,SELL,,close>prev_high+wr>-30+cci>0,61,2022-02-01,45.89
IS,2022-02-11,-91.87817258883251,-105.28430456367849,39.54,52.21,347.06,363.13401870813374,BUY,0.5,,62,2022-02-14,39.75
IS,2022-02-15,-3.321470937129314,-3.011376921227807,46.01,41.85,356.13,362.9102139764067,SELL,,close>prev_high+wr>-30,62,2022-02-16,44.07
IS,2022-02-23,-95.27824620573365,-87.50894910813545,35.91,41.56,329.42,361.88936991407707,BUY,0.5,,63,2022-02-24,31.81
IS,2022-02-24,-13.948717948717947,-92.17582931918798,39.94,41.3,340.49,361.6764408602057,SELL,,wr>-30,63,2022-02-25,40.0
IS,2022-03-07,-98.98989898989902,-132.18649304963813,29.58,37.42,324.86,360.25815816465587,BUY,0.5,,64,2022-03-08,29.67
IS,2022-03-09,-10.167130919220018,10.43196759599841,34.93,34.34,334.99,359.6431425330694,SELL,,close>prev_high+wr>-30+cci>0,64,2022-03-10,33.07
IS,2022-03-14,-91.43258426966293,-146.89265536723153,27.91,34.42,318.17,358.60655627372466,BUY,0.5,,65,2022-03-15,28.45
IS,2022-03-15,-4.753286124748245,-47.44572275163241,31.51,30.85,328.15,358.30350596254334,SELL,,close>prev_high+wr>-30,65,2022-03-16,33.04
IS,2022-03-31,-94.69026548672568,-116.36175899663537,38.78,45.2,362.54,358.14870462716,BUY,1.0,,66,2022-04-01,39.07
IS,2022-04-04,-29.0870488322717,-67.96664419663465,37.96,39.33,369.3,358.29612514393614,SELL,,wr>-30,66,2022-04-05,37.09
IS,2022-04-05,-93.84885764499118,-109.92442946643274,32.88,38.22,361.1,358.3240243962353,BUY,1.0,,67,2022-04-06,30.85
IS,2022-04-13,-27.18120805369123,-27.417172565865407,28.03,28.84,346.35,357.67201061765724,SELL,,wr>-30,67,2022-04-14,28.55
IS,2022-04-22,-98.70967741935488,-126.76470588235307,24.45,30.57,325.4,356.4848264391907,BUY,0.5,,68,2022-04-25,23.89
IS,2022-04-28,-14.937759336099635,41.99425141601173,25.58,23.59,328.01,355.1666196397453,SELL,,close>prev_high+wr>-30+cci>0,68,2022-04-29,24.3
IS,2022-05-09,-92.79279279279282,-143.17924736638938,19.72,24.87,297.15,352.3913619175865,BUY,0.5,,69,2022-05-10,21.45
IS,2022-05-13,-8.48484848484852,120.89454198017445,22.49,19.99,301.94,350.1969228746645,SELL,,close>prev_high+wr>-30+cci>0,69,2022-05-16,21.86
IS,2022-06-09,-98.2507288629738,-144.3893801102876,21.09,24.46,299.4,342.0934511883645,BUY,0.5,,70,2022-06-10,19.98
IS,2022-06-15,-36.936936936936966,-43.43128781331026,16.61,16.22,282.8,339.6868746610221,SELL,,close>prev_high,70,2022-06-16,15.14
IS,2022-08-22,-92.52077562326872,-152.0534301480332,17.04,20.38,314.36,326.8229187332032,BUY,0.5,,71,2022-08-23,17.08
IS,2022-08-25,-2.2464157019090107,52.5949540437078,19.32,17.59,320.58,326.5203388130956,SELL,,close>prev_high+wr>-30+cci>0,71,2022-08-26,19.25
IS,2022-08-29,-97.71689497716892,-159.10783307619474,15.05,19.33,304.41,326.1123704199747,BUY,0.5,,72,2022-08-30,15.5
VALIDATION,2022-09-13,-95.48387096774192,-84.43231532895842,12.09,15.05,293.7,323.6208321001263,BUY,0.5,,1,2022-09-14,12.28
VALIDATION,2022-09-19,-17.452380952380885,-24.66239727259229,12.2201,12.1,291.05,322.37523382510847,SELL,,close>prev_high+wr>-30,1,2022-09-20,11.85
VALIDATION,2022-09-22,-90.2621722846442,-166.6666666666665,10.51,12.92,280.07,321.2437586561532,BUY,0.5,,2,2022-09-23,10.07
VALIDATION,2022-09-28,-18.324607329843005,-12.690355329949462,10.17,10.28,279.94,319.47331183629854,SELL,,wr>-30,2,2022-09-29,9.698
VALIDATION,2022-10-07,-92.80821917808215,-84.62607709516314,9.21,11.92,269.1,316.4750856056531,BUY,0.5,,3,2022-10-10,9.07
VALIDATION,2022-10-13,-16.744186046511604,-53.85006990359315,8.0,7.62,268.82,314.46333064897834,SELL,,close>prev_high+wr>-30,3,2022-10-14,8.26
VALIDATION,2022-11-02,-97.452229299363,-98.54497354497416,8.24,9.52,265.68,309.13445259842507,BUY,0.5,,4,2022-11-03,7.782
VALIDATION,2022-11-04,-4.575163398692828,18.59309974493203,8.99,8.29,264.68,308.2129114960083,SELL,,close>prev_high+wr>-30+cci>0,4,2022-11-07,9.268
VALIDATION,2022-12-15,-97.04797047970479,-119.40408043446351,11.4,14.03,276.89,302.25188998177157,BUY,0.5,,5,2022-12-16,11.2
VALIDATION,2022-12-21,-11.711711711711628,1.2356991338005032,11.14,10.75,273.45,301.0556621716096,SELL,,close>prev_high+wr>-30+cci>0,5,2022-12-22,10.54
VALIDATION,2023-01-19,-92.99065420560747,-142.95125164690367,11.77,13.76,275.15,296.0474025044331,BUY,0.5,,6,2023-01-20,12.11
VALIDATION,2023-01-20,-5.645161290322602,-37.71736468283129,12.79,12.52,282.68,295.9143935242895,SELL,,close>prev_high+wr>-30,6,2023-01-23,13.18
VALIDATION,2023-01-30,-95.86431512321016,-92.18765957675502,13.8,15.36,290.27,295.6195483405037,BUY,0.5,,7,2023-01-31,13.67
VALIDATION,2023-01-31,-10.20408163265304,-40.02252219805126,14.52,14.62,294.62,295.60960258587187,SELL,,wr>-30,7,2023-02-01,14.73
VALIDATION,2023-02-21,-94.61883408071752,-125.83600915396775,14.01,16.12,294.03,296.704019291826,BUY,0.5,,8,2023-02-22,14.11
VALIDATION,2023-02-23,-14.444444444444427,-13.994910941476052,15.08,14.41,296.82,296.6809981925102,SELL,,close>prev_high+wr>-30,8,2023-02-24,14.29
VALIDATION,2023-03-10,-91.20846917469503,-122.26403180391902,14.05,16.5399,288.55,296.45188739899794,BUY,0.5,,9,2023-03-13,13.61
VALIDATION,2023-03-14,-13.389121338912078,27.383996909037535,15.22,14.5431,297.37,296.4042611046192,SELL,,close>prev_high+wr>-30+cci>0,9,2023-03-15,14.6
VALIDATION,2023-04-25,-98.39572192513373,-161.23292940950225,13.2,15.04,309.99,300.7946195955434,BUY,1.0,,10,2023-04-26,13.62
VALIDATION,2023-04-27,-19.685039370078748,-76.73457957011834,13.54,13.79,320.35,301.09830674000926,SELL,,wr>-30,10,2023-04-28,13.758
VALIDATION,2023-06-21,-97.19298245614029,-134.03629631035724,22.78,25.55,361.9,313.9901370359933,BUY,1.0,,11,2023-06-22,22.28
VALIDATION,2023-06-27,-4.838709677419258,98.99746819967123,24.37,23.32,363.83,315.89383063353944,SELL,,close>prev_high+wr>-30+cci>0,11,2023-06-28,23.18
VALIDATION,2023-07-20,-90.80962800875278,-154.24978623669705,24.29,28.44,376.76,324.382488742361,BUY,1.0,,12,2023-07-21,25.01
VALIDATION,2023-07-25,-22.111639982691543,25.60054753657226,26.13,25.4399,378.78,325.93434805632756,SELL,,close>prev_high+wr>-30+cci>0,12,2023-07-26,25.2
VALIDATION,2023-08-09,-91.22257053291533,-117.84373948284592,23.09,24.545,367.91,331.1700216618715,BUY,1.0,,13,2023-08-10,23.66
VALIDATION,2023-08-14,-1.3043478260870056,-52.7855512674341,22.93,22.0,370.35,332.2703202556711,SELL,,close>prev_high+wr>-30,13,2023-08-15,22.62
VALIDATION,2023-08-16,-97.44967587853962,-107.00962595343546,20.53,22.815,362.54,332.90792783457914,BUY,1.0,,14,2023-08-17,20.62
VALIDATION,2023-08-21,-5.1337374567622955,50.3853542829806,21.88,20.428,363.9,333.7151607233575,SELL,,close>prev_high+wr>-30+cci>0,14,2023-08-22,22.71
VALIDATION,2023-09-20,-97.2883194359705,-96.6577744955455,18.48,19.81,364.54,340.9257297722473,BUY,1.0,,15,2023-09-21,17.755
VALIDATION,2023-09-25,-14.510979974847846,-45.27067254609975,18.22,18.37,359.61,341.44412269947054,SELL,,wr>-30,15,2023-09-26,17.74
VALIDATION,2023-10-20,-97.03389830508473,-120.65133018135629,16.64,18.93,354.6,345.06223045204024,BUY,1.0,,16,2023-10-23,16.35
VALIDATION,2023-10-24,-15.398614124728933,-47.394896031305635,17.04,17.26,359.13,345.306707956022,SELL,,wr>-30,16,2023-10-25,16.375
VALIDATION,2023-12-20,-100.4498293515359,-132.2804691078879,28.03682,30.98,403.08,358.0514708185505,BUY,1.0,,17,2023-12-21,29.75
VALIDATION,2023-12-21,-14.007782101167292,-13.483400833722758,30.26,30.62,407.77,358.5461825516993,SELL,,wr>-30,17,2023-12-22,30.62
VALIDATION,2024-01-03,-90.7960199004975,-113.12530955918761,26.25,29.9,398.33,361.85104959533203,BUY,1.0,,18,2024-01-04,24.96
VALIDATION,2024-01-08,-7.339449541284457,65.31151231761697,28.43,26.62,404.95,362.95948594813655,SELL,,close>prev_high+wr>-30+cci>0,18,2024-01-09,27.5
VALIDATION,2024-01-26,-94.68267581475138,-89.56224456362396,34.01,39.53,423.81,369.43197658744003,BUY,1.0,,19,2024-01-29,34.23
VALIDATION,2024-01-29,-24.99999999999991,-66.692743985918,35.04,35.55,428.15,370.0162355268685,SELL,,wr>-30,19,2024-01-30,34.56
