period,signal_date,wr2,cci5,soxl_close,previous_high,qqq_close,qqq_ema200,action,regime_weight,exit_reason,trade_id,execution_date,execution_underlying_open
IS,2016-09-09,-95.95375722543346,-161.64359854466574,2.515333,2.847333,114.28,109.961124210249,BUY,1.0,,1,2016-09-12,2.460667
IS,2016-09-12,-29.494848484848486,-83.95731047504128,2.666,2.763333,116.33,110.02449610865449,SELL,,wr>-30,1,2016-09-13,2.620667
IS,2016-10-28,-93.80530973451336,-157.65135699373837,3.004,3.216,117.1,112.29884365032602,BUY,1.0,,2,2016-10-31,3.064
IS,2016-11-07,-1.077799401294448,117.5744330821712,3.081333,2.9146,116.35,112.47820121709913,SELL,,close>prev_high+wr>-30+cci>0,2,2016-11-08,3.086667
IS,2016-11-30,-96.51700822424887,-140.25792296830292,3.714,3.843327,117.5,113.2151982607477,BUY,1.0,,3,2016-12-01,3.700667
IS,2016-12-05,-9.25906052131534,-34.51823197926987,3.407333,3.300667,116.6,113.2953478367488,SELL,,close>prev_high+wr>-30,3,2016-12-06,3.442
IS,2017-01-05,-90.03555299317763,-100.72596772203083,3.741333,3.897327,120.87,114.51526813332666,BUY,1.0,,4,2017-01-06,3.767333
IS,2017-01-09,-14.775128961179897,159.96030772776132,3.954667,3.86142,122.33,114.66607097220043,SELL,,close>prev_high+wr>-30+cci>0,4,2017-01-10,3.953333
IS,2017-03-21,-93.09123754846819,-117.97029327436174,4.886,5.307327,129.81,119.91113236626725,BUY,1.0,,5,2017-03-22,4.892667
IS,2017-03-24,-55.93556935167944,53.818809229039594,5.108667,5.074,130.63,120.22585073869206,SELL,,close>prev_high+cci>0,5,2017-03-27,4.939333
IS,2017-04-05,-96.41000000000001,-104.17616459064058,4.942667,5.150133,131.97,121.1351425833789,BUY,1.0,,6,2017-04-06,4.939333
IS,2017-04-07,-17.229005227043817,-26.933568855286126,5.027333,4.995,131.97,121.35037849173011,SELL,,close>prev_high+wr>-30,6,2017-04-10,5.031333
IS,2017-04-12,-91.58503758802571,-115.27408339631313,4.538667,4.850667,130.92,121.64915557008032,BUY,1.0,,7,2017-04-13,4.469333
IS,2017-04-17,-13.949437111801277,-48.761479633764594,4.625333,4.65408,131.48,121.83318159775132,SELL,,wr>-30,7,2017-04-18,4.561333
IS,2017-06-27,-99.23729366253505,-166.6666666666665,5.673333,6.54066,138.03,128.55652356005425,BUY,1.0,,8,2017-06-28,5.791333
IS,2017-06-28,-23.285769081593426,-76.08022541659264,5.963333,6.072,140.02,128.67058800224277,SELL,,wr>-30,8,2017-06-29,5.838667
IS,2017-07-03,-100.00000000000001,-103.30770666092887,5.2,5.654667,136.19,128.9207608426872,BUY,1.0,,9,2017-07-05,5.266667
IS,2017-07-05,-13.989256476217996,-41.219143068257345,5.53,5.583673,137.53,129.00642491390425,SELL,,wr>-30,9,2017-07-06,5.338
IS,2017-08-10,-98.32252823195952,-135.53830572061278,5.776,6.32304,141.03,132.13792028993115,BUY,1.0,,10,2017-08-11,5.710667
