date,equity,in_position
2024-09-03,100000.0,False
2024-09-04,100000.0,False
2024-09-05,100000.0,False
2024-09-06,100000.0,True
2024-09-09,101119.62395440077,True
2024-09-10,101560.07106373529,False
2024-09-11,101560.07106373529,False
2024-09-12,101560.07106373529,False
2024-09-13,101560.07106373529,False
2024-09-16,101560.07106373529,False
2024-09-17,101560.07106373529,False
2024-09-18,101560.07106373529,True
2024-09-19,102977.36591579569,False
2024-09-20,102977.36591579569,False
2024-09-23,102977.36591579569,False
2024-09-24,102977.36591579569,False
2024-09-25,102977.36591579569,False
2024-09-26,102977.36591579569,False
2024-09-27,102977.36591579569,False
2024-09-30,102977.36591579569,False
2024-10-01,102977.36591579569,False
2024-10-02,102977.36591579569,False
2024-10-03,102977.36591579569,False
2024-10-04,102977.36591579569,False
2024-10-07,102977.36591579569,False
2024-10-08,102977.36591579569,False
2024-10-09,102977.36591579569,False
2024-10-10,102977.36591579569,False
2024-10-11,102977.36591579569,False
2024-10-14,102977.36591579569,False
2024-10-15,102977.36591579569,False
2024-10-16,102977.36591579569,False
2024-10-17,102977.36591579569,False
2024-10-18,102977.36591579569,False
2024-10-21,102977.36591579569,False
2024-10-22,102977.36591579569,False
2024-10-23,102977.36591579569,False
2024-10-24,102977.36591579569,False
2024-10-25,102977.36591579569,False
2024-10-28,102977.36591579569,False
2024-10-29,102977.36591579569,False
2024-10-30,102977.36591579569,False
2024-10-31,102977.36591579569,True
2024-11-01,103411.99182708914,True
2024-11-04,103189.24604755123,True
2024-11-05,104436.98460122288,False
2024-11-06,104436.98460122288,False
2024-11-07,104436.98460122288,False
2024-11-08,104436.98460122288,False
2024-11-11,104436.98460122288,False
2024-11-12,104436.98460122288,False
2024-11-13,104436.98460122288,False
2024-11-14,104436.98460122288,False
2024-11-15,104436.98460122288,False
2024-11-18,104436.98460122288,False
2024-11-19,104436.98460122288,False
2024-11-20,104436.98460122288,False
2024-11-21,104436.98460122288,False
2024-11-22,104436.98460122288,False
2024-11-25,104436.98460122288,False
2024-11-26,104436.98460122288,False
2024-11-27,104436.98460122288,False
2024-11-29,104436.98460122288,False
2024-12-02,104436.98460122288,False
2024-12-03,104436.98460122288,False
2024-12-04,104436.98460122288,False
2024-12-05,104436.98460122288,False
2024-12-06,104436.98460122288,False
2024-12-09,104436.98460122288,False
2024-12-10,104436.98460122288,False
2024-12-11,104436.98460122288,False
2024-12-12,104436.98460122287,True
2024-12-13,104416.2468616565,True
2024-12-16,104862.10826233352,False
2024-12-17,104862.10826233352,False
2024-12-18,104862.10826233352,True
2024-12-19,104478.35494244841,True
2024-12-20,105733.1570227169,True
2024-12-23,106366.32183005924,False
2024-12-24,106366.32183005924,False
2024-12-26,106366.32183005924,False
2024-12-27,106366.32183005924,False
2024-12-30,106366.32183005924,False
2024-12-31,106366.32183005924,False
2025-01-02,106366.32183005924,False
2025-01-03,106366.32183005924,False
2025-01-06,106366.32183005924,False
2025-01-07,106366.32183005924,False
2025-01-08,106366.32183005924,False
2025-01-10,106366.32183005924,False
2025-01-13,106366.32183005924,False
2025-01-14,106366.32183005924,False
2025-01-15,106366.32183005924,False
2025-01-16,106366.32183005924,False
2025-01-17,106366.32183005924,False
2025-01-21,106366.32183005924,False
2025-01-22,106366.32183005924,False
2025-01-23,106366.32183005924,False
2025-01-24,106366.32183005924,False
2025-01-27,106366.32183005924,False
2025-01-28,106366.32183005924,False
2025-01-29,106366.32183005924,False
2025-01-30,106366.32183005924,False
2025-01-31,106366.32183005924,False
2025-02-03,106366.32183005924,False
2025-02-04,106366.32183005924,False
2025-02-05,106366.32183005924,False
2025-02-06,106366.32183005924,False
2025-02-07,106366.32183005926,True
2025-02-10,107088.6857847618,True
2025-02-11,107170.12877965471,False
2025-02-12,107170.12877965471,False
2025-02-13,107170.12877965471,False
2025-02-14,107170.12877965471,False
2025-02-18,107170.12877965471,False
2025-02-19,107170.12877965471,False
2025-02-20,107170.12877965471,False
2025-02-21,107170.12877965471,True
2025-02-24,106682.45592642196,True
2025-02-25,106151.91073444346,True
2025-02-26,106205.50115787562,True
2025-02-27,104510.2574299713,True
2025-02-28,106141.19264975702,False
2025-03-03,106141.19264975702,False
2025-03-04,106141.19264975702,False
2025-03-05,106141.19264975702,False
2025-03-06,106141.19264975702,False
2025-03-07,106141.19264975702,False
2025-03-10,106141.19264975702,False
2025-03-11,106141.19264975702,False
2025-03-12,106141.19264975702,False
2025-03-13,106141.19264975702,False
2025-03-14,106141.19264975702,False
2025-03-17,106141.19264975702,False
2025-03-18,106141.19264975702,False
2025-03-19,106141.19264975702,False
2025-03-20,106141.19264975702,False
2025-03-21,106141.19264975702,False
2025-03-24,106141.19264975702,False
2025-03-25,106141.19264975702,False
2025-03-26,106141.19264975702,False
2025-03-27,106141.19264975702,False
