trades,win_rate,profit_factor,avg_trade,median_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,family,param
70,0.7285714285714285,2.6576895365857784,0.04215755130278138,0.04362563129968766,8.399013528871787,0.4538315307053651,1.0044066895284491,-0.4884931582236042,0.9290437809931966,0.1271523178807947,939901.3528871787,RVOL10_min,0.5
67,0.746268656716418,2.990889517720814,0.04680546070864447,0.04512798211100688,10.463892705464836,0.502860378145445,1.0800758640985215,-0.4884931582236043,1.029411302246457,0.11920529801324503,1146389.2705464836,RVOL10_min,0.75
60,0.75,2.7569853531871344,0.040506771143561764,0.04065464839555033,5.598196900127924,0.3704143216090616,0.9413364093954056,-0.4689923211371705,0.7898089263186958,0.10794701986754966,659819.6900127924,RVOL10_min,1
42,0.6904761904761905,1.9246715247587813,0.027889286611229146,0.038895496149859765,1.4739412323597194,0.1633216314378485,0.5934280913215718,-0.4689923211371705,0.3482394574005836,0.07483443708609272,247394.12323597196,RVOL10_min,1.25
25,0.76,4.212875647530154,0.0452053552300622,0.0650230201811135,1.8351130956008403,0.1901003981021847,0.8284954174548774,-0.2145234866231044,0.8861519132223106,0.046357615894039736,283511.309560084,RVOL10_min,1.5
7,0.7142857142857143,3.104270515283004,0.040217710123996456,0.07984554644399267,0.28844934871936423,0.043235373296168556,0.4537843924353798,-0.13016917293233077,0.33214756091785824,0.017218543046357615,128844.93487193642,RVOL10_min,2
8,0.625,0.9569232422867097,-0.0014804678187228248,0.022622583618409853,-0.036078947923208315,-0.0061181230507690865,0.0057671775446996535,-0.18081045320896272,-0.03383721981880312,0.01456953642384106,96392.10520767917,RVOL10_max,0.75
19,0.631578947368421,2.134943339941023,0.03472657716368588,0.03170092758772092,0.6057002158703693,0.0823007031802967,0.4328823498800421,-0.32325869849030464,0.2545970257402528,0.029801324503311258,160570.02158703693,RVOL10_max,1
38,0.7368421052631579,2.814411733796308,0.04280316293468006,0.020231554059811918,2.1360608782014454,0.21032213324638138,0.7114366470544137,-0.32325869849030475,0.650631009246266,0.06622516556291391,313606.08782014454,RVOL10_max,1.25
55,0.7272727272727273,2.322316683095407,0.03733002796785565,0.02089066797642425,3.1186693195272,0.2666899050507594,0.7414182985993614,-0.45911426095451247,0.5808791573938544,0.09602649006622517,411866.93195272,RVOL10_max,1.5
67,0.7164179104477612,2.453395697068598,0.03920702978703083,0.03918601630273222,5.903494618553745,0.3808057228542987,0.9020883149888863,-0.4884931582236043,0.7795518042444877,0.11788079470198676,690349.4618553745,RVOL10_max,2
63,0.7301587301587301,2.6827493778198663,0.03841960440335399,0.03918601630273222,5.520651940436053,0.36771124990530724,0.9165496176196473,-0.4884931582236042,0.7527459570620846,0.1119205298013245,652065.1940436052,VOLZ10_min,-0.5
60,0.75,2.7569853531871344,0.040506771143561764,0.04065464839555033,5.598196900127924,0.3704143216090616,0.9413364093954056,-0.4689923211371705,0.7898089263186958,0.10794701986754966,659819.6900127924,VOLZ10_min,0
51,0.7450980392156863,2.671582469119104,0.041519952098870674,0.04921128820194687,4.967706659292601,0.34761953081031804,0.9360198069861088,-0.4689923211371704,0.7412051650812566,0.08874172185430464,596770.6659292601,VOLZ10_min,0.5
42,0.7142857142857143,2.420095861237761,0.039269528688436584,0.051813998089050406,2.8561106174009843,0.2528312916093589,0.7657687416951607,-0.4689923211371705,0.5390947361276966,0.076158940397351,385611.0617400984,VOLZ10_min,1
31,0.6774193548387096,1.6744702990479376,0.02320784587226236,0.03860497599698731,0.6638488463667698,0.08874992840405715,0.41957164980052153,-0.46899232113717026,0.18923535504560998,0.06026490066225165,166384.884636677,VOLZ10_min,1.5
25,0.68,1.568094380971582,0.021701902922512836,0.0650230201811135,0.4303560589536213,0.06159940714100087,0.36083248665963147,-0.4202478344034487,0.14657876162156225,0.04768211920529802,143035.60589536213,VOLZ10_min,2
70,0.7285714285714285,2.6576895365857784,0.04215755130278138,0.04362563129968766,8.399013528871787,0.4538315307053651,1.0044066895284491,-0.4884931582236042,0.9290437809931966,0.1271523178807947,939901.3528871787,RVOL20_min,0.5
66,0.7424242424242424,3.2502276209479253,0.049040683582549476,0.045667284345157655,12.060720955065607,0.5359505362860308,1.1289221993121512,-0.4884931582236042,1.0971505480957082,0.11788079470198676,1306072.0955065608,RVOL20_min,0.75
59,0.7288135593220338,2.5796670962812818,0.037154384166860115,0.03860497599698731,4.272539743545432,0.3200313632609113,0.8420055632744102,-0.4884931582236043,0.6551399090720104,0.10596026490066225,527253.9743545433,RVOL20_min,1
44,0.6818181818181818,2.1843785394286965,0.03297106694226826,0.02988537168749117,2.201177460049917,0.21448339243882675,0.6951370707074668,-0.4884931582236042,0.4390714359619517,0.07549668874172186,320117.7460049917,RVOL20_min,1.25
29,0.7241379310344828,2.19262045068711,0.036463724426282124,0.0650230201811135,1.3057462399361248,0.14972243446278188,0.5789810911203322,-0.4689923211371705,0.3192428270461835,0.054304635761589407,230574.62399361248,RVOL20_min,1.5
13,0.7692307692307693,5.4375507418250315,0.06416648626070792,0.09200507614213205,1.1311901907050776,0.13470525021592028,0.7725090997307726,-0.1560488874864896,0.863224675200474,0.025827814569536423,213119.01907050775,RVOL20_min,2
10,0.6,0.5784346007213365,-0.02180282795543197,0.022622583618409853,-0.24316078755203552,-0.04546371150841655,-0.2599119871347312,-0.31780049587074677,-0.14305739638275197,0.017880794701986755,75683.92124479645,RVOL20_max,0.75
21,0.7142857142857143,2.574115434080979,0.04324575423528282,0.04512798211100688,1.0296273379847176,0.1254895697906917,0.6193110505307671,-0.2806440943118701,0.44714844293583983,0.03443708609271523,202962.73379847175,RVOL20_max,1
