date,equity,in_position
2016-09-06,100000.0,False
2016-09-07,100000.0,False
2016-09-08,100000.0,False
2016-09-09,100000.0,True
2016-09-12,101434.73368342085,False
2016-09-13,101434.73368342085,False
2016-09-14,101434.73368342085,False
2016-09-15,101434.73368342085,False
2016-09-16,101434.73368342085,False
2016-09-19,101434.73368342085,False
2016-09-20,101434.73368342085,False
2016-09-21,101434.73368342085,False
2016-09-22,101434.73368342085,False
2016-09-23,101434.73368342085,True
2016-09-26,100612.8864500027,True
2016-09-27,101237.4903474005,False
2016-09-28,101237.4903474005,False
2016-09-29,101237.4903474005,False
2016-09-30,101237.4903474005,False
2016-10-03,101237.4903474005,False
2016-10-04,101237.4903474005,False
2016-10-05,101237.4903474005,False
2016-10-06,101237.4903474005,False
2016-10-07,101237.4903474005,False
2016-10-10,101237.4903474005,False
2016-10-11,101237.4903474005,False
2016-10-12,101237.4903474005,False
2016-10-13,101237.4903474005,False
2016-10-14,101237.4903474005,False
2016-10-17,101237.4903474005,True
2016-10-18,101871.47594944421,False
2016-10-19,101871.47594944421,False
2016-10-20,101871.47594944421,False
2016-10-21,101871.47594944421,False
2016-10-24,101871.47594944421,False
2016-10-25,101871.47594944421,False
2016-10-26,101871.47594944421,False
2016-10-27,101871.47594944421,False
2016-10-28,101871.47594944421,False
2016-10-31,101871.47594944421,False
2016-11-01,101871.47594944421,False
2016-11-02,101871.47594944421,False
2016-11-03,101871.47594944421,False
2016-11-04,101871.47594944421,True
2016-11-07,104118.46127367073,False
2016-11-08,104118.46127367073,False
2016-11-09,104118.46127367073,False
2016-11-10,104118.46127367073,False
2016-11-11,104118.46127367073,False
2016-11-14,104118.46127367073,False
2016-11-15,104118.46127367073,False
2016-11-16,104118.46127367073,False
2016-11-17,104118.46127367073,False
2016-11-18,104118.46127367073,False
2016-11-21,104118.46127367073,False
2016-11-22,104118.46127367073,False
2016-11-23,104118.46127367073,False
2016-11-25,104118.46127367073,False
2016-11-28,104118.46127367073,True
2016-11-29,104321.52249622007,True
2016-11-30,104071.23773354299,True
2016-12-01,103688.72705850819,True
2016-12-02,103740.67295264872,True
2016-12-05,104364.02368233506,False
2016-12-06,104364.02368233506,False
2016-12-07,104364.02368233506,False
2016-12-08,104364.02368233506,False
2016-12-09,104364.02368233506,False
2016-12-12,104364.02368233506,False
2016-12-13,104364.02368233506,False
2016-12-14,104364.02368233506,False
2016-12-15,104364.02368233506,True
2016-12-16,104160.36850041104,True
2016-12-19,104387.16631664461,True
2016-12-20,104789.84815363074,False
2016-12-21,104789.84815363074,True
2016-12-22,104608.83189469502,True
2016-12-23,104761.99949840984,False
2016-12-27,104761.99949840984,False
2016-12-28,104761.99949840984,True
2016-12-29,104738.6568068995,True
2016-12-30,104355.83666612991,True
2017-01-03,105154.15671578357,False
2017-01-04,105154.15671578357,False
2017-01-05,105154.15671578357,False
2017-01-06,105154.15671578357,False
2017-01-09,105154.15671578357,False
2017-01-10,105154.15671578357,False
2017-01-11,105154.15671578357,False
2017-01-12,105154.15671578357,False
2017-01-13,105154.15671578357,False
2017-01-17,105154.15671578357,False
2017-01-18,105154.15671578357,False
2017-01-19,105154.15671578357,False
2017-01-20,105154.15671578357,False
2017-01-23,105154.15671578357,False
2017-01-24,105154.15671578357,False
2017-01-25,105154.15671578357,False
2017-01-26,105154.15671578357,False
2017-01-27,105154.15671578357,False
2017-01-30,105154.15671578357,False
2017-01-31,105154.15671578357,False
2017-02-01,105154.15671578357,False
2017-02-02,105154.15671578357,False
2017-02-03,105154.15671578357,False
2017-02-06,105154.15671578357,False
2017-02-07,105154.15671578357,False
2017-02-08,105154.15671578357,False
2017-02-09,105154.15671578357,False
2017-02-10,105154.15671578357,False
2017-02-13,105154.15671578357,False
2017-02-14,105154.15671578357,False
2017-02-15,105154.15671578357,False
2017-02-16,105154.15671578357,False
2017-02-17,105154.15671578357,False
2017-02-21,105154.15671578357,False
2017-02-22,105154.15671578357,False
2017-02-23,105154.15671578357,False
2017-02-24,105154.15671578357,False
2017-02-27,105154.15671578357,False
2017-02-28,105154.15671578357,False
2017-03-01,105154.15671578357,False
2017-03-02,105154.15671578357,True
2017-03-03,105220.3552447942,True
2017-03-06,104907.01554081048,True
2017-03-07,104593.67583682673,True
2017-03-08,104399.49348506216,True
2017-03-09,104531.89054308346,True
2017-03-10,104898.18907027572,False
2017-03-13,104898.18907027572,False
2017-03-14,104898.18907027572,False
2017-03-15,104898.18907027572,False
2017-03-16,104898.18907027572,True
2017-03-17,104717.05591024029,True
2017-03-20,104602.19097948611,True
2017-03-21,103259.15486605266,True
2017-03-22,103502.13837341727,True
2017-03-23,103391.69132461517,True
2017-03-24,103316.58733142975,True
2017-03-27,103210.55816457975,True
2017-03-28,103961.59809643397,False
2017-03-29,103961.59809643397,False
2017-03-30,103961.59809643397,False
2017-03-31,103961.59809643397,False
2017-04-03,103961.59809643397,False
2017-04-04,103961.59809643397,False
2017-04-05,103961.59809643397,True
2017-04-06,104253.8489472034,True
2017-04-07,104147.57591055996,True
2017-04-10,104209.56851526863,True
2017-04-11,104085.5833058513,True
2017-04-12,103629.49485692325,True
2017-04-13,102956.43229151487,True
2017-04-17,103868.60918937097,False
2017-04-18,103868.60918937097,False
2017-04-19,103868.60918937097,False
2017-04-20,103868.60918937097,False
2017-04-21,103868.60918937097,False
2017-04-24,103868.60918937097,False
2017-04-25,103868.60918937097,False
2017-04-26,103868.60918937097,False
2017-04-27,103868.60918937097,False
2017-04-28,103868.60918937097,False
2017-05-01,103868.60918937097,False
2017-05-02,103868.60918937097,False
2017-05-03,103868.60918937097,False
2017-05-04,103868.60918937097,False
2017-05-05,103868.60918937097,False
2017-05-08,103868.60918937097,False
2017-05-09,103868.60918937097,False
2017-05-10,103868.60918937097,False
2017-05-11,103868.60918937097,False
