entry_date,entry_price,exit_date,exit_price,return
2016-09-07,2.839333,2016-09-12,2.666,-0.06104708394541958
2016-09-20,2.826,2016-09-21,2.936667,0.03916029723991499
2016-09-23,2.876,2016-09-27,2.936667,0.02109422809457584
2016-10-03,3.140667,2016-10-06,3.244667,0.03311398502292673
2016-10-17,2.859333,2016-10-18,2.964,0.03660539013818953
2016-10-27,3.056667,2016-11-07,3.081333,0.008069573820111753
2016-11-30,3.714,2016-12-05,3.407333,-0.08257054388799134
2016-12-16,3.922667,2016-12-22,4.032667,0.02804214581558928
2016-12-28,3.995333,2017-01-09,3.954667,-0.01017837561975432
2017-01-17,3.829333,2017-01-18,3.989333,0.04178273344209016
2017-02-09,4.542,2017-02-15,4.628,0.018934390136503776
2017-02-28,4.619333,2017-03-01,4.836,0.04690439074212671
2017-03-02,4.686,2017-03-06,4.684667,-0.0002844643619290821
2017-03-21,4.886,2017-03-23,5.003333,0.024014121981170478
2017-04-04,5.052,2017-04-07,5.027333,-0.004882620744259714
2017-04-10,4.910667,2017-04-17,4.625333,-0.05810493767954528
2017-04-28,5.096,2017-05-01,5.244667,0.029173273155415957
2017-05-17,5.423333,2017-05-19,5.922667,0.09207142544999525
2017-06-20,6.110667,2017-06-28,5.963333,-0.024110952208654113
2017-07-03,5.2,2017-07-05,5.53,0.06346153846153846
2017-08-10,5.776,2017-08-14,6.326,0.09522160664819945
2017-08-17,5.891333,2017-08-22,6.094,0.034400873282837585
2017-08-25,6.075333,2017-08-29,6.166,0.014923791008657483
2017-09-08,6.298,2017-09-11,6.667333,0.05864290250873294
2017-09-25,6.862,2017-09-27,7.33,0.06820169046925084
2017-11-22,11.122667,2017-11-24,11.42,0.02673216774358167
2017-11-27,10.99,2017-12-07,9.056667,-0.1759174704276616
2017-12-08,8.916667,2017-12-15,9.169333,0.02833637277247192
2017-12-21,9.626,2017-12-27,9.417333,-0.021677436110533965
2017-12-29,9.193333,2018-01-02,9.951333,0.08245105447610768
2018-01-09,10.747333,2018-01-11,10.533333,-0.019911916751811698
2018-01-25,11.029333,2018-01-26,12.075333,0.09483801060317987
2018-01-30,11.304,2018-02-06,10.0,-0.11535739561217273
2018-02-08,8.153333,2018-02-12,9.365333,0.14865086462186694
2018-02-22,10.318667,2018-02-23,10.988667,0.06493086752387689
2018-02-28,11.261333,2018-03-02,11.272,0.0009472235658070094
2018-03-13,12.792,2018-03-20,12.282,-0.039868667917448364
2018-03-22,11.35,2018-03-26,11.499333,0.013157092511013158
2018-03-27,10.217333,2018-03-29,10.188,-0.002870905744189689
2018-04-02,9.008,2018-04-04,9.887333,0.09761689609236246
2018-04-06,8.708667,2018-04-10,9.720667,0.11620607378833059
2018-04-13,10.037333,2018-04-17,10.671333,0.06316418913271082
2018-04-19,9.005333,2018-04-26,8.596,-0.04545451012194668
2018-04-27,8.406,2018-05-01,8.529333,0.014672019985724427
2018-05-18,10.204,2018-05-21,10.522667,0.03122961583692674
2018-05-31,11.014,2018-06-01,11.752,0.06700562919920117
2018-06-21,10.988,2018-07-02,9.607333,-0.1256522570076446
2018-07-03,9.064,2018-07-05,9.797333,0.08090611209179177
2018-07-11,9.852,2018-07-13,9.934667,0.008390885099472056
2018-07-16,9.894,2018-07-17,10.332667,0.04433666868809394
2018-07-30,10.289333,2018-08-02,10.747333,0.044512117549310615
2018-08-09,10.998667,2018-08-20,9.448667,-0.140926168598431
2018-08-30,11.012,2018-09-04,11.457333,0.040440701053396255
2018-09-06,10.386667,2018-09-10,10.595333,0.02008979396374233
2018-09-17,10.133333,2018-09-20,10.838,0.06953950886643101
2018-09-25,10.284667,2018-09-28,10.307333,0.002203863285024088
2018-10-05,9.17,2018-10-16,8.371333,-0.08709563794983644
2018-10-18,7.646667,2018-10-23,7.308667,-0.044202264856047724
2018-10-24,5.863333,2018-10-30,6.47,0.10346794220966138
2018-11-12,6.168,2018-11-15,7.125333,0.15520963035019464
2018-11-19,6.071333,2018-11-21,6.172667,0.016690568611538836
2018-12-04,6.578667,2018-12-11,6.095333,-0.07346989899321554
2018-12-13,6.294667,2018-12-26,5.221802,-0.1704403108218432
2019-01-03,4.688667,2019-01-04,5.294667,0.12924782246211985
2019-01-14,5.986667,2019-01-17,6.082,0.01592421960332846
2019-01-22,5.952667,2019-01-24,6.825333,0.14660084294989106
2019-01-29,6.524,2019-01-30,7.09,0.08675659104843647
2019-02-21,8.44,2019-02-22,8.703333,0.031200592417061745
2019-02-26,8.737333,2019-03-01,8.67,-0.007706356161542582
2019-03-06,8.132,2019-03-08,7.842667,-0.035579562223315264
2019-03-14,8.457333,2019-03-15,9.186,0.08615801222442099
2019-03-22,9.298667,2019-03-26,9.216,-0.008890198993038556
2019-05-01,12.229333,2019-05-03,12.89,0.05402314255405427
2019-05-08,11.089333,2019-05-10,10.726,-0.032764188792959725
2019-05-13,9.212,2019-05-14,9.871333,0.07157327399044733
2019-05-17,9.032667,2019-05-21,8.45,-0.06450664017615182
2019-05-22,7.921333,2019-05-30,7.387333,-0.06741289628904623
2019-05-31,7.066667,2019-06-04,8.04,0.13773579538982084
