dt,time,timestamp,price,open,high,low,close,volume,vwap
2026-07-27 09:30:00-04:00,2026-07-27T09:30:00,1785159000,140.09494999999998,140.65,142.1899,138.0,139.5,2057284,139.66671
2026-07-27 09:35:00-04:00,2026-07-27T09:35:00,1785159300,139.54000000000002,139.45,141.96,137.12,138.6,1646108,139.79825
2026-07-27 09:40:00-04:00,2026-07-27T09:40:00,1785159600,136.19165,138.52,138.99,133.3933,135.31,1762895,135.62762
2026-07-27 09:45:00-04:00,2026-07-27T09:45:00,1785159900,135.47500000000002,135.31,136.74,134.21,135.5984,1374025,135.37947
2026-07-27 09:50:00-04:00,2026-07-27T09:50:00,1785160200,136.125,135.46,137.5,134.75,135.8,928504,136.39065
2026-07-27 09:55:00-04:00,2026-07-27T09:55:00,1785160500,133.875,135.75,135.98,131.77,132.435,1259536,133.463957
2026-07-27 10:00:00-04:00,2026-07-27T10:00:00,1785160800,130.975,132.39,132.95,129.0,129.85,1978789,130.396165
2026-07-27 10:05:00-04:00,2026-07-27T10:05:00,1785161100,129.375,129.86,130.6,128.15,129.8454,1645856,129.665694
2026-07-27 10:10:00-04:00,2026-07-27T10:10:00,1785161400,128.03025000000002,129.8473,129.9396,126.1209,126.3159,1656465,127.407112
2026-07-27 10:15:00-04:00,2026-07-27T10:15:00,1785161700,126.39500000000001,126.33,127.65,125.14,126.48,1487366,126.150506
2026-07-27 10:20:00-04:00,2026-07-27T10:20:00,1785162000,125.025,126.525,126.7,123.35,123.935,1478043,125.08503
2026-07-27 10:25:00-04:00,2026-07-27T10:25:00,1785162300,122.375,123.9746,124.02,120.73,120.9899,1842931,122.411614
2026-07-27 10:30:00-04:00,2026-07-27T10:30:00,1785162600,120.4461,120.9,121.3,119.5922,119.8,2309744,120.380092
2026-07-27 10:35:00-04:00,2026-07-27T10:35:00,1785162900,118.9396,119.79,120.2092,117.67,117.965,2290030,118.752263
2026-07-27 10:40:00-04:00,2026-07-27T10:40:00,1785163200,116.825,117.9475,118.2,115.45,116.685,3589142,116.445742
2026-07-27 10:45:00-04:00,2026-07-27T10:45:00,1785163500,119.6,116.7,122.5,116.7,122.435,3486465,120.22744
2026-07-27 10:50:00-04:00,2026-07-27T10:50:00,1785163800,122.965,122.42,124.11,121.82,122.5555,2160586,123.133982
2026-07-27 10:55:00-04:00,2026-07-27T10:55:00,1785164100,123.39005,122.5555,124.88,121.9001,124.435,1595987,123.830902
