period,start,end,wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,bh_total_return,bh_cagr,bh_sharpe,bh_max_drawdown,bh_calmar,bh_ending_equity,selected_on,locked_cci_lookback,locked_cci_entry,locked_cci_exit
IS,2016-09-06,2022-09-02,2,-90,-30,5,-80.0,0.0,70,0.7428571428571429,3.351914671565804,0.05280502261578529,0.06405627195912034,3.9571428571428573,20.28559386279719,0.666491398286261,1.2856801982694073,-0.3257011937607833,2.046327772368488,0.12847682119205298,2128559.386279719,3.429392012559359,0.28217018581360476,0.7464359920131073,-0.8410741197424304,0.33548789481242897,442939.2012559359,IS_CALMAR,5,-80.0,0.0
Validation,2022-09-06,2024-08-30,2,-90,-30,5,-80.0,0.0,28,0.75,3.492966821579547,0.03638386124019185,0.0476569273567824,4.25,1.5328295490428272,0.5981397334664424,1.3388240109013003,-0.2582510238496749,2.316117568674628,0.162,253282.9549042827,2.1231884057971016,0.7763122814610417,1.072556786239694,-0.6177285318559557,1.2567207785086818,312318.84057971014,IS_CALMAR,5,-80.0,0.0
OOS,2024-09-03,2026-09-03,2,-90,-30,5,-80.0,0.0,17,0.8235294117647058,6.280534582914135,0.0818065150098908,0.09415887850467297,4.294117647058823,2.510551512832985,0.8744525340500189,1.2745960859314898,-0.35602659856640895,2.456143831868531,0.09343936381709742,351055.1512832985,2.5497173262387762,0.8848869504168642,1.1347833442203932,-0.7978931896129349,1.1090293311641508,354971.73262387764,IS_CALMAR,5,-80.0,0.0
