date,equity,pos
2016-09-06,100000.0,False
2016-09-07,100000.0,False
2016-09-08,100000.0,False
2016-09-09,100000.0,False
2016-09-12,108344.60737678036,True
2016-09-13,106502.30201811135,False
2016-09-14,106502.30201811135,False
2016-09-15,106502.30201811135,False
2016-09-16,106502.30201811135,False
2016-09-19,106502.30201811135,False
2016-09-20,106502.30201811135,False
2016-09-21,106502.30201811135,False
2016-09-22,106502.30201811135,False
2016-09-23,106502.30201811135,False
2016-09-26,106502.30201811135,False
2016-09-27,106502.30201811135,False
2016-09-28,106502.30201811135,False
2016-09-29,106502.30201811135,False
2016-09-30,106502.30201811135,False
2016-10-03,106502.30201811135,False
2016-10-04,106502.30201811135,False
2016-10-05,106502.30201811135,False
2016-10-06,106502.30201811135,False
2016-10-07,106502.30201811135,False
2016-10-10,106502.30201811135,False
2016-10-11,106502.30201811135,False
2016-10-12,106502.30201811135,False
2016-10-13,106502.30201811135,False
2016-10-14,106502.30201811135,False
2016-10-17,106502.30201811135,False
2016-10-18,106502.30201811135,False
2016-10-19,106502.30201811135,False
2016-10-20,106502.30201811135,False
2016-10-21,106502.30201811135,False
2016-10-24,106502.30201811135,False
2016-10-25,106502.30201811135,False
2016-10-26,106502.30201811135,False
2016-10-27,106502.30201811135,False
2016-10-28,106502.30201811135,False
2016-10-31,106502.30201811135,False
2016-11-01,106502.30201811135,False
2016-11-02,106502.30201811135,False
2016-11-03,106502.30201811135,False
2016-11-04,106502.30201811135,False
2016-11-07,106502.30201811135,False
2016-11-08,106502.30201811135,False
2016-11-09,106502.30201811135,False
2016-11-10,106502.30201811135,False
2016-11-11,106502.30201811135,False
2016-11-14,106502.30201811135,False
2016-11-15,106502.30201811135,False
2016-11-16,106502.30201811135,False
2016-11-17,106502.30201811135,False
2016-11-18,106502.30201811135,False
2016-11-21,106502.30201811135,False
2016-11-22,106502.30201811135,False
2016-11-23,106502.30201811135,False
2016-11-25,106502.30201811135,False
2016-11-28,106502.30201811135,False
2016-11-29,106502.30201811135,False
2016-11-30,106502.30201811135,False
2016-12-01,91076.64121650242,True
2016-12-02,94606.87276107361,True
2016-12-05,98060.37891068755,True
2016-12-06,99058.06805809312,False
2016-12-07,99058.06805809312,False
2016-12-08,99058.06805809312,False
2016-12-09,99058.06805809312,False
2016-12-12,99058.06805809312,False
2016-12-13,99058.06805809312,False
2016-12-14,99058.06805809312,False
2016-12-15,99058.06805809312,False
2016-12-16,99058.06805809312,False
2016-12-19,99058.06805809312,False
2016-12-20,99058.06805809312,False
2016-12-21,99058.06805809312,False
2016-12-22,99058.06805809312,False
2016-12-23,99058.06805809312,False
2016-12-27,99058.06805809312,False
2016-12-28,99058.06805809312,False
2016-12-29,99058.06805809312,False
2016-12-30,99058.06805809312,False
2017-01-03,99058.06805809312,False
2017-01-04,99058.06805809312,False
2017-01-05,99058.06805809312,False
2017-01-06,100740.88090094985,True
2017-01-09,103983.8190128388,True
2017-01-10,103948.7428826455,False
2017-01-11,103948.7428826455,False
2017-01-12,103948.7428826455,False
2017-01-13,103948.7428826455,False
2017-01-17,103948.7428826455,False
2017-01-18,103948.7428826455,False
2017-01-19,103948.7428826455,False
2017-01-20,103948.7428826455,False
2017-01-23,103948.7428826455,False
2017-01-24,103948.7428826455,False
2017-01-25,103948.7428826455,False
2017-01-26,103948.7428826455,False
2017-01-27,103948.7428826455,False
2017-01-30,103948.7428826455,False
2017-01-31,103948.7428826455,False
2017-02-01,103948.7428826455,False
2017-02-02,103948.7428826455,False
2017-02-03,103948.7428826455,False
2017-02-06,103948.7428826455,False
2017-02-07,103948.7428826455,False
2017-02-08,103948.7428826455,False
2017-02-09,103948.7428826455,False
2017-02-10,103948.7428826455,False
2017-02-13,103948.7428826455,False
2017-02-14,103948.7428826455,False
2017-02-15,103948.7428826455,False
2017-02-16,103948.7428826455,False
2017-02-17,103948.7428826455,False
2017-02-21,103948.7428826455,False
2017-02-22,103948.7428826455,False
2017-02-23,103948.7428826455,False
2017-02-24,103948.7428826455,False
2017-02-27,103948.7428826455,False
2017-02-28,103948.7428826455,False
2017-03-01,103948.7428826455,False
2017-03-02,103948.7428826455,False
2017-03-03,103948.7428826455,False
2017-03-06,103948.7428826455,False
2017-03-07,103948.7428826455,False
2017-03-08,103948.7428826455,False
2017-03-09,103948.7428826455,False
2017-03-10,103948.7428826455,False
2017-03-13,103948.7428826455,False
2017-03-14,103948.7428826455,False
2017-03-15,103948.7428826455,False
2017-03-16,103948.7428826455,False
2017-03-17,103948.7428826455,False
2017-03-20,103948.7428826455,False
2017-03-21,103948.7428826455,False
2017-03-22,103948.7428826455,False
2017-03-23,103948.7428826455,False
2017-03-24,103948.7428826455,False
2017-03-27,103948.7428826455,False
2017-03-28,103948.7428826455,False
2017-03-29,103948.7428826455,False
2017-03-30,103948.7428826455,False
2017-03-31,103948.7428826455,False
2017-04-03,103948.7428826455,False
2017-04-04,103948.7428826455,False
2017-04-05,103948.7428826455,False
2017-04-06,104411.73502013009,True
2017-04-07,105800.71143258386,True
2017-04-10,105884.89182121743,False
2017-04-11,105884.89182121743,False
2017-04-12,105884.89182121743,False
2017-04-13,105458.44607354504,True
2017-04-17,109580.75496771155,True
2017-04-18,108064.50342043192,False
2017-04-19,108064.50342043192,False
2017-04-20,108064.50342043192,False
2017-04-21,108064.50342043192,False
2017-04-24,108064.50342043192,False
2017-04-25,108064.50342043192,False
2017-04-26,108064.50342043192,False
2017-04-27,108064.50342043192,False
2017-04-28,108064.50342043192,False
2017-05-01,108064.50342043192,False
2017-05-02,108064.50342043192,False
2017-05-03,108064.50342043192,False
2017-05-04,108064.50342043192,False
2017-05-05,108064.50342043192,False
2017-05-08,108064.50342043192,False
2017-05-09,108064.50342043192,False
2017-05-10,108064.50342043192,False
2017-05-11,108064.50342043192,False
