period,start,end,trading_days,strategy_return,strategy_exposure,strategy_ending_100k,soxl_hold_return,soxl_hold_ending_100k
IS,2026-07-27T09:30:00-04:00,2026-08-24T15:45:00-04:00,21,0.37948008156982316,0.2765567765567766,137948.0081569823,-0.20966939210806979,79033.06078919303
OOS,2026-08-25T09:30:00-04:00,2026-09-04T15:45:00-04:00,9,0.1428049280579733,0.2606837606837607,114280.49280579733,0.001448411007923589,100144.84110079236
