period,start,end,wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,bh_total_return,bh_cagr,bh_sharpe,bh_max_drawdown,bh_calmar,bh_ending_equity,selected_on
IS,2016-09-06,2022-09-02,2,-80.0,-30.0,5,-80.0,0.0,105,0.7333333333333333,2.8667246491662666,0.0407271097067606,0.05864290250873294,3.914285714285714,34.47360582500505,0.8148848427637172,1.365796084341943,-0.3257011937607833,2.501939994000215,0.18543046357615894,3547360.5825005053,3.429392012559359,0.28217018581360476,0.7464359920131073,-0.8410741197424304,0.33548789481242897,442939.2012559359,IS_CALMAR
Validation,2022-09-06,2024-08-30,2,-80.0,-30.0,5,-80.0,0.0,38,0.7368421052631579,3.2639197090204037,0.035871611751132675,0.0476569273567824,3.973684210526316,2.447228484512841,0.8670145876378905,1.5477568845653347,-0.2582510238496748,3.3572551803030626,0.21,344722.8484512841,2.1231884057971016,0.7763122814610417,1.072556786239694,-0.6177285318559557,1.2567207785086818,312318.84057971014,IS_CALMAR
OOS,2024-09-03,2026-09-03,2,-80.0,-30.0,5,-80.0,0.0,31,0.7096774193548387,2.746586481032096,0.034470995078816805,0.045338293420134956,4.645161290322581,1.5643415470238025,0.6018726803049996,0.9949140026670734,-0.42165677067197194,1.4273995395492576,0.18290258449304175,256434.15470238024,2.5497173262387762,0.8848869504168642,1.1347833442203932,-0.7978931896129349,1.1090293311641508,354971.73262387764,IS_CALMAR
