rvol_n,rvol_thr,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
50,0.75,66,0.7424242424242424,3.240669206024037,0.04883237078900387,0.04362563129968766,3.742424242424242,11.894939925279843,0.5326771736054221,1.1272813747524741,-0.4884931582236042,1.0904496094530622,0.11456953642384106,1289493.9925279843
30,0.75,66,0.7424242424242424,3.2144382346844362,0.048260702059337135,0.04065464839555033,3.8484848484848486,11.429420058375714,0.5232942531995368,1.1125104956453535,-0.4884931582236042,1.0712417244542096,0.11788079470198676,1242942.0058375713
20,0.75,65,0.7384615384615385,3.2050219272381977,0.04879480148103311,0.04212328048836844,3.8923076923076922,11.26332267714229,0.5198755024276365,1.1086632523221147,-0.4884931582236042,1.0642431601665694,0.11721854304635762,1226332.267714229
10,0.75,66,0.7424242424242424,2.9496092057660195,0.04652943708027371,0.04362563129968766,3.9242424242424243,9.763985837146835,0.4871316610465577,1.0598235924377233,-0.4884931582236043,0.9972128633653793,0.1185430463576159,1076398.5837146835
50,1.0,57,0.7368421052631579,3.150867306612003,0.04884294158967498,0.03918601630273222,3.8947368421052633,9.374129827936263,0.477997453205971,1.0642844321268434,-0.4884931582236042,0.9785141207385573,0.09933774834437085,1037412.9827936264
30,1.0,60,0.7333333333333333,2.9537667258748534,0.0451874636636178,0.038895496149859765,3.8833333333333333,8.635928292523863,0.45988844775998383,1.036364870633876,-0.4884931582236042,0.9414429660230231,0.10596026490066225,963592.8292523863
10,1.0,59,0.7457627118644068,2.7099790170228637,0.0400912414988575,0.03918601630273222,3.9661016949152543,5.195356133246647,0.356071765583031,0.9186862998497893,-0.4689923211371705,0.759227282697636,0.10728476821192053,619535.6133246646
50,1.25,47,0.7021276595744681,2.790556976990196,0.047310434166521316,0.02058472707225012,3.978723404255319,5.112101463980744,0.35301113841771325,0.8945402833946442,-0.4884931582236042,0.7226531886371375,0.08344370860927153,611210.1463980743
20,1.0,58,0.7241379310344828,2.532810511531932,0.03667389044247643,0.02974782198670578,3.896551724137931,3.950634534311577,0.30621610791429643,0.8197209013969862,-0.4884931582236042,0.6268585398981744,0.10529801324503311,495063.45343115774
50,1.5,33,0.696969696969697,2.8898068205388,0.0539315629478423,0.05584319526627235,4.090909090909091,3.151468335744002,0.2683690175416722,0.7839467836786176,-0.4884931582236043,0.5493813230006963,0.059602649006622516,415146.83357440017
20,1.25,43,0.6744186046511628,2.1312935189068347,0.03222567268089976,0.02058472707225012,4.0,2.0057354624180217,0.20177278673070353,0.6692073954374272,-0.4884931582236043,0.4130514078527656,0.07483443708609272,300573.54624180216
30,1.25,43,0.6744186046511628,2.0535360421369093,0.030426191086003453,0.020498221005306405,4.093023255813954,1.7893226395849036,0.18686840622109835,0.6232936335395444,-0.48849315822360406,0.38254047794782164,0.07748344370860927,278932.26395849034
10,1.25,41,0.6829268292682927,1.873341919361913,0.026983585792451473,0.03860497599698731,4.121951219512195,1.322899304034772,0.15114647724389618,0.5662501427461732,-0.4689923211371704,0.32227921531297105,0.07417218543046358,232289.9304034772
30,1.5,30,0.7,1.9226336486648212,0.030508997656457593,0.04414431191025536,4.2,0.9879556552354811,0.1215968554082334,0.5089490013832613,-0.4689923211371704,0.25927259344757775,0.05496688741721854,198795.5655235481
