selection,family,param,IS_trades,IS_win_rate,IS_profit_factor,IS_avg_trade,IS_total_return,IS_annualized_return,IS_sharpe,IS_max_drawdown,IS_calmar,IS_exposure,IS_ending_equity,OOS_trades,OOS_win_rate,OOS_profit_factor,OOS_avg_trade,OOS_total_return,OOS_annualized_return,OOS_sharpe,OOS_max_drawdown,OOS_calmar,OOS_exposure,OOS_ending_equity
annualized_return,SOXL_distEMA10_min,-0.05,37,0.8108108108108109,4.108131381288748,0.010603001886110693,0.4568872960507864,91.19552576255705,5.408110961244274,-0.12035673720079099,757.710186264153,0.23443223443223443,145688.72960507864,14,0.5714285714285714,3.388778290920021,0.00721583612427938,0.10315342674271744,20.707281655863135,7.6710193745041915,-0.03755949805279091,551.3194459297215,0.24285714285714285,110315.34267427174
sharpe,ADX5_max,40,14,1.0,inf,0.010991639598308305,0.16467369989251956,5.250416118724862,7.935788822250416,-0.021134397108853675,248.4298980322152,0.08241758241758242,116467.36998925197,8,0.5,5.225531321409625,0.005913353770370167,0.047889729088776756,3.333900799201638,7.770419811555568,-0.014997431003264339,222.29812549069115,0.14761904761904762,104788.97290887767
baseline,WR5_CCI5,,41,0.7804878048780488,2.4165227663388076,0.008374397722341866,0.37948008156982316,46.82571942478142,4.424043401459464,-0.12035673720079088,389.05773381561664,0.2765567765567766,137948.0081569823,15,0.6,3.7274964374356574,0.007689742313232443,0.11895546963450232,32.90364231048494,8.388323408150772,-0.03755949805279091,876.0405228056553,0.2619047619047619,111895.54696345024
