trades,win_rate,profit_factor,avg_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,family,param,period
71,0.7183098591549296,2.56608440885869,0.04080870191112186,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,baseline,,IS
70,0.7285714285714285,2.6576895365857784,0.04215755130278138,8.399013528871787,0.4538315307053651,1.0044066895284491,-0.4884931582236042,0.9290437809931966,0.1271523178807947,RVOL20_min,0.5,IS
66,0.7424242424242424,3.2502276209479253,0.049040683582549476,12.060720955065607,0.5359505362860308,1.1289221993121512,-0.4884931582236042,1.0971505480957082,0.11788079470198676,RVOL20_min,0.75,IS
59,0.7288135593220338,2.5796670962812818,0.037154384166860115,4.272539743545432,0.3200313632609113,0.8420055632744102,-0.4884931582236043,0.6551399090720104,0.10596026490066225,RVOL20_min,1.0,IS
44,0.6818181818181818,2.1843785394286965,0.03297106694226826,2.201177460049917,0.21448339243882675,0.6951370707074668,-0.4884931582236042,0.4390714359619517,0.07549668874172186,RVOL20_min,1.25,IS
29,0.7241379310344828,2.19262045068711,0.036463724426282124,1.3057462399361248,0.14972243446278188,0.5789810911203322,-0.4689923211371705,0.3192428270461835,0.054304635761589407,RVOL20_min,1.5,IS
13,0.7692307692307693,5.4375507418250315,0.06416648626070792,1.1311901907050776,0.13470525021592028,0.7725090997307726,-0.1560488874864896,0.863224675200474,0.025827814569536423,RVOL20_min,2.0,IS
10,0.6,0.5784346007213365,-0.02180282795543197,-0.24316078755203552,-0.04546371150841655,-0.2599119871347312,-0.31780049587074677,-0.14305739638275197,0.017880794701986755,RVOL20_max,0.75,IS
21,0.7142857142857143,2.574115434080979,0.04324575423528282,1.0296273379847176,0.1254895697906917,0.6193110505307671,-0.2806440943118701,0.44714844293583983,0.03443708609271523,RVOL20_max,1.0,IS
33,0.7575757575757576,3.2740391866183276,0.04745356355793188,2.0985421273866867,0.20789171617170732,0.7435198661415049,-0.32325869849030475,0.6431125199186015,0.06026490066225165,RVOL20_max,1.25,IS
48,0.75,3.2033408782551005,0.044224904639498464,4.061174165456961,0.31104236753703396,0.8920066001667168,-0.3547026517547677,0.876910183778611,0.08543046357615894,RVOL20_max,1.5,IS
65,0.7230769230769231,2.3951944679709376,0.03763184867089419,4.863206985408222,0.34364938764780995,0.8509488994917377,-0.4884931582236043,0.7034886402452066,0.11324503311258279,RVOL20_max,2.0,IS
63,0.746031746031746,3.1691584439929614,0.04778011967025292,9.61329129501987,0.4836341267290105,1.0636830535707957,-0.4884931582236042,0.9900530203692853,0.11324503311258279,VOLZ20_min,-0.5,IS
59,0.7288135593220338,2.5796670962812818,0.037154384166860115,4.272539743545432,0.3200313632609113,0.8420055632744102,-0.4884931582236043,0.6551399090720104,0.10596026490066225,VOLZ20_min,0.0,IS
53,0.7169811320754716,2.423210084184054,0.03539775145102495,3.7776779741966733,0.2984814207565989,0.8361005732620788,-0.48849315822360406,0.6110247722650217,0.09006622516556291,VOLZ20_min,0.5,IS
39,0.6923076923076923,2.2342299483717145,0.035518313803851904,2.0293171376065637,0.20334232912782713,0.6692168892472448,-0.4689923211371704,0.43357283256745216,0.07218543046357616,VOLZ20_min,1.0,IS
31,0.6774193548387096,2.190928206853742,0.03901460164654021,1.5887850262103993,0.17217106494376044,0.6084763267761125,-0.46899232113717026,0.36710849449793886,0.060927152317880796,VOLZ20_min,1.5,IS
69,0.7101449275362319,2.5508615048659955,0.04158338973510408,7.627901154152106,0.4331945520258893,0.9712198394131132,-0.4884931582236043,0.8867975830023755,0.1251655629139073,ATRpct_min,0.04,IS
63,0.7301587301587301,2.7065757929612,0.04651748605353866,8.222960455034904,0.44924767643760166,1.001332117830929,-0.48849315822360406,0.9196601198495433,0.11589403973509933,ATRpct_min,0.05,IS
56,0.7142857142857143,2.728331308871861,0.04857047795109583,6.669021840617152,0.4052709586073253,0.9445500824309934,-0.4884931582236042,0.8296348716143441,0.10066225165562914,ATRpct_min,0.06,IS
53,0.7169811320754716,2.913749388662531,0.05186433942722492,6.998780629350303,0.41518639013478054,0.9630037447430742,-0.4884931582236042,0.8499328662956053,0.09470198675496688,ATRpct_min,0.07,IS
41,0.6829268292682927,2.639925665171519,0.05149756591964915,3.4163281030909385,0.2815378463583089,0.7642400568706695,-0.5176785075309627,0.5438468900342941,0.076158940397351,ATRpct_min,0.08,IS
32,0.71875,3.219805817835579,0.07066029685912023,4.1341345704258705,0.3141799965936545,0.8419179338531273,-0.45911426095451235,0.6843176597051567,0.05695364238410596,ATRpct_min,0.1,IS
10,0.7,1.9273849283507958,0.012321459997175188,0.11814727969574945,0.018825486675664305,0.24685890920101972,-0.1593800243350061,0.11811697704408929,0.015894039735099338,ATRpct_max,0.05,IS
17,0.7647058823529411,2.014863318411313,0.016498197408128065,0.2789545912205851,0.04194748799459269,0.3883693569329547,-0.18993487261104025,0.22085195529361906,0.030463576158940398,ATRpct_max,0.06,IS
22,0.7272727272727273,1.484501266844037,0.011118016060303831,0.20832641044787548,0.03210899235507969,0.2668131916855711,-0.2112009353866997,0.15203054047222625,0.04105960264900662,ATRpct_max,0.07,IS
32,0.75,2.0144945416454645,0.022328798110153317,0.8453815125649944,0.10774282222224452,0.5678667596994132,-0.2677691759049414,0.40237201260421934,0.05827814569536424,ATRpct_max,0.08,IS
42,0.7380952380952381,2.192979941760645,0.023617802779966973,1.3889163497869288,0.15654674058440654,0.6917933297619143,-0.2145234866231045,0.7297417315402994,0.07483443708609272,ATRpct_max,0.1,IS
53,0.6981132075471698,1.6352256529846338,0.017727223660783612,1.0070937307637706,0.12339297463093724,0.5175117539491407,-0.5120541176727633,0.240976432709391,0.09933774834437085,ATRpct_max,0.12,IS
70,0.7142857142857143,2.556016864363775,0.041125597700309734,7.710193620665704,0.4354685122319655,0.9740180195146703,-0.4884931582236042,0.8914526332682697,0.1271523178807947,BBwidth20_min,0.1,IS
68,0.7058823529411765,2.47866088190435,0.04023051890295309,6.586313706558435,0.40272841129836956,0.9281482263349872,-0.4884931582236043,0.824429993580429,0.123841059602649,BBwidth20_min,0.15,IS
58,0.7068965517241379,2.549921622041776,0.04446719583551768,5.668561347783931,0.3728442899708573,0.8933127361989287,-0.4884931582236042,0.7632538628108902,0.10463576158940398,BBwidth20_min,0.2,IS
53,0.7169811320754716,2.711142688562257,0.04730951870258885,5.388393304947592,0.36303854839715566,0.8839794106673948,-0.4884931582236042,0.7431804157039543,0.09668874172185431,BBwidth20_min,0.25,IS
47,0.7021276595744681,2.5376585523262585,0.04759127002707952,3.9236133810040084,0.30502269992343023,0.8030991064023039,-0.4884931582236043,0.6244155005827292,0.08543046357615894,BBwidth20_min,0.3,IS
31,0.6774193548387096,3.0166022230589196,0.05774992975288188,2.6208174359897165,0.239727036642982,0.7440122838356115,-0.45911426095451235,0.5221511441282226,0.05364238410596026,BBwidth20_min,0.4,IS
69,0.7391304347826086,2.9002823890886047,0.04752292666492236,11.69296601456232,0.5286414698856929,1.120448164018874,-0.4591142609545126,1.1514377026464635,0.11920529801324503,ADX14_min,15.0,IS
58,0.7241379310344828,2.8175744814757318,0.0447857345906834,7.708365663782757,0.4354181956404244,1.0340798541551104,-0.45911426095451247,0.9483874335229246,0.10066225165562914,ADX14_min,20.0,IS
47,0.7021276595744681,2.759077467128116,0.046090364264972816,4.912572311256848,0.34553215382068747,0.91071524957398,-0.45911426095451224,0.7526060138108449,0.08079470198675497,ADX14_min,25.0,IS
35,0.6857142857142857,3.220953142616291,0.053678969498497396,3.820961796894416,0.30043870162466635,0.8679791341703854,-0.45911426095451224,0.6543876485126934,0.05695364238410596,ADX14_min,30.0,IS
26,0.6923076923076923,3.58836588244086,0.060779206589501526,2.719736581705574,0.24532014400100466,0.7890009334858047,-0.44621497822544276,0.5497801642083397,0.04304635761589404,ADX14_min,35.0,IS
17,0.7647058823529411,4.451773455034604,0.0796813152433756,2.079637064868965,0.20665776922628476,0.7404703766612404,-0.44621497822544276,0.4631349894352366,0.027152317880794703,ADX14_min,40.0,IS
4,0.25,0.03216561171371425,-0.05564863631606112,-0.20930781344460703,-0.03846241603017719,-0.1640600346510668,-0.2937498382778455,-0.13093595644399036,0.011920529801324504,ADX14_max,15.0,IS
15,0.7333333333333333,1.8422474496731525,0.023636884122346397,0.07519244554856575,0.012181740439449973,0.1673641416556156,-0.3713054990474347,0.032807864334629046,0.029801324503311258,ADX14_max,20.0,IS
25,0.76,2.2721770568589577,0.0314805564200881,0.5844025217358271,0.0798898564731445,0.42269051292120335,-0.4181773743210456,0.1910429912733896,0.04966887417218543,ADX14_max,25.0,IS
38,0.7631578947368421,2.0972427681312067,0.02899540161935882,0.9956785513230573,0.12232337967346818,0.5219933679462234,-0.3993722881488264,0.3062891024323758,0.07417218543046358,ADX14_max,30.0,IS
