period,start,end,lookback,entry_thr,exit_thr,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,calmar,exposure,ending_equity,bh_total_return,bh_cagr,bh_sharpe,bh_max_drawdown,bh_calmar,bh_ending_equity,selected_on,locked_lookback,locked_entry_thr,locked_exit_thr
IS,2016-09-06,2022-09-02,2,-80.0,-35.0,190,0.7052631578947368,2.3274645951478705,0.027556550526295027,0.034349418420625666,3.873684210526316,72.62722184975777,1.0502807906603593,0.6461572249918073,1.432447418002224,-0.3417534856566137,3.0732116415504773,0.32847682119205296,7362722.184975778,3.429392012559359,0.28217018581360476,0.7464359920131073,-0.8410741197424304,0.33548789481242897,442939.2012559359,IS_CALMAR,2,-80.0,-35.0
Validation,2022-09-06,2024-08-30,2,-80.0,-35.0,63,0.746031746031746,2.9143505256189033,0.033345439704641995,0.0341242335377232,4.063492063492063,5.443026583084897,1.5596284344944245,0.6403260824909051,1.7758721312905872,-0.2602710865457579,5.992323062824069,0.342,644302.6583084897,2.1231884057971016,0.7763122814610417,1.072556786239694,-0.6177285318559557,1.2567207785086818,312318.84057971014,IS_CALMAR,2,-80.0,-35.0
OOS,2024-09-03,2026-09-03,2,-80.0,-35.0,48,0.5833333333333334,1.527024293648687,0.01771459540018289,0.018434324601472873,4.5625,0.7908021900304718,0.3384756308665826,0.808284541050216,0.7425480020261801,-0.6435364243367421,0.5259618850874386,0.2803180914512923,179080.21900304718,2.5497173262387762,0.8848869504168642,1.1347833442203932,-0.7978931896129349,1.1090293311641508,354971.73262387764,IS_CALMAR,2,-80.0,-35.0
