period,start,end,tactical_weight,core_spy_weight,total_return,cagr,annualized_volatility,sharpe,max_drawdown,calmar,ending_equity_100k
IS,2016-09-06,2022-09-02,0.0,1.0,0.7907983717358473,0.10220208231451644,0.19163723830609197,0.603934177960928,-0.34104746704498434,0.29967113727613737,179079.83717358473
IS,2016-09-06,2022-09-02,0.1,0.9,0.7542083234246963,0.09840853450633702,0.18104106579973145,0.6092701790052262,-0.3319124428711283,0.2964894405737784,175421.05509908215
IS,2016-09-06,2022-09-02,0.2,0.8,0.7176183680404162,0.09454850131913117,0.1704768152239524,0.6154273532216807,-0.32236965538028584,0.293292187217796,171762.27302457957
IS,2016-09-06,2022-09-02,0.3,0.7,0.681028505582653,0.09061936322540864,0.16003675490066532,0.6222727410246991,-0.3123911790989141,0.29008297701234176,168103.49095007696
IS,2016-09-06,2022-09-02,0.4,0.6,0.6444387360510524,0.08661833767068883,0.14985232092842754,0.629464365382454,-0.30194647903281857,0.2868665266379022,164444.70887557438
IS,2016-09-06,2022-09-02,0.5,0.5,0.6078490594452608,0.08254246503707896,0.14010975089422106,0.6362968289845928,-0.29100209856476555,0.28364903704881106,160785.92680107176
IS,2016-09-06,2022-09-02,0.6,0.4,0.5712594757649239,0.07838859304794421,0.13107014531134722,0.6414736587967722,-0.2795213014608977,0.280438709458821,157127.14472656918
IS,2016-09-06,2022-09-02,0.7,0.3,0.5346699850096879,0.07415335939978984,0.12309184897375831,0.6428329340906959,-0.2674636599157526,0.27724648433789895,153468.36265206657
IS,2016-09-06,2022-09-02,0.8,0.2,0.49808058717919823,0.06983317237225761,0.1166474582620293,0.6371748412442501,-0.2547845789019695,0.27408712361326437,149809.58057756396
IS,2016-09-06,2022-09-02,0.9,0.1,0.4614912822731019,0.0654241891251397,0.11231843743570397,0.6205621447132162,-0.24143474503097717,0.27098083631974956,146150.79850306138
IS,2016-09-06,2022-09-02,1.0,0.0,0.42490207029104443,0.060922291340956614,0.11074346867895166,0.5895817558781352,-0.22755292223149892,0.2677280113281862,142492.0164285588
Validation,2022-09-06,2024-08-30,0.0,1.0,0.44252226430545605,0.2030275015686933,0.155373943056928,1.2665122972547653,-0.13239409202618202,1.5335087726463124,144252.22643054562
Validation,2022-09-06,2024-08-30,0.1,0.9,0.42813241732864515,0.1969582065536022,0.14367040553207863,1.3223339480700769,-0.12370197936299931,1.5921993129603442,142814.96455927272
Validation,2022-09-06,2024-08-30,0.2,0.8,0.41374291752706704,0.19085868009811802,0.13232489179091442,1.3853012168651264,-0.11644799202584766,1.6390036167884596,141377.7026879998
Validation,2022-09-06,2024-08-30,0.3,0.7,0.39935376488815844,0.18472846082941752,0.12143514920728013,1.4556786907205534,-0.10912246109593682,1.692854605496942,139940.44081672688
Validation,2022-09-06,2024-08-30,0.4,0.6,0.3849649593993558,0.17856707551601536,0.11113355055024807,1.5329423660841577,-0.10172432291307976,1.7554019569989698,138503.17894545395
Validation,2022-09-06,2024-08-30,0.5,0.5,0.37057650104809614,0.17237403863643097,0.10159864727404327,1.6149931921217153,-0.0942524926270657,1.8288538990525516,137065.91707418102
Validation,2022-09-06,2024-08-30,0.6,0.4,0.3561883898218181,0.16614885192746986,0.09306731628093033,1.6969331798794858,-0.08670586366734234,1.9162354758949207,135628.65520290815
Validation,2022-09-06,2024-08-30,0.7,0.3,0.3418006257079589,0.15989100391092204,0.08584195724486016,1.7695794971147543,-0.07908330719668766,2.0218047218644766,134191.39333163522
Validation,2022-09-06,2024-08-30,0.8,0.2,0.32741320869395873,0.15359996939741083,0.08028061742002876,1.8186933619948404,-0.07138367154830805,2.1517521593641185,132754.1314603623
Validation,2022-09-06,2024-08-30,0.9,0.1,0.3130261387672564,0.1472752089660232,0.07675267261182307,1.8270808182075309,-0.06360578164577724,2.315437451680161,131316.8695890894
Validation,2022-09-06,2024-08-30,1.0,0.0,0.2986394159152925,0.14091616841826538,0.07555243937447008,1.7813605627386708,-0.05611742470242875,2.511094711945442,129879.60771781649
OOS,2024-09-03,2026-09-03,0.0,1.0,0.4004673235762932,0.18354992851670837,0.16520944564279264,1.1036829393929415,-0.18998906889856904,0.9661078375761798,140046.7323576293
OOS,2024-09-03,2026-09-03,0.1,0.9,0.38864825834708894,0.17854171686404952,0.15503080422229482,1.1381095211306034,-0.17382048931542637,1.0271615133936005,138867.68578886
OOS,2024-09-03,2026-09-03,0.2,0.8,0.3768296799307571,0.1735123687898099,0.14545272830069247,1.1736046706836347,-0.15761328357611515,1.100874018058362,137688.63922009067
OOS,2024-09-03,2026-09-03,0.3,0.7,0.365011588297222,0.16846161160142992,0.1365616951983122,1.209109503686743,-0.141367313100353,1.1916588630487968,136509.59265132132
OOS,2024-09-03,2026-09-03,0.4,0.6,0.3531939834164102,0.16338916670323766,0.12846136765197153,1.2430035478616304,-0.12508243864414526,1.306251848575431,135330.54608255203
OOS,2024-09-03,2026-09-03,0.5,0.5,0.3413768652582496,0.15829474941602406,0.12127221883774918,1.2729864417660741,-0.10875852029580702,1.455469870181075,134151.49951378268
OOS,2024-09-03,2026-09-03,0.6,0.4,0.32956023379267196,0.1531780687894666,0.11512818696384958,1.2960555042780426,-0.09239541747195634,1.657853527594687,132972.45294501336
