family,param,IS_trades,IS_win_rate,IS_profit_factor,IS_avg_trade,IS_total_return,IS_cagr,IS_sharpe,IS_max_drawdown,IS_calmar,IS_exposure,Validation_trades,Validation_win_rate,Validation_profit_factor,Validation_avg_trade,Validation_total_return,Validation_cagr,Validation_sharpe,Validation_max_drawdown,Validation_calmar,Validation_exposure,OOS_trades,OOS_win_rate,OOS_profit_factor,OOS_avg_trade,OOS_total_return,OOS_cagr,OOS_sharpe,OOS_max_drawdown,OOS_calmar,OOS_exposure,robust_score
QQQ_ret5_down,-0.01,50,0.74,2.2323608071820007,0.03720251808390192,2.670792815239249,0.24256844845417946,0.7038991073250077,-0.4884931582236043,0.4965646793012922,0.09536423841059603,19,0.6842105263157895,4.9384791522435645,0.044392582574401214,1.139565447193899,0.4677280794989638,1.2324495648334193,-0.1885855328551005,2.480190672199347,0.11,17,0.8235294117647058,5.019790166311093,0.06501385633612239,1.6679631634702097,0.6339391036449764,1.0809648703021564,-0.3979706247775021,1.5929293876888522,0.09741550695825049,5.229827277455987
ADX14_min,15.0,69,0.7391304347826086,2.9002823890886047,0.04752292666492236,11.69296601456232,0.5286414698856929,1.120448164018874,-0.4591142609545126,1.1514377026464635,0.11920529801324503,25,0.68,4.0554450246731655,0.041368313117790254,1.5072569203295685,0.5899790540551015,1.3738369091552216,-0.2587891122517628,2.2797676800295243,0.146,17,0.8235294117647058,4.530557835283766,0.0571012839956647,1.3617430182046935,0.5372487178124556,0.9821077764070316,-0.4123342058162264,1.302944820570871,0.09542743538767395,4.760684843381522
QQQ_dist50_min,-0.1,67,0.7313432835820896,2.915240905289551,0.04444183713730842,9.192869565684743,0.47365286172708276,1.1090674869724948,-0.3668056669780315,1.2912910142019438,0.1205298013245033,27,0.6666666666666666,2.6802044294614777,0.02986460691978676,0.9947496505163627,0.41674074070254497,1.0329217125833705,-0.3197632613188608,1.3032789914129015,0.166,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.415889744923978,0.5547828658723246,0.9952879614988505,-0.3988610298971422,1.3909176988671752,0.10337972166998012,3.708301527321187
ATRpct_min,0.05,63,0.7301587301587301,2.7065757929612,0.04651748605353866,8.222960455034904,0.44924767643760166,1.001332117830929,-0.48849315822360406,0.9196601198495433,0.11589403973509933,27,0.6666666666666666,2.6802044294614777,0.02986460691978676,0.9947496505163627,0.41674074070254497,1.0329217125833705,-0.3197632613188608,1.3032789914129015,0.166,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.415889744923978,0.5547828658723246,0.9952879614988505,-0.3988610298971422,1.3909176988671752,0.10337972166998012,3.708301527321187
baseline,,71,0.7183098591549296,2.56608440885869,0.04080870191112186,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,27,0.6666666666666666,2.6802044294614777,0.02986460691978676,0.9947496505163627,0.41674074070254497,1.0329217125833705,-0.3197632613188608,1.3032789914129015,0.166,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.415889744923978,0.5547828658723246,0.9952879614988505,-0.3988610298971422,1.3909176988671752,0.10337972166998012,3.708301527321187
QQQ_ATRpct_min,0.01,62,0.6935483870967742,2.4067625335841103,0.04194617844190489,5.647876785160583,0.37213219375858086,0.8868240242447203,-0.4884931582236042,0.7617961224100503,0.11456953642384106,27,0.6666666666666666,2.6802044294614777,0.02986460691978676,0.9947496505163627,0.41674074070254497,1.0329217125833705,-0.3197632613188608,1.3032789914129015,0.166,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.415889744923978,0.5547828658723246,0.9952879614988505,-0.3988610298971422,1.3909176988671752,0.10337972166998012,3.708301527321187
BBwidth20_min,0.1,70,0.7142857142857143,2.556016864363775,0.041125597700309734,7.710193620665704,0.4354685122319655,0.9740180195146703,-0.4884931582236042,0.8914526332682697,0.1271523178807947,27,0.6666666666666666,2.6802044294614777,0.02986460691978676,0.9947496505163627,0.41674074070254497,1.0329217125833705,-0.3197632613188608,1.3032789914129015,0.166,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.415889744923978,0.5547828658723246,0.9952879614988505,-0.3988610298971422,1.3909176988671752,0.10337972166998012,3.708301527321187
QQQ_above_EMA200,0.0,53,0.6981132075471698,2.0384765398157807,0.024654113419197543,1.9691505326900929,0.19931735544703488,0.7280577869609528,-0.4181529182873529,0.4766614000050212,0.09271523178807947,18,0.7222222222222222,3.249319932474588,0.03245479112773481,0.6505174215762757,0.28761771258235624,0.8773049185386669,-0.3197632613188607,0.8994707878449812,0.118,15,0.8,3.3928305095778915,0.05952576891465065,1.152970442915898,0.4676857849426834,1.1372778429180752,-0.2616451401340757,1.7874812606992265,0.0874751491053678,3.6942434292725785
QQQ_dist200_min,-0.1,65,0.7230769230769231,3.1679552427928055,0.04499909654734243,9.172179668353976,0.4731528663793425,1.1244980224276344,-0.27941241400333705,1.693385270898134,0.11721854304635762,24,0.7083333333333334,3.097025898117982,0.030901571541401936,0.9097131100953664,0.38594283217041236,1.029408913692708,-0.3197632613188607,1.2069642728141896,0.146,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.415889744923978,0.5547828658723246,0.9952879614988505,-0.3988610298971422,1.3909176988671752,0.10337972166998012,3.6102304092771442
RVOL20_min,0.75,66,0.7424242424242424,3.2502276209479253,0.049040683582549476,12.060720955065607,0.5359505362860308,1.1289221993121512,-0.4884931582236042,1.0971505480957082,0.11788079470198676,26,0.6538461538461539,2.6536224664363672,0.030522595263128064,0.9696233428121681,0.40770956903818156,1.0277845440321653,-0.3197632613188607,1.275035685327286,0.162,17,0.7647058823529411,3.351966782559209,0.052760964219515184,1.1656391734714298,0.47200056284492,0.9068755653794978,-0.3988610298971422,1.183370967493713,0.10139165009940358,3.4257367075268306
