period,start,end,wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,bh_total_return,bh_cagr,bh_sharpe,bh_max_drawdown,bh_calmar
IS,2016-09-06,2022-09-02,2,-90.0,-30.0,5,-50.0,0.0,81,0.7654320987654321,3.3366502977063135,0.050647980753152036,0.06289308176100628,3.888888888888889,27.895364122761915,0.7537687685400971,1.3619615773173843,-0.3257011937607833,2.3142953817163936,0.1456953642384106,2889536.4122761916,3.429392012559359,0.28217018581360476,0.7464359920131073,-0.8410741197424304,0.33548789481242897
Validation,2022-09-06,2024-08-30,2,-90.0,-30.0,5,-50.0,0.0,29,0.7241379310344828,2.9029469929380642,0.03352216604305215,0.05217391304347818,4.379310344827586,1.3974218837345607,0.5544504633108711,1.2514352216318723,-0.2582510238496748,2.14694391157036,0.174,239742.18837345607,2.1231884057971016,0.7763122814610417,1.072556786239694,-0.6177285318559557,1.2567207785086818
OOS,2024-09-03,2026-09-03,2,-90.0,-30.0,5,-50.0,0.0,19,0.7894736842105263,5.139799865067815,0.07423221568715496,0.09415887850467297,4.315789473684211,2.5533727806405824,0.8858578819023064,1.2748196357163548,-0.3729264889644801,2.3754222564401455,0.10337972166998012,355337.2780640582,2.5497173262387762,0.8848869504168642,1.1347833442203932,-0.7978931896129349,1.1090293311641508
