filter,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,period,start,end,wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,execution
none,71,0.7183098591549296,2.56608440885869,0.04080870191112186,0.04212328048836844,3.887323943661972,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,887242.9658021608,IS,2016-09-06,2022-09-02,2,-90,-30,5,-80,0,next_open
ema50,33,0.696969696969697,2.4197087462181277,0.030850347559822057,0.03918601630273222,3.878787878787879,1.4508149944211577,0.16149834825666654,0.7725252197434134,-0.22570003173662223,0.7155441982618991,0.05894039735099338,245081.49944211578,IS,2016-09-06,2022-09-02,2,-90,-30,5,-80,0,next_open
ema200,52,0.6923076923076923,1.9867993881396337,0.023877788289160703,0.020737697524337184,3.9038461538461537,1.7878745120318356,0.18676547526579657,0.6974838393485954,-0.418152918287353,0.44664395989567646,0.09205298013245033,278787.45120318356,IS,2016-09-06,2022-09-02,2,-90,-30,5,-80,0,next_open
none,27,0.6666666666666666,2.574922819723221,0.027993290646847763,0.010132158590308471,4.037037037037037,0.9006771196658487,0.3826306468580185,0.9761163540976163,-0.3197632613188608,1.1966060305985802,0.162,190067.71196658487,Validation,2022-09-06,2024-08-30,2,-90,-30,5,-80,0,next_open
ema50,13,0.7692307692307693,1.2630731561862358,0.005119035946061035,0.010132158590308471,4.076923076923077,0.03377686052845563,0.016899806486889046,0.19931831284841553,-0.3197632613188607,0.05285099488035601,0.086,103377.68605284557,Validation,2022-09-06,2024-08-30,2,-90,-30,5,-80,0,next_open
ema200,18,0.7222222222222222,3.054779056701302,0.02964781671832632,0.00988641233634624,4.166666666666667,0.5726789063418694,0.2566164434367544,0.8108499194140328,-0.3197632613188607,0.8025200968314564,0.114,157267.89063418694,Validation,2022-09-06,2024-08-30,2,-90,-30,5,-80,0,next_open
none,18,0.7777777777777778,3.65497786851002,0.05624952527125863,0.065020392625883,4.388888888888889,1.415889744923978,0.5547828658723246,0.9952879614988505,-0.3988610298971422,1.3909176988671752,0.10337972166998012,241588.9744923978,OOS,2024-09-03,2026-09-03,2,-90,-30,5,-80,0,next_open
ema50,10,0.9,7.1788243090528265,0.06574721518786183,0.065020392625883,3.9,0.8448869464091631,0.35855105649430397,1.1827454845334624,-0.17119851675943976,2.0943584283392087,0.05168986083499006,184488.6946409163,OOS,2024-09-03,2026-09-03,2,-90,-30,5,-80,0,next_open
ema200,15,0.8,3.3928305095778915,0.05952576891465065,0.07496529384544193,4.333333333333333,1.152970442915898,0.4676857849426834,1.1372778429180752,-0.2616451401340757,1.7874812606992265,0.0874751491053678,215297.04429158982,OOS,2024-09-03,2026-09-03,2,-90,-30,5,-80,0,next_open
