wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_15m_bars,total_return,annualized_return,sharpe,max_drawdown,calmar,exposure,ending_equity
5,-80,-40,5,-80,50,40,0.8,3.3200689807372457,0.010964437343547134,0.006641899515236638,10.6,0.5178386949469946,193.01821866055715,6.033130674324274,-0.10375539027469072,1860.3199134960078,0.27692307692307694,151783.86949469947
5,-80,-40,5,-50,50,44,0.8181818181818182,3.005045489016952,0.010903721118462937,0.006914792221075494,9.840909090909092,0.5724409521866269,302.11615541221965,6.247993830083724,-0.16462165361500625,1835.2151662791946,0.29423076923076924,157244.0952186627
5,-80,-40,5,-80,0,40,0.8,3.3076499337102003,0.010905746044225794,0.006476990857490872,10.55,0.5143061994549238,187.39429807826141,6.001901248840993,-0.10375539027469072,1806.116266173141,0.27307692307692305,151430.6199454924
5,-80,-40,5,-50,0,44,0.8181818181818182,2.9952340991361877,0.010850365391807172,0.006914792221075494,9.795454545454545,0.5687813798001549,293.32986102699186,6.2182153645630285,-0.16462165361500625,1781.8425133366118,0.2903846153846154,156878.13798001548
5,-80,-40,5,-100,50,35,0.8,3.3265602131021494,0.012142975392153633,0.006876487701666267,11.714285714285714,0.4973993605309084,162.49747800506478,5.8793456697186555,-0.10557567693207992,1539.1563921451757,0.25,149739.93605309085
5,-80,-40,5,-100,0,35,0.8,3.3231536949915266,0.012125195811226704,0.006876487701666267,11.685714285714285,0.49647938104592293,161.23388306990563,5.871021551226726,-0.10557567693207992,1527.1877742600916,0.24807692307692308,149647.9381045923
5,-80,-40,7,-50,50,39,0.7948717948717948,3.184962428959302,0.01074090597040066,0.006876487701666267,10.76923076923077,0.48994728436554613,152.5173717112394,5.888723885938119,-0.10557567693207948,1444.6260364435946,0.2692307692307692,148994.7284365546
5,-80,-40,7,-50,0,39,0.7948717948717948,3.175180330690348,0.010692818828806147,0.006876487701666267,10.717948717948717,0.48717146782860943,148.9455738743211,5.863244988076742,-0.10557567693208003,1410.7944007798521,0.2653846153846154,148717.14678286095
10,-80,-40,10,-50,50,34,0.7647058823529411,3.6965166429814014,0.012119517017815258,0.006914792221075494,11.823529411764707,0.4833543508570559,144.1587615209833,5.844205677417796,-0.1028706662148553,1401.3592681502987,0.23461538461538461,148335.4350857056
10,-80,-30,10,-50,50,34,0.7647058823529411,3.6965166429814014,0.012119517017815258,0.006914792221075494,11.823529411764707,0.4833543508570559,144.1587615209833,5.844205677417796,-0.1028706662148553,1401.3592681502987,0.23461538461538461,148335.4350857056
10,-80,-20,10,-50,50,34,0.7647058823529411,3.6965166429814014,0.012119517017815258,0.006914792221075494,11.823529411764707,0.4833543508570559,144.1587615209833,5.844205677417796,-0.1028706662148553,1401.3592681502987,0.23461538461538461,148335.4350857056
10,-80,-40,10,-50,0,34,0.7647058823529411,3.6465809946006345,0.01189508082087148,0.006699108196821402,11.735294117647058,0.472164764660713,130.9254042116027,5.740980941462246,-0.10814526423260762,1210.6438977299804,0.22884615384615384,147216.4764660713
