period,start,end,trading_days,bars,wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_15m_bars,total_return,annualized_return,sharpe,max_drawdown,calmar,exposure,ending_equity
IS,2026-07-27T09:30:00-04:00,2026-08-21T15:45:00-04:00,20,520,5,-80.0,-40.0,5,-80.0,50.0,40,0.8,3.3200689807372457,0.010964437343547134,0.006641899515236638,10.6,0.5178386949469946,193.01821866055715,6.033130674324274,-0.10375539027469072,1860.3199134960078,0.27692307692307694,151783.86949469947
OOS,2026-08-24T09:30:00-04:00,2026-09-03T15:45:00-04:00,9,234,5,-80.0,-40.0,5,-80.0,50.0,16,0.75,4.9239219671374785,0.009623529681025457,0.008559341698418765,8.0,0.16243986972877944,67.90164668407867,9.823934140516437,-0.03755949805279102,1807.8422291118172,0.24786324786324787,116243.98697287794
