mode,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,period,start,end,wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit
next_open,17,0.8235294117647058,3.7153020078219283,0.05992255325570892,0.07496529384544193,4.235294117647059,1.4309420174780216,0.5596222226328684,1.0059908321251583,-0.397970624777502,1.4061897732922948,0.09343936381709742,243094.20174780217,OOS,2024-09-03,2026-09-03,2,-90,-30,5,-80,0
next_close,17,0.6470588235294118,1.8852995195554623,0.029073918646016304,0.05050995628946087,4.235294117647059,0.4733501645638125,0.2139774705235309,0.5943557509047518,-0.4044351307430154,0.5290773581672251,0.09343936381709742,147335.01645638124,OOS,2024-09-03,2026-09-03,2,-90,-30,5,-80,0
