period,start,end,trading_days,bars,wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_5m_bars,total_return,annualized_return,sharpe,max_drawdown,calmar,exposure,ending_equity
IS,2026-07-27T09:30:00-04:00,2026-08-21T15:55:00-04:00,20,1560,7,-80.0,-50.0,3,-100.0,0.0,71,0.676056338028169,1.2008284372019458,0.001179948554735463,0.0026890756302520025,21.197183098591548,0.0681673925996098,1.2966078869621755,1.359846199836213,-0.11632798966837765,11.146138523140339,0.15705128205128205,106816.73925996097
OOS,2026-08-24T09:30:00-04:00,2026-09-03T15:55:00-04:00,9,702,7,-80.0,-50.0,3,-100.0,0.0,22,0.7727272727272727,2.582298192647315,0.002531647732216924,0.002190817100529374,3.0,0.05642700292141223,3.6607739260630394,6.407985864365445,-0.04563461439522565,80.21923652862145,0.09401709401709402,105642.70029214122
