bear_weight,trades,win_rate,profit_factor,avg_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,period,start,end
0.0,71,0.7183098591549296,2.56608440885869,0.04080870191112186,1.9691505326900929,0.19931735544703488,0.7280577869609528,-0.4181529182873529,0.4766614000050212,0.12847682119205298,296915.0532690093,IS,2016-09-06,2022-09-02
0.25,71,0.7183098591549296,2.56608440885869,0.04080870191112186,3.1433880013052873,0.26795638163794777,0.8784232410287793,-0.27941241400333705,0.9589995583902279,0.12847682119205298,414338.80013052875,IS,2016-09-06,2022-09-02
0.5,71,0.7183098591549296,2.56608440885869,0.04080870191112186,4.548438959285649,0.3313237246928862,0.9554680783079782,-0.3119248891128903,1.062190726861091,0.12847682119205298,554843.895928565,IS,2016-09-06,2022-09-02
0.75,71,0.7183098591549296,2.56608440885869,0.04080870191112186,6.1483842066689816,0.3888678324515267,0.98060892261564,-0.4037805224192297,0.9630673369820951,0.12847682119205298,714838.4206668981,IS,2016-09-06,2022-09-02
1.0,71,0.7183098591549296,2.56608440885869,0.04080870191112186,7.872429658021607,0.4398996018604764,0.9802154480672237,-0.4884931582236043,0.9005235681501919,0.12847682119205298,887242.9658021608,IS,2016-09-06,2022-09-02
0.0,27,0.6666666666666666,2.574922819723221,0.027993290646847763,0.5726789063418694,0.2566164434367544,0.8108499194140328,-0.3197632613188607,0.8025200968314564,0.162,157267.89063418694,Validation,2022-09-06,2024-08-30
0.25,27,0.6666666666666666,2.574922819723221,0.027993290646847763,0.6589371249669294,0.29092725108198647,0.8803868047193768,-0.3197632613188607,0.9098207526470041,0.162,165893.71249669293,Validation,2022-09-06,2024-08-30
0.5,27,0.6666666666666666,2.574922819723221,0.027993290646847763,0.7426856951929794,0.3234037275199726,0.9304769026773017,-0.3197632613188607,1.0113848795077234,0.162,174268.56951929795,Validation,2022-09-06,2024-08-30
0.75,27,0.6666666666666666,2.574922819723221,0.027993290646847763,0.8234281273915014,0.3539899507593163,0.9613701684475019,-0.3197632613188607,1.1070375918086648,0.162,182342.81273915013,Validation,2022-09-06,2024-08-30
1.0,27,0.6666666666666666,2.574922819723221,0.027993290646847763,0.9006771196658487,0.3826306468580185,0.9761163540976163,-0.3197632613188608,1.1966060305985802,0.162,190067.71196658487,Validation,2022-09-06,2024-08-30
0.0,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.152970442915898,0.4676857849426834,1.1372778429180752,-0.2616451401340757,1.7874812606992265,0.10337972166998012,215297.04429158982,OOS,2024-09-03,2026-09-03
0.25,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.2176882229514487,0.4895967090335196,1.1507075081753793,-0.2961525628232554,1.6531908566521916,0.10337972166998012,221768.82229514487,OOS,2024-09-03,2026-09-03
0.5,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.283084666488623,0.5114152161270571,1.1196864352684228,-0.33052435201349306,1.5472845283913588,0.10337972166998012,228308.46664886232,OOS,2024-09-03,2026-09-03
0.75,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.3491538237414544,0.5331433098806182,1.0610481767834292,-0.36476050770478885,1.4616256382450985,0.10337972166998012,234915.38237414544,OOS,2024-09-03,2026-09-03
1.0,18,0.7777777777777778,3.65497786851002,0.05624952527125863,1.415889744923978,0.5547828658723246,0.9952879614988505,-0.3988610298971422,1.3909176988671752,0.10337972166998012,241588.9744923978,OOS,2024-09-03,2026-09-03
