cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
5,-80,0,70,0.7428571428571429,3.351914671565804,0.05280502261578529,0.06405627195912034,3.9571428571428573,20.28559386279719,0.666491398286261,1.2856801982694073,-0.3257011937607833,2.046327772368488,0.12847682119205298,2128559.386279719
5,-80,50,70,0.7428571428571429,3.351914671565804,0.05280502261578529,0.06405627195912034,3.9571428571428573,20.28559386279719,0.666491398286261,1.2856801982694073,-0.3257011937607833,2.046327772368488,0.12847682119205298,2128559.386279719
5,-80,100,70,0.7428571428571429,3.351914671565804,0.05280502261578529,0.06405627195912034,3.9571428571428573,20.28559386279719,0.666491398286261,1.2856801982694073,-0.3257011937607833,2.046327772368488,0.12847682119205298,2128559.386279719
5,-80,150,70,0.7428571428571429,3.351914671565804,0.05280502261578529,0.06405627195912034,3.9571428571428573,20.28559386279719,0.666491398286261,1.2856801982694073,-0.3257011937607833,2.046327772368488,0.12847682119205298,2128559.386279719
7,-80,0,66,0.7727272727272727,3.337383865693875,0.05332573459746087,0.06405627195912034,3.909090909090909,16.995959267399012,0.6204150855915052,1.2412607117635293,-0.3257011937607833,1.9048597225811195,0.12119205298013246,1799595.926739901
7,-80,50,66,0.7727272727272727,3.337383865693875,0.05332573459746087,0.06405627195912034,3.909090909090909,16.995959267399012,0.6204150855915052,1.2412607117635293,-0.3257011937607833,1.9048597225811195,0.12119205298013246,1799595.926739901
7,-80,100,66,0.7727272727272727,3.337383865693875,0.05332573459746087,0.06405627195912034,3.909090909090909,16.995959267399012,0.6204150855915052,1.2412607117635293,-0.3257011937607833,1.9048597225811195,0.12119205298013246,1799595.926739901
7,-80,150,66,0.7727272727272727,3.337383865693875,0.05332573459746087,0.06405627195912034,3.909090909090909,16.995959267399012,0.6204150855915052,1.2412607117635293,-0.3257011937607833,1.9048597225811195,0.12119205298013246,1799595.926739901
20,-80,0,54,0.7407407407407407,3.858584858922122,0.05302919927377972,0.059956967511866854,3.8518518518518516,9.517430796266785,0.4813876724994275,1.135152285839838,-0.2764854094203688,1.7410961160974863,0.09801324503311258,1051743.0796266785
20,-80,50,54,0.7407407407407407,3.858584858922122,0.05302919927377972,0.059956967511866854,3.8518518518518516,9.517430796266785,0.4813876724994275,1.135152285839838,-0.2764854094203688,1.7410961160974863,0.09801324503311258,1051743.0796266785
20,-80,100,54,0.7407407407407407,3.858584858922122,0.05302919927377972,0.059956967511866854,3.8518518518518516,9.517430796266785,0.4813876724994275,1.135152285839838,-0.2764854094203688,1.7410961160974863,0.09801324503311258,1051743.0796266785
20,-80,150,54,0.7407407407407407,3.858584858922122,0.05302919927377972,0.059956967511866854,3.8518518518518516,9.517430796266785,0.4813876724994275,1.135152285839838,-0.2764854094203688,1.7410961160974863,0.09801324503311258,1051743.0796266785
5,-100,0,61,0.7213114754098361,2.923096981345,0.049547650194371975,0.06346153846153846,4.049180327868853,10.268692506413823,0.49855600913471143,1.088966601520948,-0.3257011937607833,1.5307159405159694,0.11456953642384106,1126869.2506413823
5,-100,50,61,0.7213114754098361,2.923096981345,0.049547650194371975,0.06346153846153846,4.049180327868853,10.268692506413823,0.49855600913471143,1.088966601520948,-0.3257011937607833,1.5307159405159694,0.11456953642384106,1126869.2506413823
