lookback,mode,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,calmar,exposure,ending_equity,period,start,end,selected_on,locked_lookback
2,close,107,0.7757009345794392,2.5037413420596826,0.006002063603913034,0.007648671043406274,4.065420560747664,0.7969811026790619,0.10283670077101204,0.10703982761872873,0.9667445464577891,-0.1465771664486164,0.701587452279357,0.20198675496688742,179698.1102679062,IS,2016-09-06,2022-09-02,IS_CAGR,2
2,close,45,0.7333333333333333,3.676894332253343,0.007424159141875515,0.011012142592628615,3.8,0.38839566588037333,0.18003899635305043,0.08816142004057746,1.9201778856125822,-0.05729800780861105,3.142151066655291,0.24,138839.56658803733,Validation,2022-09-06,2024-08-30,IS_CAGR,2
2,close,25,0.84,4.3377301098178,0.007261011562187716,0.009483396020188328,5.36,0.19648796132276392,0.09390812371571533,0.10519956142536127,0.905654008291604,-0.0750657205069366,1.251012087561826,0.16500994035785288,119648.79613227639,OOS,2024-09-03,2026-09-03,IS_CAGR,2
