period,start,end,trading_days,bars,wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_5m_bars,total_return,annualized_return,sharpe,max_drawdown,calmar,exposure,ending_equity
IS,2026-07-27T09:30:00-04:00,2026-08-21T15:55:00-04:00,20,1560,5,-90.0,-50.0,10,-100.0,0.0,64,0.6875,2.126118344416521,0.003777505516382701,0.0045655445076320245,17.1875,0.26203951395163805,17.80771721165595,4.036706072100968,-0.09404803071730683,189.3470503936767,0.16666666666666666,126203.95139516381
OOS,2026-08-24T09:30:00-04:00,2026-09-03T15:55:00-04:00,9,702,5,-90.0,-50.0,10,-100.0,0.0,27,0.6666666666666666,2.543364534472818,0.003640025413063404,0.0007559083528774213,11.62962962962963,0.09949096132853574,13.289330898736843,6.343087796978005,-0.05997781854330386,221.57076101629093,0.14814814814814814,109949.09613285358
