wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_5m_bars,total_return,annualized_return,sharpe,max_drawdown,calmar,exposure,ending_equity
7,-80,-50,3,-100,0,71,0.676056338028169,1.2008284372019458,0.001179948554735463,0.0026890756302520025,21.197183098591548,0.0681673925996098,1.2966078869621755,1.359846199836213,-0.11632798966837765,11.146138523140339,0.15705128205128205,106816.73925996097
5,-85,-50,7,-100,0,86,0.6744186046511628,1.2003241390473367,0.0009170655935014223,0.003080800776922521,19.046511627906977,0.07299127828302399,1.430856370971537,1.427653181153474,-0.13742574815781317,10.411850691388704,0.24423076923076922,107299.1278283024
5,-85,-50,7,-100,50,86,0.6744186046511628,1.2003241390473367,0.0009170655935014223,0.003080800776922521,19.046511627906977,0.07299127828302399,1.430856370971537,1.427653181153474,-0.13742574815781317,10.411850691388704,0.24423076923076922,107299.1278283024
5,-80,-50,7,-100,0,95,0.6631578947368421,1.192999694584572,0.0009020746108921095,0.003420074349442359,17.51578947368421,0.07936157197885163,1.6192180450300642,1.500255642386335,-0.16418343195598206,9.862249958718003,0.2608974358974359,107936.15719788517
5,-80,-50,7,-100,50,95,0.6631578947368421,1.192999694584572,0.0009020746108921095,0.003420074349442359,17.51578947368421,0.07936157197885163,1.6192180450300642,1.500255642386335,-0.16418343195598206,9.862249958718003,0.2608974358974359,107936.15719788517
7,-80,-50,7,-100,50,90,0.6555555555555556,1.131182881469702,0.0006601999725239695,0.002714641264298545,23.444444444444443,0.05011579433332125,0.8525086403724589,1.1052341607079643,-0.1999901470543456,4.262753205240641,0.2775641025641026,105011.57943333212
7,-80,-50,7,-100,0,90,0.6555555555555556,1.1142448030599528,0.0005836963750635385,0.002714641264298545,23.366666666666667,0.04240468430601774,0.6881220248023767,1.0085032770687439,-0.2085016914835761,3.3003186684295116,0.27307692307692305,104240.46843060177
7,-80,-40,3,-100,0,70,0.6714285714285714,1.1115412884694946,0.0006748878669858198,0.002625855848329639,21.542857142857144,0.030076956987771908,0.4529875118292672,0.8472256704705482,-0.14783939138754232,3.0640515195427014,0.15897435897435896,103007.6956987772
3,-85,-40,7,-100,0,89,0.6853932584269663,1.0968519779069759,0.00046533688576207204,0.0027986448666961206,18.15730337078652,0.028641622280375367,0.42766625964031,0.8287238944327647,-0.1991598819023398,2.1473514422448834,0.2282051282051282,102864.16222803754
3,-85,-40,7,-100,50,89,0.6853932584269663,1.0905743568047788,0.0004376802848689482,0.0027986448666961206,18.191011235955056,0.026087471587741273,0.38360984580231405,0.7934100339989181,-0.1991598819023398,1.9261401550259067,0.23012820512820512,102608.74715877412
7,-80,-50,5,-100,0,94,0.6702127659574468,1.0731336840373566,0.0003701098249986595,0.003072883192590581,22.26595744680851,0.021609802464083172,0.30938297608353804,0.7440370253706826,-0.18652755266731835,1.658644911485751,0.2673076923076923,102160.98024640832
7,-80,-50,3,-100,50,67,0.6716417910447762,1.0767549134692924,0.00050545767352321,0.0026890756302520025,25.83582089552239,0.015036345894679837,0.20703666724077174,0.6410389047971141,-0.150608673692727,1.374666293544086,0.16987179487179488,101503.63458946798
5,-85,-40,7,-100,0,82,0.6707317073170732,1.0475365251963977,0.0002356781112092674,0.0025900472571271926,22.71951219512195,0.010980807328907716,0.14762238403516448,0.5873806955156651,-0.18257445285713836,0.808559914736136,0.25384615384615383,101098.08073289077
7,-80,-40,7,-100,50,88,0.6590909090909091,1.0447149783204335,0.00023609239385625656,0.002714641264298545,24.045454545454547,0.010458488870750626,0.14016925500991517,0.6030066756602004,-0.22851818863619866,0.6133833628143485,0.2814102564102564,101045.84888707507
3,-85,-50,7,-100,0,93,0.6666666666666666,1.035642922152374,0.000160796592194924,0.002317064055609608,16.978494623655912,0.004340799132491968,0.056129394408876765,0.47966575624036817,-0.17409001963143844,0.32241592325457186,0.20448717948717948,100434.0799132492
3,-85,-50,7,-100,50,93,0.6666666666666666,1.035642922152374,0.000160796592194924,0.002317064055609608,16.978494623655912,0.004340799132491968,0.056129394408876765,0.47966575624036817,-0.17409001963143844,0.32241592325457186,0.20448717948717948,100434.0799132492
3,-80,-40,7,-100,0,94,0.6595744680851063,1.023062922072056,0.00011563191716385806,0.002625855848329639,17.404255319148938,0.00300187640223859,0.03851437904227084,0.4734096329758731,-0.2161042436898789,0.17822129905760214,0.24166666666666667,100300.18764022386
7,-80,-40,7,-100,0,88,0.6590909090909091,1.0294596329048247,0.00015785007827172476,0.002714641264298545,23.96590909090909,0.0030385865821165314,0.038993713410041764,0.5067514778361547,-0.2367262146868634,0.164720723734048,0.27692307692307694,100303.85865821165
7,-85,-50,3,-100,0,60,0.65,1.0435105040474102,0.00027719814744414466,0.002625855848329639,17.533333333333335,0.0013469036707958182,0.01711526190747681,0.417678303065481,-0.1430759243628712,0.11962363328206664,0.1358974358974359,100134.69036707959
3,-80,-40,7,-100,50,93,0.6666666666666666,1.0187967808658025,9.565475404343281e-05,0.0026890756302520025,17.612903225806452,0.0009887332551803407,0.012537818929546196,0.4451017121687287,-0.2161042436898789,0.05801745822048101,0.24294871794871795,100098.87332551804
5,-80,-40,7,-100,0,89,0.651685393258427,1.013112932015522,6.731341860949681e-05,0.0026174584478471097,21.224719101123597,-0.0031851365382977725,-0.039424364789888755,0.39893082331311513,-0.2079315908337026,-0.18960257376869286,0.2705128205128205,99681.48634617022
5,-85,-40,7,-100,50,81,0.6666666666666666,1.009937765367285,5.09290946304091e-05,0.0025626360664072756,23.08641975308642,-0.004357642295432118,-0.05357312389605173,0.3741130746392831,-0.18257445285713836,-0.29343165518327946,0.25833333333333336,99564.23577045678
7,-80,-50,7,-80,50,97,0.6701030927835051,1.0108807236309736,6.072789074897326e-05,0.0026174584478471097,22.175257731958762,-0.006369999672822035,-0.07741002025104482,0.39290802306805844,-0.20223952256427724,-0.38276405753698217,0.3038461538461538,99363.0000327178
7,-80,-50,3,-80,0,108,0.6759259259259259,1.0039434457400864,1.9313198025976503e-05,0.0024083267667898145,17.194444444444443,-0.006120837217007402,-0.07448891066234875,0.37725822414858357,-0.18682807102338994,-0.39870299069256626,0.24871794871794872,99387.91627829926
5,-80,-50,7,-80,0,101,0.6633663366336634,1.0036071443786303,1.9056869812389573e-05,0.0028436861281435633,16.861386138613863,-0.008961737496186006,-0.10729550210547678,0.32545429596029923,-0.16804912884494927,-0.6384769908832619,0.2858974358974359,99103.8262503814
5,-80,-50,7,-80,50,101,0.6633663366336634,1.0036071443786303,1.9056869812389573e-05,0.0028436861281435633,16.861386138613863,-0.008961737496186006,-0.10729550210547678,0.32545429596029923,-0.16804912884494927,-0.6384769908832619,0.2858974358974359,99103.8262503814
7,-80,-50,5,-100,50,91,0.6593406593406593,1.003196902163218,1.7519910151184606e-05,0.0030701128087962104,23.153846153846153,-0.012590732466546961,-0.14764554781749173,0.3014377994469926,-0.20039434568430414,-0.7367750188425404,0.2762820512820513,98740.92675334531
7,-80,-50,7,-80,0,97,0.6701030927835051,0.9981650679068967,-1.037165261698093e-05,0.0026174584478471097,22.103092783505154,-0.013666328611306122,-0.1592781643582305,0.2978730489337728,-0.21072713521376762,-0.755850280964785,0.29935897435897435,98633.36713886939
7,-80,-40,5,-100,0,93,0.6666666666666666,0.9963827142818609,-1.875132416490842e-05,0.0030701128087962104,22.537634408602152,-0.014820407511224043,-0.17159689154957447,0.27323403888314995,-0.21553566515212164,-0.7961415175927572,0.2692307692307692,98517.9592488776
5,-80,-40,7,-100,50,88,0.6477272727272727,0.9802132753327815,-0.0001046528886119497,0.0025900472571271926,21.545454545454547,-0.018308662580692858,-0.207827757335189,0.18948618774623774,-0.2079315908337026,-0.9995006362520611,0.275,98169.13374193071
3,-80,-50,7,-100,0,98,0.6428571428571429,0.9671530180450121,-0.00015526406263757843,0.0021287404121455022,16.306122448979593,-0.02032542897873868,-0.22810354112662823,0.12391080447316562,-0.1915648154053402,-1.190738187719776,0.2173076923076923,97967.45710212614
3,-80,-50,7,-100,50,98,0.6428571428571429,0.9671530180450121,-0.00015526406263757843,0.0021287404121455022,16.306122448979593,-0.02032542897873868,-0.22810354112662823,0.12391080447316562,-0.1915648154053402,-1.190738187719776,0.2173076923076923,97967.45710212614
7,-85,-50,5,-100,0,83,0.6626506024096386,0.971048240651494,-0.000143270324870542,0.0030701128087962104,22.265060240963855,-0.018576069235800796,-0.21054406780510637,0.17363179461715744,-0.16502019151504033,-1.2758685217373347,0.24423076923076922,98142.39307641992
7,-80,-40,3,-100,50,66,0.6666666666666666,0.9940381838021936,-4.0432311684172756e-05,0.002625855848329639,26.272727272727273,-0.021159457164688922,-0.2363480009899579,0.13968394314234492,-0.18089763949350846,-1.3065289389718062,0.1717948717948718,97884.0542835311
5,-80,-50,5,-100,50,104,0.6538461538461539,0.9697757888832964,-0.00015623480621867705,0.003119588872525725,16.432692307692307,-0.029604762078639935,-0.31538313859941647,0.044221236925419835,-0.200008526466102,-1.5768484682720187,0.2903846153846154,97039.52379213601
5,-80,-50,5,-100,0,106,0.6509433962264151,0.961223117899489,-0.000194351357437118,0.003072883192590581,16.037735849056602,-0.03369476182075948,-0.3508870131607503,-0.015600525359544063,-0.21249411855399314,-1.6512787061990735,0.2846153846153846,96630.52381792406
7,-80,-40,7,-80,50,95,0.6736842105263158,0.9454301554935121,-0.0003176919485058301,0.0028118240807499806,22.71578947368421,-0.04140404003866249,-0.413240587229034,-0.05898914228344298,-0.2306873522864339,-1.7913447925655333,0.30833333333333335,95859.59599613375
7,-80,-40,5,-100,50,90,0.6555555555555556,0.9371622090263858,-0.00035265336463940415,0.0029409684447730955,23.455555555555556,-0.044805967927116996,-0.4389607271423219,-0.12199339296780168,-0.22890797369952387,-1.9176296921771885,0.27884615384615385,95519.4032072883
7,-80,-40,3,-80,0,107,0.6728971962616822,0.9356490711349925,-0.00032194739542434594,0.002406678331875245,17.38317757009346,-0.04156218331894879,-0.414459881244287,-0.0950126042064277,-0.2158254671399804,-1.92034743043311,0.25064102564102564,95843.78166810512
7,-80,-40,7,-80,0,95,0.6736842105263158,0.9337859785357289,-0.0003902883243636991,0.0028118240807499806,22.642105263157895,-0.048443110357267116,-0.4653080334569252,-0.15354655800548828,-0.23887229995535697,-1.947936338972275,0.3038461538461538,95155.68896427329
7,-85,-50,7,-100,50,79,0.620253164556962,0.9264109646671187,-0.0003847535701186211,0.0021523178807947296,23.569620253164558,-0.0374146237689984,-0.3816977538027472,-0.09677175988200187,-0.19022627210040055,-2.0065459391502394,0.2532051282051282,96258.53762310016
5,-85,-50,7,-80,0,89,0.651685393258427,0.9538680672219103,-0.00024838566865770364,0.0025626360664072756,18.752808988764045,-0.03116614873625323,-0.3291427691127462,-0.0002598716328499052,-0.15094543905106572,-2.1805413345506603,0.2641025641025641,96883.38512637468
5,-85,-50,7,-80,50,89,0.651685393258427,0.9538680672219103,-0.00024838566865770364,0.0025626360664072756,18.752808988764045,-0.03116614873625323,-0.3291427691127462,-0.0002598716328499052,-0.15094543905106572,-2.1805413345506603,0.2641025641025641,96883.38512637468
7,-85,-50,7,-100,0,79,0.620253164556962,0.9112211828974294,-0.0004719095672254413,0.0021523178807947296,23.481012658227847,-0.04448298878821266,-0.43656422591340005,-0.20053696095374102,-0.1988416973195566,-2.1955366092646145,0.24871794871794872,95551.70112117873
7,-85,-50,5,-100,50,81,0.654320987654321,0.9092087523905301,-0.00048615844301127094,0.0026174584478471097,22.97530864197531,-0.04602951626024643,-0.4479545767986155,-0.2144738126599994,-0.1792536080438839,-2.4989989417058185,0.25256410256410255,95397.04837397535
7,-80,-50,3,-80,50,103,0.6699029126213593,0.906678835489733,-0.0005060570463738556,0.002409975201704384,20.24271844660194,-0.06501795806701471,-0.5715647211530126,-0.4232731674277277,-0.21837381382026344,-2.6173684067424374,0.2621794871794872,93498.20419329853
3,-80,-40,7,-80,0,100,0.66,0.8923720137453734,-0.0006010403874855696,0.00248630563405583,16.77,-0.06729061572052286,-0.5845110760355305,-0.5118745583220605,-0.2087571520250262,-2.7999571289680087,0.26794871794871794,93270.93842794771
5,-80,-40,5,-100,0,102,0.6568627450980392,0.8589002025233448,-0.0007300635168467634,0.003072883192590581,18.84313725490196,-0.08359639025320631,-0.6673502886682481,-0.7198641342927153,-0.23752829067148618,-2.80956128123377,0.2923076923076923,91640.36097467937
5,-80,-40,7,-80,0,95,0.6526315789473685,0.8886488684347894,-0.0006404876259540208,0.0025626360664072756,20.305263157894736,-0.0693105664561372,-0.5957145181625397,-0.5094407868628084,-0.2115949501187776,-2.8153531916907224,0.29615384615384616,93068.94335438628
7,-80,-40,5,-80,50,95,0.6210526315789474,0.7276833303588621,-0.0018527838807974126,0.002404796082073668,24.74736842105263,-0.17890910564140539,-0.9167014053759172,-1.8091136939113779,-0.3219781503500836,-2.8470919668902903,0.2980769230769231,82109.08943585947
3,-80,-40,7,-80,50,99,0.6666666666666666,0.8892295205845198,-0.0006270459276355593,0.0025626360664072756,16.95959595959596,-0.06916267353949157,-0.5949037804865633,-0.5394061806992547,-0.2087571520250262,-2.8497408338625214,0.2692307692307692,93083.73264605085
7,-80,-40,5,-80,0,98,0.6326530612244898,0.7386219750574007,-0.0016625853293636248,0.0024057372069744565,23.8265306122449,-0.16718558288625296,-0.9003985592136272,-1.6597021194503248,-0.3102198685028458,-2.9024529072204395,0.2878205128205128,83281.4417113747
5,-80,-40,5,-80,50,101,0.6138613861386139,0.5996650199415844,-0.0028510437068644673,0.002409975201704384,21.633663366336634,-0.26568478719323874,-0.9796278966408831,-3.2376712621229577,-0.33321754328551545,-2.9399049251182277,0.3262820512820513,73431.52128067613
7,-80,-50,5,-80,50,96,0.625,0.7770512345567389,-0.0014862641045255212,0.002407385641889026,24.447916666666668,-0.15121668336057437,-0.8734492727634886,-1.4336248669680223,-0.29690609390584355,-2.9418367985417015,0.2955128205128205,84878.33166394256
7,-80,-50,5,-80,0,99,0.6363636363636364,0.7951315190687961,-0.0012767592482871187,0.002406678331875245,23.555555555555557,-0.13638956932970703,-0.8425688778461731,-1.2428341876748084,-0.284713011459903,-2.959362038024857,0.2858974358974359,86361.0430670293
7,-80,-40,3,-80,50,102,0.6666666666666666,0.8430632513901986,-0.0008691967889580157,0.0024083267667898145,20.470588235294116,-0.09835905564517411,-0.7289432326146033,-0.8858648073978025,-0.2462463009636382,-2.9602200307660347,0.2641025641025641,90164.09443548259
5,-80,-40,5,-80,0,105,0.6190476190476191,0.628148267665234,-0.002462377121764808,0.002404796082073668,20.6,-0.2431112917310546,-0.9701581423387131,-2.892702959676288,-0.3216541754369854,-3.0161528014386834,0.3121794871794872,75688.87082689453
7,-85,-40,5,-100,0,82,0.6463414634146342,0.8168764834742046,-0.0009994976459865783,0.0025900472571271926,22.585365853658537,-0.08521214702024138,-0.6746698666878402,-0.7780801137954558,-0.22171310241982745,-3.0429860000349063,0.2467948717948718,91478.78529797586
7,-85,-40,7,-100,0,77,0.6103896103896104,0.7631162349240429,-0.0014215051427019546,0.002032959972159576,24.181818181818183,-0.11130425771047259,-0.7741215126500091,-1.1755428641919738,-0.25323821782572986,-3.0568905408374567,0.2532051282051282,88869.57422895274
3,-85,-40,7,-80,0,91,0.6593406593406593,0.8546278366486659,-0.0008233922221122404,0.002409975201704384,18.054945054945055,-0.08536335257701688,-0.6753472025720599,-0.7974143585628023,-0.22064626611029936,-3.060768779266172,0.2455128205128205,91463.66474229831
7,-85,-40,7,-100,50,77,0.6103896103896104,0.7746595724806608,-0.0013320853534624895,0.002032959972159576,24.272727272727273,-0.10473019798801997,-0.7521258277883596,-1.072857451729988,-0.24520775709241294,-3.0673003036559785,0.25769230769230766,89526.980201198
5,-85,-40,5,-80,50,92,0.5978260869565217,0.5414498700048997,-0.0033735707992172933,0.001995592257620249,23.380434782608695,-0.27846580639988605,-0.9836735570811457,-3.509300861617599,-0.31950947386091777,-3.078699185956965,0.3038461538461538,72153.4193600114
5,-80,-40,5,-100,50,98,0.6530612244897959,0.8117371364931167,-0.00105992138088139,0.003072883192590581,19.836734693877553,-0.11092726796369434,-0.7729104408127291,-1.1123764436224135,-0.2505257036868058,-3.0851542553852336,0.30641025641025643,88907.27320363057
5,-80,-50,5,-80,0,109,0.6146788990825688,0.6894505742014778,-0.0019908003859597984,0.002409975201704384,17.81651376146789,-0.21157741709401845,-0.9500736642108697,-2.4161141501071324,-0.30737064141987924,-3.0909707570705662,0.30512820512820515,78842.25829059815
7,-85,-50,3,-100,50,56,0.6428571428571429,0.9017542195092342,-0.0007128334059620794,0.002483716074240472,22.821428571428573,-0.05135451688609527,-0.48557195602982517,-0.39199542863972364,-0.15694514628830714,-3.093895972659345,0.14807692307692308,94864.54831139048
3,-85,-40,7,-80,50,91,0.6593406593406593,0.8505659304225605,-0.0008504409856230977,0.002409975201704384,18.087912087912088,-0.08763442519932185,-0.6853656770583549,-0.8318256242056977,-0.22064626611029936,-3.1061739187362725,0.24743589743589745,91236.55748006782
5,-85,-40,7,-80,0,85,0.6470588235294118,0.8684803339988804,-0.0007613321761256018,0.002404796082073668,22.294117647058822,-0.07175454448319041,-0.6088977386979648,-0.5703784343286481,-0.19538649854713852,-3.1163757128851124,0.2743589743589744,92824.54555168096
3,-80,-40,5,-100,0,104,0.6346153846153846,0.8499587275581343,-0.0007783236882045239,0.002407385641889026,16.096153846153847,-0.08460500664969872,-0.6719370173034623,-0.7685616554113155,-0.21368598157166552,-3.144506777474823,0.266025641025641,91539.49933503012
5,-80,-40,7,-80,50,94,0.648936170212766,0.8629797987226983,-0.0008090071587205189,0.00248630563405583,20.595744680851062,-0.08343084736437112,-0.6665918590013435,-0.7129535749878665,-0.2115949501187776,-3.1503202634427527,0.3006410256410256,91656.91526356289
5,-85,-50,5,-100,0,93,0.6344086021505376,0.8591363967686356,-0.0007426952402850474,0.0025626360664072756,17.913978494623656,-0.0748887937944337,-0.6252251474042541,-0.632008252559947,-0.19749963436602436,-3.165702809583585,0.2621794871794872,92511.12062055663
5,-85,-40,5,-80,0,95,0.6,0.561663964411982,-0.003008271255033414,0.0018856984737227744,22.410526315789475,-0.2598392900912757,-0.9774860432441772,-3.220239103583116,-0.3077083801279501,-3.176663706193906,0.28974358974358977,74016.07099087242
3,-85,-40,3,-80,50,118,0.5932203389830508,0.6215723230772352,-0.002324679631775521,0.001854330198697185,14.567796610169491,-0.251710053623045,-0.9741617503618023,-3.3532449767233,-0.30538110970345467,-3.1899869356941495,0.29423076923076924,74828.9946376955
5,-80,-50,5,-80,50,107,0.616822429906542,0.6984076820448087,-0.001987331009607719,0.0025626360664072756,18.233644859813083,-0.2082403264591336,-0.9473428940689929,-2.356231260905237,-0.29638927881284705,-3.196279223943137,0.3108974358974359,79175.96735408664
