period,start,end,trading_days,bars,wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_30m_bars,total_return,annualized_return,sharpe,max_drawdown,calmar,exposure,ending_equity
IS,2026-07-27T09:30:00-04:00,2026-08-21T15:30:00-04:00,20,260,2,-80.0,-20.0,3,-50.0,100.0,26,0.7692307692307693,2.1824469368233212,0.014521740279301002,0.013371128851501046,11.384615384615385,0.3969884005389832,67.6266366290054,4.885965845989693,-0.2304354984071083,293.47317187011714,0.33076923076923076,139698.8400538983
OOS,2026-08-24T09:30:00-04:00,2026-09-03T15:30:00-04:00,9,117,2,-80.0,-20.0,3,-50.0,100.0,11,0.6363636363636364,1.0320759238095585,0.00027534335045877674,0.0058549763033175495,6.0,8.802348194625331e-05,0.0024888872896517977,0.2625039290919274,-0.08947051263681638,0.027817961653520705,0.26495726495726496,100008.80234819461
