atr_n,shock_k,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,rank_calmar,rank_sharpe,rank_pf
10,0.75,56,0.75,3.134912878987824,0.04969384922962411,0.061417691678848696,3.875,9.54487875241371,0.4820326416673817,1.1198693839330538,-0.4884931582236043,0.9867746017575433,0.09933774834437085,1054487.875241371,1.0,1.0,1.0
20,0.5,66,0.7272727272727273,2.731073414504003,0.04292816958646706,0.04065464839555033,3.8333333333333335,9.355070329376494,0.4775436082809741,1.0515988806032504,-0.4884931582236043,0.9775850495379546,0.11456953642384106,1035507.0329376494,2.0,2.0,2.0
14,0.5,66,0.7272727272727273,2.731073414504003,0.04292816958646706,0.04065464839555033,3.8333333333333335,7.591368028114948,0.43217924946708997,0.9846577851357952,-0.4884931582236043,0.884719145379029,0.11721854304635762,859136.8028114948,3.0,4.0,2.0
5,0.0,70,0.7142857142857143,2.530938791658363,0.04046278307869341,0.04065464839555033,3.9285714285714284,7.330739796133987,0.42482982304548633,0.9601513107685758,-0.4884931582236043,0.8696740494593037,0.12781456953642384,833073.9796133987,4.0,8.0,10.0
10,0.0,70,0.7142857142857143,2.530938791658363,0.04046278307869341,0.04065464839555033,3.9285714285714284,7.330739796133987,0.42482982304548633,0.9601513107685758,-0.4884931582236043,0.8696740494593037,0.12781456953642384,833073.9796133987,4.0,8.0,10.0
14,0.0,70,0.7142857142857143,2.530938791658363,0.04046278307869341,0.04065464839555033,3.9285714285714284,7.330739796133987,0.42482982304548633,0.9601513107685758,-0.4884931582236043,0.8696740494593037,0.12781456953642384,833073.9796133987,4.0,8.0,10.0
20,0.0,70,0.7142857142857143,2.530938791658363,0.04046278307869341,0.04065464839555033,3.9285714285714284,7.330739796133987,0.42482982304548633,0.9601513107685758,-0.4884931582236043,0.8696740494593037,0.12781456953642384,833073.9796133987,4.0,8.0,10.0
30,0.0,70,0.7142857142857143,2.530938791658363,0.04046278307869341,0.04065464839555033,3.9285714285714284,7.330739796133987,0.42482982304548633,0.9601513107685758,-0.4884931582236043,0.8696740494593037,0.12781456953642384,833073.9796133987,4.0,8.0,10.0
5,0.5,66,0.7272727272727273,2.7004279284192148,0.04238330932701389,0.04065464839555033,3.803030303030303,7.29963085556059,0.42393983830138393,0.9707448047389157,-0.4884931582236043,0.8678521513853598,0.11589403973509933,829963.0855560589,9.0,5.0,5.0
5,0.75,57,0.7368421052631579,2.6748442026130532,0.044373756299020115,0.04921128820194687,3.8947368421052633,6.9515255909622935,0.4137866398034573,1.0003907526519809,-0.4884931582236043,0.8470674211859676,0.10132450331125828,795152.5590962294,10.0,3.0,7.0
