lookback,mode,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,calmar,exposure,ending_equity
2,close,598,0.7190635451505016,2.445949568638305,0.006033371596877314,0.0076078371142127565,4.366220735785953,31.492885007928948,0.11571324637644254,0.11373194823764458,1.0205125901600314,-0.17556596950691872,0.6590869899299163,0.223375,3249288.5007928945
3,close,515,0.7495145631067961,2.4291885290657547,0.006429387580113801,0.008290250542996258,4.98252427184466,23.177961821235034,0.10538817861064431,0.11778073059931107,0.9103909175216739,-0.23746338100982245,0.4438081280679021,0.219,2417796.182123503
4,close,451,0.7427937915742794,2.1396326959181065,0.005746420356180518,0.00850539652745197,5.509977827050998,10.862282569876669,0.08090483054496578,0.11541517108875601,0.732338897880311,-0.23746338100982256,0.34070444967520774,0.211625,1186228.256987667
5,close,410,0.7609756097560976,2.239257710868346,0.006174205112415441,0.008952620381239784,5.739024390243903,10.28282909169612,0.07920342173020845,0.11484107221218989,0.721752681173543,-0.23746338100982256,0.3335395183602319,0.199625,1128282.909169612
6,close,387,0.772609819121447,2.5249156478565165,0.007351475982623543,0.009743135518157642,5.68733850129199,14.42323033529826,0.0898669848581577,0.11169424993390957,0.8270256061833349,-0.23746338100982256,0.3784456553932431,0.1865,1542323.033529826
7,close,368,0.7880434782608695,2.675923567538911,0.007827397600435585,0.010123680970212545,5.654891304347826,15.028982023988025,0.09118842344052003,0.11011646109636553,0.8483089209024136,-0.23746338100982256,0.38401046533043365,0.176125,1602898.2023988024
8,close,345,0.7768115942028986,2.6201070602894827,0.007772786866160788,0.01036991177836244,5.672463768115942,12.187909080529503,0.08451261387052011,0.10755328361023184,0.808763826079932,-0.23746338100982256,0.35589745884660967,0.166125,1318790.9080529502
9,close,329,0.7689969604863222,2.6292780701732195,0.007878131126570057,0.010631067961164975,5.689969604863222,11.115523915616771,0.08162326350762616,0.10652679749835234,0.7904400303834938,-0.23746338100982256,0.34372989704989443,0.158625,1211552.3915616772
10,close,316,0.7658227848101266,2.6434823916206938,0.00796294550004888,0.010734011908703378,5.64873417721519,10.241123704059905,0.07907772057668971,0.10546270225906587,0.7749661971689946,-0.23746338100982256,0.33301016872752565,0.151625,1124112.3704059906
11,close,304,0.7697368421052632,2.646839920169511,0.008015690049160187,0.010594984408875296,5.671052631578948,9.392943822065792,0.07641820441069336,0.10401118030517364,0.7605420735861974,-0.23746338100982245,0.3218104790967008,0.146125,1039294.3822065792
12,close,291,0.7697594501718213,2.5981118842467867,0.00798868561297202,0.010631067961164975,5.680412371134021,8.304294800824612,0.07267826981781922,0.10331369738760128,0.7312295734697047,-0.23746338100982256,0.3060609577306276,0.1405,930429.4800824613
13,close,281,0.7615658362989324,2.52675033211368,0.007611731036246363,0.01039240279519782,5.740213523131673,6.769414590259614,0.06661268711856505,0.10249964806929172,0.6808256625349044,-0.23746338100982245,0.28051772376562634,0.137375,776941.4590259613
14,close,271,0.7601476014760148,2.5321673734001275,0.007714023131556562,0.010558900856585618,5.7749077490774905,6.411215975602463,0.06503030161047096,0.1020416044187168,0.6688474900411683,-0.23746338100982256,0.27385402049750573,0.13275,741121.5975602464
15,close,263,0.7680608365019012,2.622752725173199,0.007982244413239054,0.010588310588235395,5.79467680608365,6.491935918743907,0.06539325939560658,0.10132943375000773,0.6761964040586428,-0.23746338100982256,0.27538249947220966,0.129125,749193.5918743907
16,close,260,0.7576923076923077,2.5212113167174524,0.008067484511108952,0.011018477928120829,5.769230769230769,6.435891205453007,0.0651416586364626,0.10135365516874872,0.6737226676168475,-0.23746338100982245,0.2743229644901252,0.126875,743589.1205453008
17,close,256,0.765625,2.588709079738472,0.008260381041809017,0.010734011908703378,5.68359375,6.572872016933764,0.06575340604232238,0.10087657039334062,0.6821237447435078,-0.23746338100982245,0.2768991402493446,0.123,757287.2016933764
18,close,252,0.7619047619047619,2.6152075860541717,0.008334983996414089,0.010734011908703378,5.662698412698413,6.4732552528146705,0.06530959967761629,0.10060689431487757,0.6795360409747228,-0.23746338100982256,0.2750301937076976,0.12025,747325.525281467
19,close,239,0.7489539748953975,2.4643558422495535,0.00795913965919599,0.010588310588235395,5.828451882845188,5.141313091581512,0.058752348358161344,0.10007053716695091,0.6208416307112246,-0.23746338100982245,0.24741645683774335,0.117,614131.3091581513
20,close,234,0.7521367521367521,2.4849202168895905,0.008091864399091627,0.010734011908703378,5.846153846153846,5.108354539160816,0.058573157562818556,0.10012998739861424,0.6188393432158612,-0.23746338100982245,0.24666185292963438,0.114875,610835.4539160816
21,close,231,0.7532467532467533,2.5158379749552324,0.008290077224190829,0.011377427184465994,5.874458874458875,5.239564464061533,0.059281052006225465,0.09986758825059497,0.6269075422117177,-0.23746338100982256,0.24964292074900313,0.113875,623956.4464061533
22,close,222,0.7477477477477478,2.5013037424311313,0.008379510278684074,0.01077513024933685,5.878378378378378,4.919227220105873,0.05752643638129973,0.10000949915199761,0.6095338562191173,-0.23746338100982256,0.24225392621239641,0.110375,591922.7220105873
23,close,211,0.7345971563981043,2.3715258988146775,0.007982960544295571,0.010529507428539864,5.995260663507109,3.974101945906959,0.0517555991762626,0.09962603566802745,0.556482761686979,-0.23746338100982245,0.21795191728581417,0.107125,497410.1945906959
24,close,207,0.7294685990338164,2.3097626125339703,0.007770780988091775,0.01012559633920751,6.024154589371981,3.6182089964378887,0.04930249161354805,0.09891356406676888,0.5361528954499478,-0.23957081206756126,0.20579506822243554,0.105625,461820.89964378887
25,close,200,0.74,2.266028409621013,0.00785529048589747,0.010672186301798448,6.055,3.4399055513154426,0.048003749212761626,0.09869855849671577,0.5245433665865303,-0.23957081206756148,0.20037394705338338,0.101875,443990.55513154424
