entry_date,exit_date,return,exit_reason
2024-11-14,2024-11-20,-0.08344594594594601,close>prev_high+wr>-30
2024-12-20,2024-12-24,0.11963448782783193,close>prev_high+wr>-30+cci>0
2025-02-25,2025-03-06,-0.2329477463103311,wr>-30
2025-03-07,2025-03-10,-0.13840996168582376,wr>-30
2025-04-04,2025-04-10,0.10309278350515472,close>prev_high+wr>-30+cci>0
2025-05-23,2025-05-28,0.08328035600762873,close>prev_high+wr>-30+cci>0
2025-06-16,2025-06-17,-0.021917808219177992,close>prev_high+wr>-30+cci>0
2025-08-20,2025-08-25,0.058139534883721034,close>prev_high+wr>-30+cci>0
2025-10-13,2025-10-16,0.03653551354113449,close>prev_high+wr>-30+cci>0
2025-11-05,2025-11-06,-0.08157164210975876,wr>-30
2025-11-21,2025-11-25,0.13993066498581785,close>prev_high+wr>-30+cci>0
2025-12-15,2025-12-22,0.05050995628946087,close>prev_high+wr>-30+cci>0
2026-01-02,2026-01-05,0.041913632514817944,close>prev_high+wr>-30+cci>0
2026-03-27,2026-04-01,0.12121862261317307,wr>-30
2026-06-08,2026-06-12,0.10991297767688235,close>prev_high+wr>-30+cci>0
2026-07-17,2026-07-22,0.18838119140769183,close>prev_high+wr>-30+cci>0
2026-07-30,2026-07-31,0.0,close>prev_high+wr>-30
