entry_date,exit_date,return,exit_reason
2024-11-14,2024-11-20,-0.10640732265446218,close>prev_high+wr>-30
2024-12-20,2024-12-24,0.17195972114639813,close>prev_high+wr>-30+cci>0
2025-02-25,2025-03-06,-0.2605514912774338,wr>-30
2025-03-07,2025-03-10,-0.008205128205128198,wr>-30
2025-04-04,2025-04-10,0.08606965174129333,close>prev_high+wr>-30+cci>0
2025-05-23,2025-05-28,0.1459566074950689,close>prev_high+wr>-30+cci>0
2025-06-16,2025-06-17,0.03744599135861737,close>prev_high+wr>-30+cci>0
2025-08-20,2025-08-25,0.04749138261202601,close>prev_high+wr>-30+cci>0
2025-10-13,2025-10-16,0.08422704682186777,close>prev_high+wr>-30+cci>0
2025-11-05,2025-11-06,0.07496529384544193,wr>-30
2025-11-21,2025-11-25,0.11312803889789302,close>prev_high+wr>-30+cci>0
2025-12-15,2025-12-22,0.031202876696439175,close>prev_high+wr>-30+cci>0
2026-01-02,2026-01-05,0.11555506315089725,close>prev_high+wr>-30+cci>0
2026-03-27,2026-04-01,0.04174039762673054,wr>-30
2026-06-08,2026-06-12,0.05507549140632406,close>prev_high+wr>-30+cci>0
2026-07-17,2026-07-22,0.17930730377615656,close>prev_high+wr>-30+cci>0
2026-07-30,2026-07-31,0.20972248090892176,close>prev_high+wr>-30
