wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
2,-80,-30,5,-80,0,105,0.7333333333333333,2.8667246491662666,0.0407271097067606,0.05864290250873294,3.914285714285714,34.47360582500505,0.8148848427637172,1.365796084341943,-0.3257011937607833,2.501939994000215,0.18543046357615894,3547360.5825005053
2,-80,-30,5,-80,50,105,0.7333333333333333,2.8667246491662666,0.0407271097067606,0.05864290250873294,3.914285714285714,34.47360582500505,0.8148848427637172,1.365796084341943,-0.3257011937607833,2.501939994000215,0.18543046357615894,3547360.5825005053
2,-80,-30,5,-80,100,105,0.7333333333333333,2.8667246491662666,0.0407271097067606,0.05864290250873294,3.914285714285714,34.47360582500505,0.8148848427637172,1.365796084341943,-0.3257011937607833,2.501939994000215,0.18543046357615894,3547360.5825005053
2,-90,-30,5,-50,0,81,0.7654320987654321,3.3366502977063135,0.050647980753152036,0.06289308176100628,3.888888888888889,27.895364122761915,0.7537687685400971,1.3619615773173843,-0.3257011937607833,2.3142953817163936,0.1456953642384106,2889536.4122761916
2,-90,-30,5,-50,50,81,0.7654320987654321,3.3366502977063135,0.050647980753152036,0.06289308176100628,3.888888888888889,27.895364122761915,0.7537687685400971,1.3619615773173843,-0.3257011937607833,2.3142953817163936,0.1456953642384106,2889536.4122761916
2,-90,-30,5,-50,100,81,0.7654320987654321,3.3366502977063135,0.050647980753152036,0.06289308176100628,3.888888888888889,27.895364122761915,0.7537687685400971,1.3619615773173843,-0.3257011937607833,2.3142953817163936,0.1456953642384106,2889536.4122761916
2,-90,-30,7,-50,0,77,0.7662337662337663,3.4646554565221597,0.05117117128969029,0.06289308176100628,3.909090909090909,24.174058291700575,0.7138493425353094,1.3322158158115358,-0.3257011937607833,2.1917308140405773,0.1390728476821192,2517405.8291700576
2,-90,-30,7,-50,50,77,0.7662337662337663,3.4646554565221597,0.05117117128969029,0.06289308176100628,3.909090909090909,24.174058291700575,0.7138493425353094,1.3322158158115358,-0.3257011937607833,2.1917308140405773,0.1390728476821192,2517405.8291700576
2,-90,-30,7,-50,100,77,0.7662337662337663,3.4646554565221597,0.05117117128969029,0.06289308176100628,3.909090909090909,24.174058291700575,0.7138493425353094,1.3322158158115358,-0.3257011937607833,2.1917308140405773,0.1390728476821192,2517405.8291700576
2,-90,-30,7,-50,-50,78,0.7692307692307693,3.529355919660572,0.049697466938832126,0.05600130076777454,3.8076923076923075,23.139717025876575,0.7018824133495496,1.324908365299442,-0.3257011937607832,2.1549887651472934,0.13642384105960265,2413971.7025876576
2,-80,-30,5,-80,-50,106,0.7264150943396226,2.5895566354426993,0.03620613280356589,0.051136614463109575,3.707547169811321,22.023758071311708,0.6884822809397213,1.26929185762355,-0.3257011937607833,2.113846354046183,0.1781456953642384,2302375.8071311708
2,-85,-30,3,-80,100,105,0.7333333333333333,2.4694014287373163,0.036855384055521585,0.049462720427476015,4.152380952380953,21.67683040540067,0.6842062294454423,1.23496523196977,-0.3257011937607833,2.1007175980692567,0.19536423841059603,2267683.040540067
2,-90,-40,5,-50,0,84,0.7619047619047619,3.072673199820443,0.044771292806266315,0.05304904250058051,3.357142857142857,20.480037523486434,0.6690242293912843,1.36594284962283,-0.3257011937607833,2.054104320792451,0.1337748344370861,2148003.7523486433
2,-90,-40,5,-50,50,84,0.7619047619047619,3.072673199820443,0.044771292806266315,0.05304904250058051,3.357142857142857,20.480037523486434,0.6690242293912843,1.36594284962283,-0.3257011937607833,2.054104320792451,0.1337748344370861,2148003.7523486433
2,-90,-40,5,-50,100,84,0.7619047619047619,3.072673199820443,0.044771292806266315,0.05304904250058051,3.357142857142857,20.480037523486434,0.6690242293912843,1.36594284962283,-0.3257011937607833,2.054104320792451,0.1337748344370861,2148003.7523486433
2,-80,-40,5,-80,-50,109,0.7247706422018348,2.567696014297599,0.0341159422298076,0.04989775051124745,3.3211009174311927,20.39158400306669,0.6678744083083046,1.307622668818193,-0.3257011937607833,2.050574026445958,0.16556291390728478,2139158.400306669
2,-90,-30,5,-80,0,70,0.7428571428571429,3.351914671565804,0.05280502261578529,0.06405627195912034,3.9571428571428573,20.28559386279719,0.666491398286261,1.2856801982694073,-0.3257011937607833,2.046327772368488,0.12847682119205298,2128559.386279719
2,-90,-30,5,-80,50,70,0.7428571428571429,3.351914671565804,0.05280502261578529,0.06405627195912034,3.9571428571428573,20.28559386279719,0.666491398286261,1.2856801982694073,-0.3257011937607833,2.046327772368488,0.12847682119205298,2128559.386279719
2,-90,-30,5,-80,100,70,0.7428571428571429,3.351914671565804,0.05280502261578529,0.06405627195912034,3.9571428571428573,20.28559386279719,0.666491398286261,1.2856801982694073,-0.3257011937607833,2.046327772368488,0.12847682119205298,2128559.386279719
2,-80,-40,5,-80,0,108,0.7222222222222222,2.516384719648017,0.03435557906411512,0.051136614463109575,3.3981481481481484,19.958405708645884,0.6621855960369476,1.292778922250759,-0.3257011937607833,2.0331076726826516,0.1675496688741722,2095840.5708645885
2,-80,-40,5,-80,50,108,0.7222222222222222,2.516384719648017,0.03435557906411512,0.051136614463109575,3.3981481481481484,19.958405708645884,0.6621855960369476,1.292778922250759,-0.3257011937607833,2.0331076726826516,0.1675496688741722,2095840.5708645885
2,-80,-40,5,-80,100,108,0.7222222222222222,2.516384719648017,0.03435557906411512,0.051136614463109575,3.3981481481481484,19.958405708645884,0.6621855960369476,1.292778922250759,-0.3257011937607833,2.0331076726826516,0.1675496688741722,2095840.5708645885
2,-80,-30,3,-80,100,125,0.736,2.493546370832951,0.03415421127849083,0.05011477926691188,3.944,32.74922171774475,0.7998434129381411,1.3115450212682285,-0.4006586473231968,1.9963213530567743,0.22450331125827813,3374922.1717744754
2,-80,-30,3,-50,100,144,0.7361111111111112,2.334190106176844,0.030197436069533845,0.04462225048449986,4.006944444444445,32.16117835609792,0.7945675225596565,1.273136419385387,-0.4006586473231969,1.9831533098515841,0.26026490066225166,3316117.8356097923
2,-85,-30,5,-80,0,89,0.7191011235955056,2.8291104023025264,0.04228478191785007,0.05382774475744667,4.044943820224719,20.917361826456506,0.6746517854632332,1.2552911737451709,-0.34082704290138355,1.9794549743473262,0.1609271523178808,2191736.1826456506
2,-85,-30,5,-80,50,89,0.7191011235955056,2.8291104023025264,0.04228478191785007,0.05382774475744667,4.044943820224719,20.917361826456506,0.6746517854632332,1.2552911737451709,-0.34082704290138355,1.9794549743473262,0.1609271523178808,2191736.1826456506
2,-85,-30,5,-80,100,89,0.7191011235955056,2.8291104023025264,0.04228478191785007,0.05382774475744667,4.044943820224719,20.917361826456506,0.6746517854632332,1.2552911737451709,-0.34082704290138355,1.9794549743473262,0.1609271523178808,2191736.1826456506
2,-85,-30,5,-50,0,103,0.7184466019417476,2.7825286076124494,0.04008801351486651,0.05111633672833937,4.009708737864078,27.45589733541616,0.7492856556643543,1.3107989425705664,-0.37918942400912525,1.9760193935322485,0.1847682119205298,2845589.7335416162
2,-85,-30,5,-50,50,103,0.7184466019417476,2.7825286076124494,0.04008801351486651,0.05111633672833937,4.009708737864078,27.45589733541616,0.7492856556643543,1.3107989425705664,-0.37918942400912525,1.9760193935322485,0.1847682119205298,2845589.7335416162
2,-85,-30,5,-50,100,103,0.7184466019417476,2.7825286076124494,0.04008801351486651,0.05111633672833937,4.009708737864078,27.45589733541616,0.7492856556643543,1.3107989425705664,-0.37918942400912525,1.9760193935322485,0.1847682119205298,2845589.7335416162
2,-90,-40,3,-80,0,91,0.7582417582417582,2.9016479940109026,0.0386598763137492,0.041969659090909106,3.4175824175824174,17.313932219531328,0.6251619779928062,1.309215712771767,-0.3257011937607832,1.9194341008524733,0.14437086092715232,1831393.221953133
2,-90,-40,7,-50,0,80,0.7625,3.154580899663526,0.04463817858091565,0.05076449331280053,3.3375,17.259104294127162,0.6243483975889679,1.3272040762298165,-0.3257011937607833,1.9169361658758026,0.12649006622516556,1825910.429412716
2,-90,-40,7,-50,50,80,0.7625,3.154580899663526,0.04463817858091565,0.05076449331280053,3.3375,17.259104294127162,0.6243483975889679,1.3272040762298165,-0.3257011937607833,1.9169361658758026,0.12649006622516556,1825910.429412716
2,-90,-40,7,-50,100,80,0.7625,3.154580899663526,0.04463817858091565,0.05076449331280053,3.3375,17.259104294127162,0.6243483975889679,1.3272040762298165,-0.3257011937607833,1.9169361658758026,0.12649006622516556,1825910.429412716
2,-85,-40,3,-80,0,112,0.7321428571428571,2.4518594526658126,0.03183482698710235,0.036108467628164664,3.4107142857142856,17.108824493085386,0.6221079465627846,1.253936480474193,-0.32570119376078344,1.910057311671083,0.17350993377483442,1810882.4493085386
2,-90,-40,5,-50,-50,85,0.7647058823529411,3.0244999867856817,0.0419121393606027,0.04907052529182865,3.223529411764706,17.04485571716906,0.6211495641339579,1.313768379238865,-0.3257011937607833,1.9071147912039021,0.12980132450331125,1804485.571716906
2,-90,-30,7,-80,0,66,0.7727272727272727,3.337383865693875,0.05332573459746087,0.06405627195912034,3.909090909090909,16.995959267399012,0.6204150855915052,1.2412607117635293,-0.3257011937607833,1.9048597225811195,0.12119205298013246,1799595.926739901
2,-90,-30,7,-80,50,66,0.7727272727272727,3.337383865693875,0.05332573459746087,0.06405627195912034,3.909090909090909,16.995959267399012,0.6204150855915052,1.2412607117635293,-0.3257011937607833,1.9048597225811195,0.12119205298013246,1799595.926739901
2,-90,-30,7,-80,100,66,0.7727272727272727,3.337383865693875,0.05332573459746087,0.06405627195912034,3.909090909090909,16.995959267399012,0.6204150855915052,1.2412607117635293,-0.3257011937607833,1.9048597225811195,0.12119205298013246,1799595.926739901
2,-90,-40,7,-50,-50,81,0.7654320987654321,3.230341580364107,0.04369363725052519,0.04989775051124745,3.259259259259259,16.944817214250463,0.6196450948432817,1.3298512224233239,-0.3257011937607833,1.9024956208738686,0.12450331125827814,1794481.7214250462
2,-90,-30,7,-80,-50,67,0.7761194029850746,3.419468595272905,0.05198729511804668,0.06289308176100628,3.8059701492537314,16.68620160368109,0.6157231717554552,1.2418372235880841,-0.3257011937607832,1.8904541449353225,0.11920529801324503,1768620.1603681091
2,-80,-40,3,-80,0,134,0.746268656716418,2.487383118364295,0.030197249080836753,0.03795894059938354,3.216417910447761,27.825956423802264,0.7530645164356613,1.3516706325315306,-0.4006586473231968,1.879566362705237,0.19735099337748344,2882595.6423802264
2,-90,-30,3,-80,100,84,0.7380952380952381,2.664209860314139,0.04189603139535924,0.049600711875143255,4.285714285714286,16.06073287108448,0.6060366175638814,1.1735014419764251,-0.3257011937607832,1.8607135287597236,0.16423841059602648,1706073.2871084479
2,-85,-30,7,-50,0,98,0.7244897959183674,2.827192836723688,0.04017578922939499,0.04783974467181573,4.030612244897959,23.10434214855928,0.7014656409177613,1.2712524646404533,-0.37918942400912525,1.8499082424326276,0.17682119205298014,2410434.214855928
2,-85,-30,7,-50,50,98,0.7244897959183674,2.827192836723688,0.04017578922939499,0.04783974467181573,4.030612244897959,23.10434214855928,0.7014656409177613,1.2712524646404533,-0.37918942400912525,1.8499082424326276,0.17682119205298014,2410434.214855928
