lookback,mode,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,calmar,exposure,ending_equity
2,close,107,0.7757009345794392,2.5037413420596826,0.006002063603913034,0.007648671043406274,4.065420560747664,0.7969811026790619,0.10283670077101204,0.10703982761872873,0.9667445464577891,-0.1465771664486164,0.701587452279357,0.20198675496688742,179698.1102679062
4,close,78,0.8589743589743589,2.8160226239216954,0.008146664086986513,0.009592469524958847,4.756410256410256,0.7864705931809792,0.10175677629423818,0.11031724991430673,0.9324631559656333,-0.18940894359604676,0.537233218043047,0.1728476821192053,178647.05931809792
3,close,92,0.8586956521739131,2.6627673262602336,0.006794903141540024,0.008591674321873244,4.358695652173913,0.7692528051655358,0.0999762074222057,0.10996770887238697,0.920374904764099,-0.15219467151870214,0.656896896747928,0.18609271523178808,176925.28051655358
8,close,54,0.8703703703703703,2.6348570017345425,0.00794922979392883,0.010930012678566747,5.055555555555555,0.46659247764743284,0.06604435698928901,0.11054744742209989,0.6332735074155185,-0.11807753164556967,0.5593304337317339,0.1251655629139073,146659.24776474328
7,close,56,0.875,2.604467982406914,0.007522844205111177,0.010594984408875296,5.017857142857143,0.45542029128906436,0.06468376597372871,0.11050332567762097,0.6219350483707523,-0.11807753164556967,0.5478075724676252,0.1304635761589404,145542.02912890643
5,close,65,0.8461538461538461,2.230631645571943,0.006406633578574079,0.009667201448023244,4.984615384615385,0.4446341830092648,0.06336191360262089,0.1136946693876025,0.5967190685724639,-0.16597534397052105,0.3817549768950901,0.15165562913907285,144463.41830092648
9,close,52,0.8653846153846154,2.5674711227328855,0.007678251222641804,0.010734011908703378,5.134615384615385,0.42395326978745396,0.060804276838092974,0.10992204384933786,0.5914516169485106,-0.11807753164556967,0.5149521334897789,0.12119205298013246,142395.3269787454
10,close,49,0.8571428571428571,2.750309104808784,0.008091238667370305,0.010836955856241781,5.1020408163265305,0.422188965805643,0.060584653439342384,0.10871405695659435,0.5948962145949986,-0.11807753164556967,0.5130921403506113,0.11390728476821192,142218.8965805643
6,close,61,0.8688524590163934,2.2255292679730805,0.006374566171893324,0.009667201448023244,5.081967213114754,0.40657490532524476,0.05863103363131228,0.11241221013303189,0.562583492257073,-0.13484219633549965,0.4348122117903874,0.14437086092715232,140657.49053252448
11,close,49,0.8367346938775511,2.683580760426684,0.007819139823196083,0.010631067961164975,5.081632653061225,0.4034570842426919,0.05823877212782813,0.10871703671262264,0.574526769746021,-0.11807753164556956,0.4932248440172516,0.11324503311258279,140345.7084242692
17,close,41,0.8536585365853658,3.0093013322446645,0.008919395049735617,0.01140466032162779,5.024390243902439,0.3810685714078075,0.05540049086691923,0.10504528397227852,0.5652672727052817,-0.11807753164556967,0.46918740673893383,0.09668874172185431,138106.85714078075
18,close,40,0.85,2.9512857670145176,0.008878407404564368,0.011835628633480977,5.1,0.3666383723275952,0.05355073773719443,0.10500266329128417,0.5487564266739098,-0.11807753164556967,0.45352182579439687,0.09536423841059603,136663.8372327595
12,close,46,0.8260869565217391,2.420041868328804,0.007025292692763392,0.010734011908703378,5.260869565217392,0.3229878535215749,0.047854530160463815,0.10831029791221525,0.4852808437123891,-0.11807753164556956,0.4052805770373621,0.10993377483443709,132298.7853521575
19,close,38,0.8421052631578947,2.7437720528410052,0.008351804132396274,0.011302330160813834,5.131578947368421,0.3164682652202271,0.0469903587442424,0.1043505843363201,0.4917065620068849,-0.1293772203238498,0.36320426908708325,0.09205298013245033,131646.82652202272
16,close,41,0.8048780487804879,2.404396358646302,0.00756776529842062,0.01140466032162779,5.2682926829268295,0.30586799012826527,0.045577651801271823,0.10664595968358696,0.4707761969774459,-0.11807753164556956,0.38599766751629894,0.10132450331125828,130586.79901282654
