date,equity,in_position
2024-09-03,100000.0,False
2024-09-04,100000.0,False
2024-09-05,100000.0,False
2024-09-06,100000.0,False
2024-09-09,100000.0,True
2024-09-10,100435.57035925404,True
2024-09-11,101465.93217547263,False
2024-09-12,101465.93217547263,False
2024-09-13,101465.93217547263,False
2024-09-16,101465.93217547263,False
2024-09-17,101465.93217547263,False
2024-09-18,101465.93217547263,False
2024-09-19,101465.93217547263,True
2024-09-20,101290.45059184894,False
2024-09-23,101290.45059184894,False
2024-09-24,101290.45059184894,False
2024-09-25,101290.45059184894,False
2024-09-26,101290.45059184894,False
2024-09-27,101290.45059184894,False
2024-09-30,101290.45059184894,False
2024-10-01,101290.45059184894,False
2024-10-02,101290.45059184894,False
2024-10-03,101290.45059184894,False
2024-10-04,101290.45059184894,False
2024-10-07,101290.45059184894,False
2024-10-08,101290.45059184894,False
2024-10-09,101290.45059184894,False
2024-10-10,101290.45059184894,False
2024-10-11,101290.45059184894,False
2024-10-14,101290.45059184894,False
2024-10-15,101290.45059184894,False
2024-10-16,101290.45059184894,False
2024-10-17,101290.45059184894,False
2024-10-18,101290.45059184894,False
2024-10-21,101290.45059184894,False
2024-10-22,101290.45059184894,False
2024-10-23,101290.45059184894,False
2024-10-24,101290.45059184894,False
2024-10-25,101290.45059184894,False
2024-10-28,101290.45059184894,False
2024-10-29,101290.45059184894,False
2024-10-30,101290.45059184894,False
2024-10-31,101290.45059184894,False
2024-11-01,101290.45059184894,True
2024-11-04,101072.27453723285,True
2024-11-05,102294.41520089537,True
2024-11-06,104838.02871568786,False
2024-11-07,104838.02871568786,False
2024-11-08,104838.02871568786,False
2024-11-11,104838.02871568786,False
2024-11-12,104838.02871568786,False
2024-11-13,104838.02871568786,False
2024-11-14,104838.02871568786,False
2024-11-15,104838.02871568786,False
2024-11-18,104838.02871568786,False
2024-11-19,104838.02871568786,False
2024-11-20,104838.02871568786,False
2024-11-21,104838.02871568786,False
2024-11-22,104838.02871568786,False
2024-11-25,104838.02871568786,False
2024-11-26,104838.02871568786,False
2024-11-27,104838.02871568786,False
2024-11-29,104838.02871568786,False
2024-12-02,104838.02871568786,False
2024-12-03,104838.02871568786,False
2024-12-04,104838.02871568786,False
2024-12-05,104838.02871568786,False
2024-12-06,104838.02871568786,False
2024-12-09,104838.02871568786,False
2024-12-10,104838.02871568786,False
2024-12-11,104838.02871568786,False
2024-12-12,104838.02871568786,False
2024-12-13,104838.02871568786,True
2024-12-16,105285.69114114667,True
2024-12-17,104851.90972112844,False
2024-12-18,104851.90972112844,False
2024-12-19,104851.90972112844,True
2024-12-20,106111.1982552049,True
2024-12-23,106746.62689738274,True
2024-12-24,107933.11936201421,False
2024-12-26,107933.11936201421,False
2024-12-27,107933.11936201421,False
2024-12-30,107933.11936201421,False
2024-12-31,107933.11936201421,False
2025-01-02,107933.11936201421,False
2025-01-03,107933.11936201421,False
2025-01-06,107933.11936201421,False
2025-01-07,107933.11936201421,False
2025-01-08,107933.11936201421,False
2025-01-10,107933.11936201421,False
2025-01-13,107933.11936201421,False
2025-01-14,107933.11936201421,False
2025-01-15,107933.11936201421,False
2025-01-16,107933.11936201421,False
2025-01-17,107933.11936201421,False
2025-01-21,107933.11936201421,False
2025-01-22,107933.11936201421,False
2025-01-23,107933.11936201421,False
2025-01-24,107933.11936201421,False
2025-01-27,107933.11936201421,False
2025-01-28,107933.11936201421,False
2025-01-29,107933.11936201421,False
2025-01-30,107933.11936201421,False
2025-01-31,107933.11936201421,False
2025-02-03,107933.11936201421,False
2025-02-04,107933.11936201421,False
2025-02-05,107933.11936201421,False
2025-02-06,107933.11936201421,False
2025-02-07,107933.11936201421,False
2025-02-10,107933.11936201421,True
2025-02-11,108015.20456480254,True
2025-02-12,107667.2346834172,False
2025-02-13,107667.2346834172,False
2025-02-14,107667.2346834172,False
2025-02-18,107667.2346834172,False
2025-02-19,107667.2346834172,False
2025-02-20,107667.2346834172,False
2025-02-21,107667.2346834172,False
2025-02-24,107667.2346834172,True
2025-02-25,107131.79206355191,True
2025-02-26,107185.8771766696,True
2025-02-27,105474.98476504617,True
2025-02-28,107120.97504092836,True
2025-03-03,105244.22161574397,False
2025-03-04,105244.22161574397,False
2025-03-05,105244.22161574397,False
2025-03-06,105244.22161574397,False
2025-03-07,105244.22161574397,False
2025-03-10,105244.22161574397,False
2025-03-11,105244.22161574397,False
2025-03-12,105244.22161574397,False
2025-03-13,105244.22161574397,False
2025-03-14,105244.22161574397,False
2025-03-17,105244.22161574397,False
2025-03-18,105244.22161574397,False
2025-03-19,105244.22161574397,False
2025-03-20,105244.22161574397,False
2025-03-21,105244.22161574397,False
2025-03-24,105244.22161574397,False
2025-03-25,105244.22161574397,False
2025-03-26,105244.22161574397,False
2025-03-27,105244.22161574397,False
