field,mean_abs_pct_diff,median_abs_pct_diff,max_abs_pct_diff,corr
open,0.027553772616440337,0.029802118275551792,0.08999528654336475,0.9999320686918962
high,0.02754464144013998,0.029802082020062348,0.09005960312053851,0.9999340670578882
low,0.02754788943420889,0.029802118664236377,0.09006398935579285,0.99992857987163
close,0.027510677370545543,0.02980211887117251,0.08999529447448384,0.9999316645611613
