entry_signal_date,entry_date,entry_price,exit_date,exit_price,return,holding_days
2025-03-28,2025-03-31,27.36,2025-04-02,28.095,0.026864035087719174,2
2025-04-03,2025-04-04,22.995,2025-04-10,24.34,0.05849097629919542,6
2025-08-01,2025-08-04,42.61,2025-08-05,44.025,0.033208167096925534,1
2025-10-10,2025-10-13,51.03,2025-10-16,52.34,0.025671173819322046,3
2025-11-20,2025-11-21,46.85,2025-11-25,50.64,0.08089647812166478,4
2026-02-12,2026-02-13,48.15,2026-02-19,48.67,0.010799584631360437,6
2026-03-12,2026-03-13,47.35,2026-04-01,42.63,-0.09968321013727555,19
2026-06-05,2026-06-08,76.86,2026-06-12,76.34,-0.006765547749154277,4
2026-06-23,2026-06-24,74.79,2026-06-30,77.24,0.03275839015911197,6
2026-07-29,2026-07-30,61.13,2026-07-31,65.74,0.07541305414690003,1
