atr_n,shock_k,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,period,start,end,execution,entry,exit
10,0.75,56,0.75,3.134912878987824,0.04969384922962411,0.061417691678848696,3.875,9.54487875241371,0.4820326416673817,1.1198693839330538,-0.4884931582236043,0.9867746017575433,0.09933774834437085,1054487.875241371,IS,2016-09-06,2022-09-02,next_open,WR2<-90 AND CCI5<-80 AND down_move/ATR>=k,close>prev_high OR WR2>-30
10,0.75,22,0.7727272727272727,3.540229381271441,0.04228076808925027,0.03481933527450476,4.045454545454546,1.2609964046151734,0.5091776688941765,1.2231405668707234,-0.3197632613188607,1.5923582552732225,0.134,226099.64046151735,Validation,2022-09-06,2024-08-30,next_open,WR2<-90 AND CCI5<-80 AND down_move/ATR>=k,close>prev_high OR WR2>-30
10,0.75,13,0.7692307692307693,2.0819395581206437,0.031223439213733137,0.04749138261202601,4.230769230769231,0.3758647418482861,0.17310079252272192,0.5309490100757537,-0.4620309587542667,0.37465193455745543,0.0775347912524851,137586.4741848286,OOS,2024-09-03,2026-09-03,next_open,WR2<-90 AND CCI5<-80 AND down_move/ATR>=k,close>prev_high OR WR2>-30
