lookback,entry_thr,exit_thr,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,annualized_volatility,sharpe,max_drawdown,calmar,exposure,ending_equity
2,-80,-35,190,0.7052631578947368,2.3274645951478705,0.027556550526295027,0.034349418420625666,3.873684210526316,72.62722184975777,1.0502807906603593,0.6461572249918073,1.432447418002224,-0.3417534856566137,3.0732116415504773,0.32847682119205296,7362722.184975778
2,-80,-30,185,0.7027027027027027,2.21597819759389,0.026769924542129033,0.03916029723991499,4.129729729729729,54.173160339432464,0.9538232677362937,0.6593781174563048,1.344235054411381,-0.34175348565661356,2.7909686594818655,0.3423841059602649,5517316.033943246
2,-80,-40,195,0.717948717948718,2.12449931364654,0.024380531654491704,0.032638623534520184,3.5487179487179485,44.536606032519536,0.8921787194463573,0.6128558416981958,1.3496422342734615,-0.34175348565661356,2.610591425957829,0.31059602649006623,4553660.603251954
2,-90,-35,124,0.7258064516129032,2.5643029546030167,0.03532651140553611,0.03795894059938354,4.137096774193548,32.772789440450495,0.8000532604115249,0.5575921205394087,1.3264522799675085,-0.40959113130978053,1.9532973232431428,0.22847682119205298,3377278.9440450496
2,-85,-35,158,0.6962025316455697,2.201617554217591,0.026983449447489843,0.03340069509112953,4.037974683544304,27.76904567920261,0.7524860112190048,0.5904842855668835,1.240044385239368,-0.4283500158923198,1.7567082603031057,0.28410596026490065,2876904.567920261
2,-90,-30,119,0.7142857142857143,2.3376412638774187,0.03296348655544839,0.04298150163220904,4.487394957983193,20.539360437112926,0.6697931695127781,0.5700262697904573,1.178735987589563,-0.40959113130978064,1.6352726373027895,0.23774834437086093,2153936.0437112926
2,-90,-40,126,0.7380952380952381,2.3476858985430287,0.0307566908059891,0.03489079865458733,3.746031746031746,20.525239493170876,0.6696102947978928,0.5143221479072324,1.2519105256106924,-0.4288851303324337,1.5612812089774954,0.21258278145695364,2152523.9493170874
2,-95,-35,88,0.7840909090909091,3.4723679979015887,0.04426659198901162,0.04562796609010866,3.7954545454545454,25.277383809257607,0.7261711183670663,0.47845220168564695,1.374211827364016,-0.47371356989876867,1.532932903995651,0.1509933774834437,2627738.3809257606
2,-85,-30,153,0.6862745098039216,2.0529642585209658,0.025328083928350554,0.0345882833642388,4.339869281045751,18.562260470514374,0.6431582046025028,0.6032654909361301,1.120295822833236,-0.4283500158923199,1.501478185457059,0.29668874172185433,1956226.0470514374
2,-80,-25,179,0.7039106145251397,1.9568786824584004,0.023305911897909832,0.03660539013818953,4.396648044692737,23.106980230394676,0.7014967393008913,0.6781100246347689,1.122801176467849,-0.4912963698024938,1.4278484076381435,0.3543046357615894,2410698.0230394676
2,-95,-40,89,0.797752808988764,3.176004238295419,0.0400463520468979,0.04298150163220904,3.3820224719101124,18.204044140786447,0.638094316641719,0.4421966480661236,1.3342162672306002,-0.4841609432010263,1.3179384367994729,0.13708609271523178,1920404.4140786447
2,-80,-20,174,0.6954022988505747,1.8916368951577491,0.022308216908565572,0.03536854026159253,4.655172413793103,17.76872762051589,0.6318335004608311,0.6861452348332201,1.0568322529911742,-0.4912963698024939,1.2860536720734055,0.3655629139072848,1876872.7620515889
2,-85,-40,160,0.7,1.9504700915726083,0.02204161007570396,0.030201444496171348,3.71875,13.598632527059312,0.5647728907215708,0.5532145938117963,1.0854089526406656,-0.44703099244868716,1.2633864323990887,0.26688741721854303,1459863.2527059312
2,-95,-30,85,0.7647058823529411,2.8896512746121807,0.03919509372698992,0.045962326574173096,4.188235294117647,14.108377359804981,0.5737679609563702,0.4923328519878038,1.1622442121022587,-0.47371356989876867,1.2112128455154512,0.15960264900662252,1510837.7359804981
