period,start,end,tactical_weight,core_spy_weight,total_return,cagr,annualized_volatility,sharpe,max_drawdown,calmar,ending_equity_100k,selected_on,locked_tactical_weight
IS,2016-09-06,2022-09-02,0.7,0.3,0.5346699850096879,0.07415335939978984,0.12309184897375831,0.6428329340906959,-0.2674636599157526,0.27724648433789895,153468.36265206657,IS_SHARPE,0.7
Validation,2022-09-06,2024-08-30,0.7,0.3,0.3418006257079589,0.15989100391092204,0.08584195724486016,1.7695794971147543,-0.07908330719668766,2.0218047218644766,134191.39333163522,IS_SHARPE,0.7
OOS,2024-09-03,2026-09-03,0.7,0.3,0.3177440889896106,0.1480388274070501,0.11016884720868425,1.3086894425655806,-0.0759929889134775,1.9480590186497473,131793.406376244,IS_SHARPE,0.7
