symbol,date,issue
SPMO,2016-03-04,INVALID_OHLCV
SPMO,2016-06-06,INVALID_OHLCV
SPMO,2016-06-07,INVALID_OHLCV
SPMO,2016-06-16,INVALID_OHLCV
SPMO,2016-06-17,INVALID_OHLCV
SPMO,2016-08-08,INVALID_OHLCV
SPMO,2016-08-09,INVALID_OHLCV
SPMO,2016-08-10,INVALID_OHLCV
SPMO,2016-08-11,INVALID_OHLCV
SPMO,2016-08-12,INVALID_OHLCV
SPMO,2016-08-15,INVALID_OHLCV
SPMO,2016-08-16,INVALID_OHLCV
SPMO,2016-08-17,INVALID_OHLCV
SPMO,2016-08-18,INVALID_OHLCV
SPMO,2016-08-19,INVALID_OHLCV
SPMO,2016-08-22,INVALID_OHLCV
SPMO,2016-08-23,INVALID_OHLCV
SPMO,2016-08-24,INVALID_OHLCV
SPMO,2016-08-25,INVALID_OHLCV
SPMO,2016-08-26,INVALID_OHLCV
SPMO,2016-08-29,INVALID_OHLCV
SPMO,2016-08-30,INVALID_OHLCV
SPMO,2016-08-31,INVALID_OHLCV
SPMO,2016-09-01,INVALID_OHLCV
SPMO,2016-09-02,INVALID_OHLCV
SPMO,2016-09-06,INVALID_OHLCV
SPMO,2016-09-19,INVALID_OHLCV
SPMO,2016-09-22,INVALID_OHLCV
SPMO,2016-09-26,INVALID_OHLCV
SPMO,2016-09-27,INVALID_OHLCV
SPMO,2016-10-03,INVALID_OHLCV
SPMO,2016-10-04,INVALID_OHLCV
SPMO,2016-10-12,INVALID_OHLCV
SPMO,2016-10-19,INVALID_OHLCV
SPMO,2016-11-04,INVALID_OHLCV
SPMO,2016-11-10,INVALID_OHLCV
SPMO,2016-11-15,INVALID_OHLCV
SPMO,2016-11-16,INVALID_OHLCV
SPMO,2016-11-29,INVALID_OHLCV
SPMO,2016-12-08,INVALID_OHLCV
SPMO,2016-12-23,INVALID_OHLCV
SPMO,2016-12-28,INVALID_OHLCV
SPMO,2016-12-29,INVALID_OHLCV
SPMO,2017-01-05,INVALID_OHLCV
SPMO,2017-01-23,INVALID_OHLCV
SPMO,2017-01-24,INVALID_OHLCV
SPMO,2017-02-01,INVALID_OHLCV
SPMO,2017-02-08,INVALID_OHLCV
SPMO,2017-02-14,INVALID_OHLCV
SPMO,2017-02-15,INVALID_OHLCV
SPMO,2017-02-24,INVALID_OHLCV
SPMO,2017-03-02,INVALID_OHLCV
SPMO,2017-03-16,INVALID_OHLCV
SPMO,2017-04-04,INVALID_OHLCV
SPMO,2017-04-07,INVALID_OHLCV
SPMO,2017-04-11,INVALID_OHLCV
SPMO,2017-04-13,INVALID_OHLCV
SPMO,2017-04-25,INVALID_OHLCV
SPMO,2017-05-03,INVALID_OHLCV
SPMO,2017-05-16,INVALID_OHLCV
SPMO,2017-05-22,INVALID_OHLCV
SPMO,2017-05-31,INVALID_OHLCV
SPMO,2017-06-06,INVALID_OHLCV
SPMO,2017-06-09,INVALID_OHLCV
SPMO,2017-06-13,INVALID_OHLCV
SPMO,2017-06-16,INVALID_OHLCV
SPMO,2017-06-29,INVALID_OHLCV
SPMO,2017-07-07,INVALID_OHLCV
SPMO,2017-07-25,INVALID_OHLCV
SPMO,2017-07-26,INVALID_OHLCV
SPMO,2017-07-28,INVALID_OHLCV
SPMO,2017-08-03,INVALID_OHLCV
SPMO,2017-08-07,INVALID_OHLCV
SPMO,2017-08-08,INVALID_OHLCV
SPMO,2017-08-11,INVALID_OHLCV
SPMO,2017-08-14,INVALID_OHLCV
SPMO,2017-08-21,INVALID_OHLCV
SPMO,2017-08-22,INVALID_OHLCV
SPMO,2017-08-23,INVALID_OHLCV
SPMO,2017-08-25,INVALID_OHLCV
SPMO,2017-08-29,INVALID_OHLCV
SPMO,2017-08-30,INVALID_OHLCV
SPMO,2017-09-01,INVALID_OHLCV
SPMO,2017-09-06,INVALID_OHLCV
SPMO,2017-09-07,INVALID_OHLCV
SPMO,2017-09-11,INVALID_OHLCV
SPMO,2017-09-14,INVALID_OHLCV
SPMO,2017-09-27,INVALID_OHLCV
