period,adx_filter,metric,saved,rerun,matched
IS,False,trades,125.0,125.0,True
IS,False,win_rate,0.712,0.712,True
IS,False,pf,2.3114103298103776,2.3114103298103776,True
IS,False,avg_trade,0.021484670892056155,0.021484670892056155,True
IS,False,total_return,9.661978909169257,9.661978909169267,True
IS,False,cagr,0.4847686369544102,0.4847686369544104,True
IS,False,sharpe,1.0991073963432414,1.099107396343242,True
IS,False,max_dd,-0.3899994903241474,-0.38999949032414727,True
IS,False,calmar,1.2429981294372863,1.2429981294372872,True
IS,False,ending,1066197.8909169256,1066197.8909169268,True
IS,True,trades,87.0,87.0,True
IS,True,win_rate,0.7931034482758621,0.7931034482758621,True
IS,True,pf,3.6846833812341564,3.6846833812341564,True
IS,True,avg_trade,0.026132651325807922,0.026132651325807922,True
IS,True,total_return,7.465526944494288,7.465526944494297,True
IS,True,cagr,0.4286542086348526,0.4286542086348528,True
IS,True,sharpe,1.4308931379016463,1.430893137901648,True
IS,True,max_dd,-0.26525057797007034,-0.26525057797007034,True
IS,True,calmar,1.6160349655608288,1.6160349655608297,True
IS,True,ending,846552.6944494287,846552.6944494296,True
VALIDATION,False,trades,51.0,51.0,True
VALIDATION,False,win_rate,0.6862745098039216,0.6862745098039216,True
VALIDATION,False,pf,2.3236599138983096,2.3236599138983096,True
VALIDATION,False,avg_trade,0.01761757294372545,0.01761757294372545,True
VALIDATION,False,total_return,1.2812130909788517,1.281213090978854,True
VALIDATION,False,cagr,0.512508800145334,0.5125088001453346,True
VALIDATION,False,sharpe,1.3369052127777672,1.3369052127777696,True
VALIDATION,False,max_dd,-0.17843762469957536,-0.17843762469957491,True
VALIDATION,False,calmar,2.872201426174631,2.8722014261746422,True
VALIDATION,False,ending,228121.30909788515,228121.30909788542,True
VALIDATION,True,trades,37.0,37.0,True
VALIDATION,True,win_rate,0.6216216216216216,0.6216216216216216,True
VALIDATION,True,pf,1.7906667898786142,1.7906667898786142,True
VALIDATION,True,avg_trade,0.013692143927544016,0.013692143927544016,True
VALIDATION,True,total_return,0.559164049534127,0.5591640495341277,True
VALIDATION,True,cagr,0.2496175266895777,0.24961752668957793,True
VALIDATION,True,sharpe,0.8471227664683404,0.8471227664683418,True
VALIDATION,True,max_dd,-0.23363354502201972,-0.23363354502201994,True
VALIDATION,True,calmar,1.0684147546793912,1.0684147546793912,True
VALIDATION,True,ending,155916.4049534127,155916.40495341277,True
OOS,False,trades,42.0,42.0,True
OOS,False,win_rate,0.7380952380952381,0.7380952380952381,True
OOS,False,pf,1.872912504295048,1.872912504295048,True
OOS,False,avg_trade,0.012123052352409406,0.012123052352409406,True
OOS,False,total_return,0.5378270227036777,0.5378270227036785,True
OOS,False,cagr,0.2402743250265622,0.24027432502656265,True
OOS,False,sharpe,0.6927127826041573,0.6927127826041578,True
OOS,False,max_dd,-0.4344365591773448,-0.4344365591773448,True
OOS,False,calmar,0.5530711445683786,0.5530711445683796,True
OOS,False,ending,153782.70227036776,153782.70227036785,True
OOS,True,trades,37.0,37.0,True
OOS,True,win_rate,0.7297297297297297,0.7297297297297297,True
OOS,True,pf,1.5220594991830207,1.5220594991830207,True
OOS,True,avg_trade,0.008134710585161938,0.008134710585161938,True
OOS,True,total_return,0.25609428368289056,0.25609428368289033,True
OOS,True,cagr,0.12084363866078385,0.12084363866078385,True
OOS,True,sharpe,0.5110220811134053,0.5110220811134033,True
OOS,True,max_dd,-0.349405972597164,-0.349405972597164,True
OOS,True,calmar,0.3458545306553947,0.3458545306553947,True
OOS,True,ending,125609.42836828905,125609.42836828904,True
