signal,trade,configurations,best_IS_id,IS_CAGR,IS_Sharpe,IS_MaxDD,IS_cycles,IS_exposure,maximum_cycles_any_configuration,positive_CAGR_configurations,IS_candidates
SPY,SPY,256,a88b2a4cee2090ce,0.0080026686067997,0.7461139532926278,-0.0187967541524026,1,0.0238726790450928,3,39,0
SPMO,SPMO,256,465354910625abf9,0.0029138678334992,0.1979806791456873,-0.0330705318112074,1,0.0112732095490716,4,7,0
VGT,VGT,256,14fc5aa21242241a,0.0335271020156124,0.9732572159946024,-0.0309026861341195,1,0.0543766578249336,5,85,0
SMH,SMH,256,af5c9edca3643541,0.0313468300669703,0.5897563547084351,-0.0792506617796784,2,0.0484084880636604,7,48,0
QQQ,QQQ,256,ad2f11c7573508d3,0.0368431788314524,0.7441631144801024,-0.0495491836568919,3,0.0590185676392572,3,33,0
TQQQ,TQQQ,256,499d0c6512aeb600,0.04574122036357,0.683293627760297,-0.0976802903582136,2,0.0470822281167108,4,41,0
SMH,SOXL,256,af5c9edca3643541,0.0835515038095482,0.5796059158190635,-0.2320430100401387,2,0.0484084880636604,7,44,0
QQQ,TQQQ,256,ad2f11c7573508d3,0.1077929637471861,0.7584874524814992,-0.1472310695571766,3,0.0590185676392572,3,33,0
