date,equity
2025-01-02,100000.0
2025-01-03,100000.0
2025-01-06,100000.0
2025-01-07,100000.0
2025-01-08,100000.0
2025-01-10,100000.0
2025-01-13,100000.0
2025-01-14,100000.0
2025-01-15,100000.0
2025-01-16,100000.0
2025-01-17,100000.0
2025-01-21,100000.0
2025-01-22,100000.0
2025-01-23,100000.0
2025-01-24,100000.0
2025-01-27,100000.0
2025-01-28,100000.0
2025-01-29,100000.0
2025-01-30,100000.0
2025-01-31,100000.0
2025-02-03,100000.0
2025-02-04,100000.0
2025-02-05,100000.0
2025-02-06,100000.0
2025-02-07,100000.0
2025-02-10,100000.0
2025-02-11,100000.0
2025-02-12,100000.0
2025-02-13,100000.0
2025-02-14,100000.0
2025-02-18,100000.0
2025-02-19,100000.0
2025-02-20,100000.0
2025-02-21,100000.0
2025-02-24,100000.0
2025-02-25,100000.0
2025-02-26,100000.0
2025-02-27,100000.0
2025-02-28,100000.0
2025-03-03,100000.0
2025-03-04,100000.0
2025-03-05,100000.0
2025-03-06,100000.0
2025-03-07,98962.25
2025-03-10,94704.5
2025-03-11,94704.5
2025-03-12,94704.5
2025-03-13,94704.5
2025-03-14,94704.5
2025-03-17,94704.5
2025-03-18,94704.5
2025-03-19,94704.5
2025-03-20,94704.5
2025-03-21,94704.5
2025-03-24,94704.5
2025-03-25,94704.5
2025-03-26,94704.5
2025-03-27,94704.5
2025-03-28,94704.5
2025-03-31,94704.5
2025-04-01,94704.5
2025-04-02,94704.5
2025-04-03,94704.5
2025-04-04,93753.35
2025-04-07,95742.35
2025-04-08,92580.35
2025-04-09,106197.35
2025-04-10,93720.20000000001
2025-04-11,93720.20000000001
2025-04-14,93720.20000000001
2025-04-15,93720.20000000001
2025-04-16,93720.20000000001
2025-04-17,93720.20000000001
2025-04-21,93720.20000000001
2025-04-22,93720.20000000001
2025-04-23,93720.20000000001
2025-04-24,93720.20000000001
2025-04-25,93720.20000000001
2025-04-28,93720.20000000001
2025-04-29,93720.20000000001
2025-04-30,93720.20000000001
2025-05-01,93720.20000000001
2025-05-02,93720.20000000001
2025-05-05,93720.20000000001
2025-05-06,93720.20000000001
2025-05-07,93720.20000000001
2025-05-08,93720.20000000001
2025-05-09,93720.20000000001
2025-05-12,93720.20000000001
2025-05-13,93720.20000000001
2025-05-14,93720.20000000001
2025-05-15,93720.20000000001
2025-05-16,93720.20000000001
2025-05-19,93720.20000000001
2025-05-20,93720.20000000001
2025-05-21,93720.20000000001
2025-05-22,93720.20000000001
2025-05-23,92546.30000000002
2025-05-27,100630.30000000002
2025-05-28,99370.40000000002
2025-05-29,99370.40000000002
2025-05-30,99370.40000000002
2025-06-02,99370.40000000002
2025-06-03,99370.40000000002
2025-06-04,99370.40000000002
2025-06-05,99370.40000000002
2025-06-06,99370.40000000002
2025-06-09,99370.40000000002
2025-06-10,99370.40000000002
2025-06-11,99370.40000000002
2025-06-12,99370.40000000002
2025-06-13,99370.40000000002
2025-06-16,96524.90000000002
2025-06-17,95289.40000000002
2025-06-18,95289.40000000002
2025-06-20,95289.40000000002
2025-06-23,95289.40000000002
2025-06-24,95289.40000000002
2025-06-25,95289.40000000002
2025-06-26,95289.40000000002
2025-06-27,95289.40000000002
2025-06-30,95289.40000000002
2025-07-01,95289.40000000002
2025-07-02,95289.40000000002
2025-07-03,95289.40000000002
2025-07-07,95289.40000000002
2025-07-08,95289.40000000002
2025-07-09,95289.40000000002
2025-07-10,95289.40000000002
2025-07-11,95289.40000000002
2025-07-14,95289.40000000002
2025-07-15,95289.40000000002
2025-07-16,95289.40000000002
2025-07-17,95289.40000000002
2025-07-18,95289.40000000002
2025-07-21,95289.40000000002
2025-07-22,95289.40000000002
2025-07-23,95289.40000000002
2025-07-24,95289.40000000002
2025-07-25,95289.40000000002
2025-07-28,95289.40000000002
2025-07-29,95289.40000000002
2025-07-30,95289.40000000002
2025-07-31,95289.40000000002
2025-08-01,95289.40000000002
2025-08-04,95289.40000000002
2025-08-05,95289.40000000002
2025-08-06,95289.40000000002
2025-08-07,95289.40000000002
2025-08-08,95289.40000000002
2025-08-11,95289.40000000002
2025-08-12,95289.40000000002
2025-08-13,95289.40000000002
2025-08-14,95289.40000000002
2025-08-15,95289.40000000002
2025-08-18,95289.40000000002
2025-08-19,95289.40000000002
2025-08-20,95289.40000000002
2025-08-21,95289.40000000002
