trade_id,entry_signal_date,entry_date,exit_signal_date,exit_date,exit_reason,regime_weight,premium_cap,wr2,cci5,adx20,strike,expiration,actual_entry_dte,entry_ask,exit_bid,entry_bid_ask_spread,quantity,fees,option_premium_return,portfolio_trade_return,capital_before,capital_after,underlying_open_return,underlying_close_aligned_return
97,2025-03-06,2025-03-07,2025-03-07,2025-03-10,wr>-30,0.5,0.1,-93.01587301587305,-124.56913179278486,17.650709832561194,21.0,2025-04-11,35,2.83,1.33,0.29000000000000004,35,45.5,-0.5300353356890459,-0.052954999999999974,100000.0,94704.5,-0.008205128205128198,-0.13840996168582376
98,2025-04-03,2025-04-04,2025-04-09,2025-04-10,close>prev_high+wr>-30,0.5,0.1,-99.81785063752277,-166.66666666666666,44.70938051316902,9.0,2025-05-09,35,1.83,1.65,0.18000000000000016,51,66.3,-0.09836065573770503,-0.010393381518301492,94704.5,93720.20000000001,0.08606965174129333,0.10309278350515472
99,2025-05-22,2025-05-23,2025-05-27,2025-05-28,close>prev_high+wr>-30,1.0,0.2,-98.57813166500776,-133.6756801016193,34.2483549965662,15.5,2025-06-27,35,2.15,2.82,0.1299999999999999,86,111.8,0.31162790697674425,0.06028796353400878,93720.20000000001,99370.40000000002,0.1459566074950689,0.08328035600762873
100,2025-06-13,2025-06-16,2025-06-16,2025-06-17,close>prev_high+wr>-30,1.0,0.2,-91.01123595505622,-90.30223004694837,32.58740740865057,22.0,2025-07-25,39,2.8,2.23,0.3999999999999999,70,91.0,-0.20357142857142851,-0.04106856770225342,99370.40000000002,95289.40000000002,0.03744599135861737,-0.021917808219177992
101,2025-10-10,2025-10-13,2025-10-15,2025-10-16,close>prev_high+wr>-30,1.0,0.2,-99.48126801152735,-149.03312660887408,33.78067704882967,39.0,2025-11-21,39,5.65,5.4,0.40000000000000036,33,42.9,-0.04424778761061943,-0.009108043496968143,95289.40000000002,94421.50000000003,0.08422704682186777,0.03653551354113449
102,2025-12-12,2025-12-15,2025-12-19,2025-12-22,close>prev_high+wr>-30,1.0,0.2,-91.70706812962491,-166.66666666666617,20.306997887623986,41.0,2026-01-23,39,5.5,5.25,0.6600000000000001,34,44.2,-0.045454545454545414,-0.00947030072600008,94421.50000000003,93527.30000000002,0.031202876696439175,0.05050995628946087
103,2026-03-26,2026-03-27,2026-03-31,2026-04-01,wr>-30,0.5,0.1,-98.93390191897653,-103.11311677296159,29.61755744021757,46.5,2026-05-01,35,9.5,9.69,3.95,9,11.700000000000001,0.020000000000000018,0.0017032460041077613,93527.30000000002,93686.6,0.04174039762673054,0.12121862261317307
104,2026-06-05,2026-06-08,2026-06-11,2026-06-12,close>prev_high+wr>-30,1.0,0.2,-99.2124285251915,-116.7389055890886,34.02995581260388,210.0,2026-07-17,39,48.25,60.0,3.3500000000000014,3,3.9000000000000004,0.24352331606217614,0.037583816682428495,93686.6,97207.70000000001,0.05507549140632406,0.10991297767688235
105,2026-07-16,2026-07-17,2026-07-21,2026-07-22,close>prev_high+wr>-30,1.0,0.2,-90.2608695652174,-142.51111142846713,19.309001980661264,135.0,2026-08-21,35,32.0,45.0,2.75,6,7.800000000000001,0.40625,0.08016031651813593,97207.70000000001,104999.90000000002,0.17930730377615656,0.18838119140769183
106,2026-07-29,2026-07-30,2026-07-30,2026-07-31,close>prev_high+wr>-30,1.0,0.2,-97.91044776119406,-100.94305027624762,32.08243420429847,115.0,2026-09-04,36,28.45,22.7,4.949999999999999,7,9.1,-0.20210896309314585,-0.038420036590511075,104999.90000000002,100965.80000000002,0.20972248090892176,0.0
