date,open,high,low,close,volume
2015-01-02,13.12875,13.17875,12.9425,13.03,2623904
2015-01-05,12.975,12.98125,12.773338,12.80625,4528424
2015-01-06,12.83375,12.849988,12.57125,12.64125,3889936
2015-01-07,12.73375,12.78625,12.66125,12.75375,3080992
2015-01-08,12.85375,13.07375,12.8525,13.04125,5625568
2015-01-09,13.10375,13.11875,12.907063,13.0075,3383096
2015-01-12,13.04625,13.04625,12.7985,12.8425,3072800
2015-01-13,12.95125,13.123738,12.73,12.84,3674504
2015-01-14,12.73125,12.8275,12.6375,12.7625,3972272
2015-01-15,12.81375,12.83125,12.55375,12.5675,3421152
2015-01-16,12.53125,12.706238,12.516675,12.69125,3829280
2015-01-20,12.7725,12.81875,12.625,12.78625,6254536
2015-01-21,12.74125,12.8775,12.682513,12.81,2766512
2015-01-22,12.87125,13.0625,12.74375,13.0525,4641696
2015-01-23,13.04625,13.14,13.01125,13.08875,3945240
2015-01-26,13.08875,13.08875,12.9925,13.05,3327296
2015-01-27,12.8375,12.8375,12.61,12.6725,4848088
2015-01-28,12.90625,12.93,12.65125,12.655,3857888
2015-01-29,12.645,12.799375,12.545,12.77875,5527688
2015-01-30,12.7325,12.814988,12.58625,12.60125,3404416
2015-02-02,12.625,12.72125,12.42755,12.71125,29252784
2015-02-03,12.75125,12.873763,12.7275,12.86875,3702016
2015-02-04,12.87,12.975,12.85625,12.88875,3239392
2015-02-05,12.9575,13.025013,12.91625,13.02,2684248
2015-02-06,13.06125,13.0975,12.92875,12.9675,2925440
2015-02-09,12.9325,13.00125,12.916675,12.9375,2535392
2015-02-10,13.0375,13.14875,12.97875,13.1325,2587304
2015-02-11,13.1475,13.218613,13.125,13.1875,2228904
2015-02-12,13.2925,13.4025,13.28625,13.39625,2699792
2015-02-13,13.44875,13.505,13.41,13.505,2482064
2015-02-17,13.5075,13.5225,13.46875,13.51125,2540088
2015-02-18,13.5,13.539988,13.475325,13.53625,2045480
2015-02-19,13.51375,13.60125,13.496938,13.59,1850016
2015-02-20,13.6,13.68125,13.524063,13.67625,2027400
2015-02-23,13.67125,13.67625,13.60125,13.67625,2875048
2015-02-24,13.6775,13.732488,13.6025,13.710013,2441368
2015-02-25,13.685,13.6925,13.604125,13.64,2842304
2015-02-26,13.66875,13.731875,13.641275,13.72375,2742520
2015-02-27,13.7225,13.7325,13.63975,13.65125,6551248
2015-03-02,13.66625,13.78625,13.6525,13.78,4373288
2015-03-03,13.75625,13.75625,13.6175,13.67375,3114936
2015-03-04,13.64,13.65375,13.54625,13.6275,11241480
2015-03-05,13.62625,13.6625,13.57375,13.6225,2738640
2015-03-06,13.635,13.64375,13.442538,13.46875,2741048
2015-03-09,13.5175,13.579875,13.466875,13.525,2624064
2015-03-10,13.435,13.441238,13.253538,13.2575,3149008
2015-03-11,13.265,13.297,13.172625,13.185,2815488
2015-03-12,13.15375,13.27,13.14045,13.26375,2910768
2015-03-13,13.2375,13.276888,13.116175,13.19625,2265536
2015-03-16,13.235,13.3575,13.2245,13.355,2652040
2015-03-17,13.33625,13.393375,13.29625,13.36875,2145544
2015-03-18,13.3425,13.58125,13.298125,13.53,1919128
2015-03-19,13.52625,13.56375,13.5,13.51875,2185568
2015-03-20,13.57625,13.659988,13.575,13.59625,2705832
2015-03-23,13.60625,13.662375,13.6,13.6,2020664
2015-03-24,13.61875,13.6475,13.555,13.5625,2642792
2015-03-25,13.56125,13.566375,13.1875,13.19,2816120
2015-03-26,13.11125,13.2525,13.0425,13.19875,3288104
2015-03-27,13.195,13.2625,13.136275,13.23125,2110888
2015-03-30,13.3225,13.391875,13.311263,13.38125,3564472
2015-03-31,13.34,13.7325,13.25125,13.315,8274720
2015-04-01,13.2625,13.27125,13.13,13.20875,3760312
2015-04-02,13.21875,13.27,13.18375,13.2075,4302944
2015-04-06,13.135,13.355,13.090013,13.33125,2370384
2015-04-07,13.31875,13.419375,13.31625,13.31625,3285024
2015-04-08,13.2625,13.402513,13.2625,13.36375,1878480
2015-04-09,13.3625,13.42625,13.3025,13.41875,1864952
2015-04-10,13.4025,13.4775,13.383763,13.4775,1397264
2015-04-13,13.4775,13.54,13.415,13.42125,2141088
2015-04-14,13.465,13.465,13.3,13.3725,2583448
2015-04-15,13.4125,13.531238,13.4025,13.49375,2559840
2015-04-16,13.45875,13.4975,13.43375,13.46625,2086536
2015-04-17,13.375,13.375,13.21625,13.26,2243376
2015-04-20,13.325,13.496225,13.325,13.47625,2413664
2015-04-21,13.54375,13.571238,13.4775,13.4875,1724360
2015-04-22,13.52375,13.635,13.46,13.6175,2055320
2015-04-23,13.5675,13.701188,13.5535,13.65,1908136
2015-04-24,13.77125,13.775,13.673763,13.7275,2026808
2015-04-27,13.76375,13.837688,13.726263,13.75875,4807944
2015-04-28,13.7875,13.838625,13.648563,13.77375,1901688
2015-04-29,13.7,13.77875,13.615013,13.71,1815576
2015-04-30,13.6375,13.66625,13.43875,13.48625,1813312
2015-05-01,13.53125,13.65875,13.52,13.65875,2328600
2015-05-04,13.68625,13.74,13.6625,13.66875,1974648
2015-05-05,13.62625,13.632,13.440013,13.455,1913240
2015-05-06,13.4825,13.535,13.283963,13.37875,2106472
2015-05-07,13.365,13.51625,13.365,13.475,1782408
2015-05-08,13.60875,13.67625,13.603725,13.665,1458968
2015-05-11,13.6575,13.68,13.609988,13.61125,3669768
2015-05-12,13.54375,13.59625,13.425,13.54,1985600
2015-05-13,13.57625,13.674988,13.57625,13.605,1553320
2015-05-14,13.7,13.8285,13.6915,13.82125,1894688
2015-05-15,13.86125,13.865,13.75,13.7825,1465208
2015-05-18,13.75625,13.87875,13.736,13.85375,2245296
2015-05-19,13.865,13.892488,13.82,13.83625,1998048
2015-05-20,13.84875,13.90375,13.782513,13.8325,1647768
2015-05-21,13.8125,13.89875,13.79375,13.88,1892448
2015-05-22,13.865,13.91875,13.865,13.885,1517168
2015-05-26,13.8375,13.86125,13.6375,13.6925,2333816
2015-05-27,13.73,13.94375,13.716263,13.925625,2331136
2015-05-28,13.91,13.93125,13.875,13.91875,1590464
2015-05-29,13.90625,13.91875,13.7825,13.8225,1908000
2015-06-01,13.8725,13.9075,13.766825,13.86375,6289608
2015-06-02,13.845,13.8975,13.73875,13.83125,1840448
2015-06-03,13.9025,13.942363,13.848763,13.8825,1481176
2015-06-04,13.84125,13.87245,13.715775,13.7525,1685472
2015-06-05,13.73375,13.77125,13.658288,13.7475,1622360
2015-06-08,13.7625,13.7625,13.54625,13.575,1659968
2015-06-09,13.565,13.591263,13.4375,13.55125,2004192
2015-06-10,13.60375,13.79,13.595,13.75625,2018832
2015-06-11,13.78625,13.8355,13.744,13.75875,1453776
2015-06-12,13.67875,13.711963,13.640338,13.66,1480744
2015-06-15,13.56,13.5969,13.46125,13.585,2032952
2015-06-16,13.605,13.695,13.568625,13.67,2648744
2015-06-17,13.68625,13.734863,13.62,13.69,3784992
2015-06-18,13.68625,13.82725,13.68625,13.805,2449408
2015-06-19,13.80875,13.82,13.702463,13.705,1613192
2015-06-22,13.80625,13.8375,13.767975,13.79625,1528048
2015-06-23,13.83625,13.83625,13.7575,13.80375,1610512
2015-06-24,13.7725,13.83625,13.72375,13.7275,1746184
2015-06-25,13.78,13.7927,13.6725,13.69375,2116400
2015-06-26,13.65,13.68125,13.5125,13.56125,1914416
2015-06-29,13.4325,13.4775,13.240625,13.2525,2638264
2015-06-30,13.3575,13.3575,13.23125,13.27875,2086064
2015-07-01,13.41125,13.47125,13.295,13.35,2590784
2015-07-02,13.3775,13.401913,13.30375,13.36125,1870576
2015-07-06,13.2625,13.36625,13.218763,13.30625,4090872
2015-07-07,13.31125,13.3225,13.05375,13.30875,2589856
2015-07-08,13.1925,13.223738,13.07375,13.08375,2355032
2015-07-09,13.21375,13.2775,13.0475,13.055,2257768
2015-07-10,13.185,13.291525,13.1764,13.24875,2270896
2015-07-13,13.355,13.46125,13.354,13.44375,2215576
2015-07-14,13.4525,13.544988,13.4525,13.50875,1870936
2015-07-15,13.525,13.561238,13.475,13.5125,1643368
2015-07-16,13.59375,13.66875,13.584688,13.667375,1649856
2015-07-17,13.7775,13.8625,13.7525,13.85625,1808440
2015-07-20,13.9125,13.96625,13.86125,13.9175,3019704
2015-07-21,13.90625,13.9319,13.83875,13.85125,2303824
2015-07-22,13.71375,13.71375,13.535125,13.65625,2449384
2015-07-23,13.69375,13.763738,13.59875,13.6325,1948744
2015-07-24,13.71,13.71,13.52125,13.53875,1952464
2015-07-27,13.47,13.493738,13.380013,13.400625,2406976
2015-07-28,13.475,13.5625,13.366013,13.53625,1585568
2015-07-29,13.535,13.625,13.464688,13.6075,1739120
2015-07-30,13.57375,13.66125,13.48875,13.64,1435696
2015-07-31,13.6725,13.6725,13.55875,13.58,3979832
2015-08-03,13.57,13.590175,13.4075,13.49875,2959392
2015-08-04,13.48,13.4883,13.367875,13.415,2422352
2015-08-05,13.4925,13.6525,13.46625,13.54625,2360760
2015-08-06,13.5675,13.61125,13.3656,13.405,2198632
2015-08-07,13.39875,13.431188,13.32375,13.41625,1398960
2015-08-10,13.52875,13.647,13.52875,13.62125,2100616
2015-08-11,13.58125,13.5877,13.355,13.39875,1635560
2015-08-12,13.3225,13.48875,13.174375,13.46375,2879240
2015-08-13,13.4925,13.52,13.407488,13.43,1441248
2015-08-14,13.385,13.51625,13.385,13.50125,1347688
2015-08-17,13.46,13.58875,13.4,13.58875,1436664
2015-08-18,13.54125,13.56,13.4825,13.50375,1953280
2015-08-19,13.44625,13.51125,13.32875,13.3925,2479176
2015-08-20,13.27,13.30875,13.0475,13.0475,3376480
2015-08-21,12.82625,13.005,12.55625,12.5575,5967728
2015-08-24,12.4325,12.565,9.63875,12.1,10098480
2015-08-25,12.235,12.65,11.96875,11.97,16720696
2015-08-26,12.08875,12.5925,12.08875,12.5675,5229816
2015-08-27,12.695,12.87,12.590175,12.87,4766304
2015-08-28,12.81625,12.91375,12.79625,12.8975,2215096
2015-08-31,12.84875,12.934988,12.7575,12.7925,2461720
2015-09-01,12.665,12.665,12.31425,12.385,4325672
2015-09-02,12.50875,12.675,12.43375,12.675,3311656
2015-09-03,12.72625,12.8425,12.64625,12.6875,2159184
2015-09-04,12.5625,12.59,12.44555,12.50375,2839384
2015-09-08,12.77125,12.866113,12.71,12.8525,2206184
2015-09-09,12.94875,13.0025,12.6675,12.6975,2153048
2015-09-10,12.6825,12.90625,12.66125,12.8225,2319000
2015-09-11,12.7525,12.885,12.73,12.885,1701392
2015-09-14,12.9375,12.94875,12.81685,12.8475,2047184
2015-09-15,12.89125,13.05,12.8575,13.01125,3069840
2015-09-16,13.0225,13.09875,12.98875,13.0825,1882320
2015-09-17,13.06,13.212488,12.991263,13.01125,2686488
2015-09-18,12.8625,12.9815,12.81875,12.84875,1728272
2015-09-21,12.91875,13.0225,12.854375,12.955,1271064
2015-09-22,12.76375,12.799488,12.6625,12.7525,2234776
2015-09-23,12.6625,12.694988,12.578763,12.6475,1669896
2015-09-24,12.52125,12.6675,12.42125,12.635,2728192
2015-09-25,12.75,12.7775,12.5405,12.605,2652944
2015-09-28,12.5375,12.57275,12.29875,12.3075,2740448
2015-09-29,12.35375,12.415,12.15625,12.24375,3439056
2015-09-30,12.395,12.512488,12.355,12.5,3087032
2015-10-01,12.54,12.54,12.3325,12.50625,2484304
2015-10-02,12.35375,12.69875,12.31625,12.69625,3675544
2015-10-05,12.76375,12.98625,12.76375,12.94875,3115744
2015-10-06,12.93,13.0,12.90375,12.97875,1928856
2015-10-07,13.05875,13.086238,12.88,13.04875,2662912
2015-10-08,13.02625,13.14125,12.943763,13.1125,1941560
2015-10-09,13.13125,13.1875,13.104375,13.18125,1888896
2015-10-12,13.21375,13.21375,13.12825,13.1925,1952144
2015-10-13,13.12375,13.2375,13.11375,13.13125,2026488
2015-10-14,13.10625,13.19375,13.05875,13.1225,1707200
2015-10-15,13.15625,13.2875,13.155,13.2775,5068112
2015-10-16,13.29625,13.31375,13.2325,13.31375,1980600
2015-10-19,13.28625,13.36,13.25,13.3575,1884128
2015-10-20,13.3125,13.3475,13.262513,13.31,1800840
2015-10-21,13.33125,13.3525,13.176,13.18375,1155152
2015-10-22,13.29,13.512588,13.29,13.485,2230488
2015-10-23,13.83125,13.900838,13.746875,13.85125,2675344
2015-10-26,13.83625,13.83625,13.737725,13.78875,2831536
2015-10-27,13.75625,13.79125,13.68375,13.7025,2236360
2015-10-28,13.755,13.9425,13.74,13.9425,2062376
2015-10-29,13.845,13.895,13.810013,13.8775,1963464
2015-10-30,13.9025,13.92,13.8075,13.8075,2960536
2015-11-02,13.87125,13.955,13.79875,13.94,3410376
2015-11-03,13.905,14.0885,13.877625,14.03125,2744920
2015-11-04,14.07375,14.089988,14.023425,14.0575,2237984
2015-11-05,14.125,14.1362,13.9863,14.015,2258888
2015-11-06,13.99375,14.09875,13.975,14.0975,2009784
2015-11-09,14.1,14.1,13.8875,13.96375,2307392
2015-11-10,13.9125,13.9125,13.79635,13.86125,2147208
2015-11-11,13.89375,13.9562,13.8294,13.85375,1603944
2015-11-12,13.795,13.845813,13.70875,13.715,1709304
2015-11-13,13.65125,13.675,13.44175,13.44625,2663504
2015-11-16,13.42875,13.6325,13.40375,13.62625,1980912
2015-11-17,13.64,13.7425,13.606075,13.635,2424008
2015-11-18,13.715,13.860625,13.68125,13.8525,1697224
2015-11-19,13.85375,13.98,13.85375,13.90875,1988496
2015-11-20,13.9625,14.03,13.95875,14.015,10271896
2015-11-23,14.07,14.07,13.896263,13.94125,3281080
2015-11-24,13.85125,13.99,13.8025,13.95875,2014696
2015-11-25,13.96375,13.973125,13.918825,13.9275,1796120
2015-11-27,13.93625,13.983438,13.9175,13.95125,1083936
2015-11-30,14.00375,14.011213,13.931563,13.97125,1779688
2015-12-01,14.0125,14.1,14.0,14.09625,5337408
2015-12-02,14.10375,14.164988,14.005,14.02125,2954248
2015-12-03,14.095,14.0975,13.756375,13.82625,2461456
2015-12-04,13.86625,14.156288,13.8375,14.1275,2863696
2015-12-07,14.12375,14.12375,13.97875,14.03625,2180440
2015-12-08,13.90625,14.045,13.86625,14.0125,3383792
2015-12-09,13.95875,14.033738,13.73625,13.8025,3429472
2015-12-10,13.85875,13.9325,13.78855,13.835,2669688
2015-12-11,13.70875,13.715,13.53125,13.54625,2622040
2015-12-14,13.54625,13.615,13.375,13.615,2764160
2015-12-15,13.7175,13.7765,13.666563,13.68,2649728
2015-12-16,13.78,13.88875,13.6565,13.8625,2470248
2015-12-17,13.92,13.9225,13.645,13.65125,4037672
2015-12-18,13.625,13.63125,13.37925,13.38125,2429176
2015-12-21,13.51125,13.53,13.4032,13.5125,2839336
2015-12-22,13.5625,13.62,13.492275,13.60125,2939840
2015-12-23,13.63625,13.675,13.595,13.67,3539160
2015-12-24,13.6775,13.707488,13.655,13.66375,1131536
2015-12-28,13.63,13.66125,13.53145,13.66125,1842624
2015-12-29,13.7425,13.869988,13.725013,13.83125,1975096
2015-12-30,13.83375,13.83375,13.72,13.725,1965360
2015-12-31,13.73375,13.73375,13.5325,13.53625,2279968
2016-01-04,13.28875,13.32625,13.1175,13.32625,4084920
2016-01-05,13.37,13.39375,13.21875,13.2625,3218368
2016-01-06,13.07,13.17125,12.99625,13.0825,5246056
2016-01-07,12.815,12.9552,12.655,12.66125,5978576
2016-01-08,12.775,12.8125,12.5325,12.5525,3668912
2016-01-11,12.62875,12.672488,12.44875,12.61375,3653664
2016-01-12,12.74875,12.80375,12.59,12.7575,3552704
2016-01-13,12.8225,12.85625,12.36875,12.4,4821872
2016-01-14,12.43375,12.7275,12.280013,12.63875,4549304
2016-01-15,12.24,12.36875,12.08625,12.2625,5220472
2016-01-19,12.39125,12.410725,12.113763,12.23,5467816
2016-01-20,12.0275,12.281238,11.78875,12.165,6693456
2016-01-21,12.22,12.3825,12.0625,12.19625,4530648
2016-01-22,12.43,12.54,12.42,12.5375,3721880
2016-01-25,12.5175,12.547975,12.34235,12.3525,14952456
2016-01-26,12.4075,12.5175,12.3225,12.48,2981832
2016-01-27,12.38625,12.4325,12.137513,12.18,3368656
2016-01-28,12.32875,12.368325,12.17875,12.315,3105312
2016-01-29,12.4125,12.74125,12.4125,12.74125,5857440
2016-02-01,12.68125,12.8275,12.650075,12.7725,2975496
2016-02-02,12.725,12.725,12.474875,12.51375,3022968
2016-02-03,12.59,12.63125,12.282813,12.485,3451464
2016-02-04,12.45375,12.60125,12.375,12.515,3097752
2016-02-05,12.43625,12.452663,12.01,12.04625,3602520
2016-02-08,11.84375,11.865,11.61875,11.82875,12211928
2016-02-09,11.6925,11.98085,11.67125,11.77375,5438280
2016-02-10,11.905,12.065,11.8125,11.8275,3738304
2016-02-11,11.675,11.872488,11.6325,11.78625,4978840
2016-02-12,11.90625,11.97375,11.82025,11.95875,15479944
2016-02-16,12.1,12.224988,12.06125,12.2075,3775104
2016-02-17,12.29875,12.5212,12.2775,12.5075,3444152
2016-02-18,12.55375,12.5625,12.413763,12.42875,3433064
2016-02-19,12.39125,12.5075,12.365,12.47875,2451856
2016-02-22,12.64125,12.66875,12.5908,12.65,2424384
2016-02-23,12.59125,12.61375,12.42625,12.435,2686168
2016-02-24,12.29875,12.575,12.22875,12.555,2224544
2016-02-25,12.58875,12.705,12.476063,12.7025,1993720
2016-02-26,12.77375,12.805,12.663763,12.69,2134672
2016-02-29,12.69,12.80875,12.6175,12.6175,1915064
2016-03-01,12.7225,13.0,12.706875,13.0,2998992
2016-03-02,12.9825,13.035,12.932625,13.03375,3316696
2016-03-03,13.03375,13.03375,13.03375,13.03875,2165816
2016-03-04,13.06875,13.16,12.99875,13.07875,2956168
2016-03-07,13.02625,13.06875,12.90275,13.0075,2402688
2016-03-08,12.92375,12.997125,12.8612,12.8775,2134088
2016-03-09,12.92625,13.0061,12.905,12.99875,7811952
2016-03-10,12.99875,12.99875,12.99875,12.97,2202960
