symbol,strategy,partition,cost_bps_per_side,total_return,cagr,sharpe,max_drawdown,calmar,trades,win_rate,exposure,spec
QQQ,gap,IS,0,0.5197094016476547,0.07239741188300308,0.5676729873233385,-0.2499220439717046,0.28967997673386386,113,0.6017699115044248,0.495364238410596,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,IS,5,0.3573294424846154,0.05234880954583976,0.4334869966577927,-0.259239755353302,0.20193202803519378,113,0.584070796460177,0.495364238410596,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,IS,10,0.21229960763923028,0.03267500856624883,0.29917315731296296,-0.2684419065672957,0.12172096743046165,113,0.5398230088495575,0.495364238410596,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,IS,25,-0.13625875815054644,-0.024167091795787687,-0.10289951738712373,-0.2953692637093892,-0.08181992768064535,113,0.415929203539823,0.495364238410596,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,IS,50,-0.5090879460165223,-0.11203744901055102,-0.7606446396974073,-0.5090879460165223,-0.22007484146347256,113,0.336283185840708,0.495364238410596,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,VALIDATION,0,0.4467735311713843,0.20358201748623728,1.3297657783348638,-0.11891710079165974,1.711965866397203,35,0.6,0.5349301397205589,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,VALIDATION,5,0.39701235372255694,0.18263148481917102,1.2103740049568699,-0.12155638879775055,1.502442501175641,35,0.6,0.5349301397205589,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,VALIDATION,10,0.34896266779189444,0.16204562405042222,1.0907374741180202,-0.12418777211781229,1.3048436354643322,35,0.6,0.5349301397205589,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,VALIDATION,25,0.21450375541531064,0.10241305259357225,0.7316108932271828,-0.1320347433337985,0.7756523018692184,35,0.4857142857142857,0.5349301397205589,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,VALIDATION,50,0.019521102284608238,0.009746894713211773,0.1396381828056695,-0.16644318347699427,0.05855989118688652,35,0.45714285714285713,0.5349301397205589,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,OOS_REUSED,0,0.3428255896683927,0.15892050435105842,1.3426805624770912,-0.11015024672690144,1.442761220000482,20,0.45,0.44930417495029823,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,OOS_REUSED,5,0.3162358592815966,0.14738119290224883,1.2541662145704573,-0.11325938798800617,1.3012713164038645,20,0.4,0.44930417495029823,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,OOS_REUSED,10,0.2901726279745733,0.1359567720963082,1.1654912815907341,-0.11635788834492544,1.1684362274888043,20,0.4,0.44930417495029823,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,OOS_REUSED,25,0.2150385862941515,0.1023614167338387,0.8994450475685203,-0.12558991496425398,0.8150448765171415,20,0.3,0.44930417495029823,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,gap,OOS_REUSED,50,0.09941077390128772,0.04856194062183605,0.4613767897558886,-0.1407672498112813,0.3449803891668005,20,0.25,0.44930417495029823,FMZ436872 defaults 40/20; exact long-only slope rule
QQQ,rsi2,IS,0,0.4139510100656041,0.05955616567492439,0.7187823049963981,-0.18654843885386652,0.319253090729845,75,0.64,0.1986754966887417,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,IS,5,0.31178383137740306,0.0463672334211489,0.5717741422609578,-0.1994600962018529,0.23246370729825291,75,0.6266666666666667,0.1986754966887417,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,IS,10,0.2169988517877619,0.03334246526033535,0.4249035780415334,-0.21216681723092812,0.15715212065440237,75,0.6133333333333333,0.1986754966887417,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,IS,25,-0.028207389262356886,-0.004767223036110879,-0.011578472885226251,-0.24908969206447273,-0.019138580149984537,75,0.5333333333333333,0.1986754966887417,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,IS,50,-0.33210101007497916,-0.0651864082288649,-0.7074978131685035,-0.3488728022246004,-0.18684863885405037,75,0.44,0.1986754966887417,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,VALIDATION,0,0.06352490020840884,0.031382499075671255,0.36351064485321893,-0.10110480099684593,0.3103957355759027,38,0.6052631578947368,0.2954091816367265,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,VALIDATION,5,0.023869181148408636,0.011905194875673875,0.16966974501169413,-0.1078214087270929,0.11041587210019813,38,0.5526315789473685,0.2954091816367265,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,VALIDATION,10,-0.014307911378273697,-0.00720429658920374,-0.02440714672908176,-0.11448805419399044,-0.06292618596693644,38,0.5263157894736842,0.2954091816367265,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,VALIDATION,25,-0.12050871772978977,-0.06239478724440406,-0.603055691508725,-0.15793988652897772,-0.39505402096737796,38,0.5,0.2954091816367265,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,VALIDATION,50,-0.2726986661701286,-0.14764649561640697,-1.527579394824461,-0.2863133350409739,-0.5156815193231482,38,0.34210526315789475,0.2954091816367265,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,OOS_REUSED,0,0.17761007540557538,0.08523819897758256,0.978562584989885,-0.08323667196838935,1.0240462161912638,26,0.6923076923076923,0.20675944333996024,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,OOS_REUSED,5,0.14738681585845548,0.07121186953713443,0.8282157057497893,-0.08643962105782543,0.8238336617590664,26,0.6923076923076923,0.20675944333996024,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,OOS_REUSED,10,0.11793921908992244,0.0573668186896481,0.6781007016267803,-0.08963115381944808,0.6400321344206629,26,0.6923076923076923,0.20675944333996024,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,OOS_REUSED,25,0.03405374656234472,0.016895994695854677,0.2324539130426953,-0.10379152003851633,0.16278781435694062,26,0.5769230769230769,0.20675944333996024,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,rsi2,OOS_REUSED,50,-0.09200385125690203,-0.04714317628714637,-0.4771157094258458,-0.17776426776928755,-0.2652005202098964,26,0.46153846153846156,0.20675944333996024,FMZ482838 defaults RSI2<25 recovery + SMA50; exact source counter semantics
QQQ,volume,IS,0,-0.04140744214036818,-0.0070378128756547476,-0.1177181156971347,-0.10836965418250866,-0.06494265326160542,9,0.5555555555555556,0.04701986754966887,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,IS,5,-0.049996069082425376,-0.008529199856186276,-0.14799763776869557,-0.10836965418250866,-0.07870468832374411,9,0.5555555555555556,0.04701986754966887,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,IS,10,-0.058507749410555365,-0.010018347580907028,-0.17817691050962176,-0.1099068428080956,-0.09115308314696753,9,0.5555555555555556,0.04701986754966887,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,IS,25,-0.08358801449619135,-0.014472396212035887,-0.2678484244515678,-0.12052416386640574,-0.12007879372702161,9,0.3333333333333333,0.04701986754966887,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,IS,50,-0.1239130244785015,-0.021851406652515504,-0.41293026576694636,-0.13793920365511303,-0.15841331596454764,9,0.2222222222222222,0.04701986754966887,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,VALIDATION,0,-0.04576558140995679,-0.02322934044269709,-0.3691394294772316,-0.07338324861107803,-0.3165482706524709,7,0.5714285714285714,0.1277445109780439,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,VALIDATION,5,-0.05242189860465585,-0.026653761232833695,-0.42772524558493275,-0.07430940228562966,-0.3586862552114504,7,0.5714285714285714,0.1277445109780439,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,VALIDATION,10,-0.05903178756844496,-0.030066178187696524,-0.485812829944967,-0.0752346307317352,-0.399632162679229,7,0.5714285714285714,0.1277445109780439,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,VALIDATION,25,-0.07858614421674515,-0.0402318428759072,-0.656334899868483,-0.08232898673385092,-0.48867166318913546,7,0.42857142857142855,0.1277445109780439,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
