entry_date,exit_date,return
2024-10-18,2024-10-24,-0.04797487121916322
2025-05-28,2025-06-03,-0.030626859729738443
2025-06-17,2025-06-24,0.046493497626715286
2025-07-29,2025-08-04,-0.10467459249295996
2025-08-05,2025-08-11,0.02195092900460005
2025-08-25,2025-08-29,-0.003092727584694588
2025-10-14,2025-10-20,0.12173029174266614
2025-10-24,2025-10-30,0.11450832518940746
2025-11-06,2025-11-12,-0.054626191939942115
2026-01-05,2026-01-09,0.012669786999335964
2026-02-03,2026-02-09,-0.10387451394911773
2026-04-30,2026-05-06,0.2826694474502087
2026-05-20,2026-05-27,0.5041935931053252
2026-06-09,2026-06-15,0.1691118847736952
2026-06-26,2026-07-02,-0.032920931551761345
