entry_date,exit_date,return
2016-09-22,2016-11-04,-0.04457516441155229
2016-12-14,2017-07-05,0.1304786286708146
2017-07-20,2018-02-09,0.07592005188167272
2018-03-12,2018-03-29,-0.09147162066561965
2018-06-04,2018-10-08,0.03453822913978266
2019-02-26,2019-05-14,0.03501627168113952
2019-07-05,2019-08-06,-0.04257322006359754
2019-10-28,2020-02-26,0.1003664020830024
2020-05-08,2021-03-04,0.3784972109950935
2021-04-14,2021-09-29,0.05749857287612814
2021-10-29,2022-01-20,-0.031514276666469554
2022-08-01,2022-09-02,-0.060799397788678156
