period,cost_bps_per_side,source,start,end,sessions,total_return,cagr,sharpe,sortino,annual_volatility,max_drawdown,calmar,trades,win_rate,profit_factor_return,profit_factor_dollar,avg_trade,median_trade,avg_holding_calendar_days,avg_holding_sessions,close_position_fraction,exposed_return_days,ending_equity,open_position_at_end,sum_cost_dollars,worst_day
IS,0,HYBRID_YAHOO_ON_FLAGGED_ROWS_SENSITIVITY_NOT_AUTHORITATIVE,2016-09-06,2022-09-02,1510,11.8572276264,0.53192764978,1.16541900173,2.00605164052,0.451895044581,-0.459114260955,1.15859535418,59,0.728813559322,3.71495554869,3.92141970011,0.0535258217939,0.0492112882019,3.64406779661,2.52542372881,0.101324503311,0.140397350993,1285722.76264,True,0,-0.308959371496
IS,10,HYBRID_YAHOO_ON_FLAGGED_ROWS_SENSITIVITY_NOT_AUTHORITATIVE,2016-09-06,2022-09-02,1510,10.4147522374,0.501782563822,1.12204335115,1.92094480054,0.451557806456,-0.461273483307,1.08782009368,59,0.728813559322,3.54337006135,3.73162534525,0.0514208750971,0.0471149619518,3.64406779661,2.52542372881,0.101324503311,0.140397350993,1141475.22374,True,47724.8634367,-0.309650412125
VALIDATION,0,HYBRID_YAHOO_ON_FLAGGED_ROWS_SENSITIVITY_NOT_AUTHORITATIVE,2022-09-06,2024-09-03,501,1.37089314028,0.542054511592,1.35890685784,2.75395246481,0.366977259854,-0.143682155597,3.7725945114,21,0.761904761905,5.01933108695,4.19540017403,0.0452917186627,0.029243697479,4.14285714286,2.7619047619,0.115768463074,0.157684630739,237089.314028,False,0,-0.0902051877662
VALIDATION,10,HYBRID_YAHOO_ON_FLAGGED_ROWS_SENSITIVITY_NOT_AUTHORITATIVE,2022-09-06,2024-09-03,501,1.27337775335,0.509900120591,1.30110592109,2.60873457162,0.367069952494,-0.147100586694,3.46633641679,21,0.714285714286,4.67870210444,3.92866471432,0.0432032237203,0.027187266515,4.14285714286,2.7619047619,0.115768463074,0.157684630739,227337.775335,False,6502.11816156,-0.0902051877662
OOS_REUSED,0,HYBRID_YAHOO_ON_FLAGGED_ROWS_SENSITIVITY_NOT_AUTHORITATIVE,2024-09-04,2026-09-04,503,1.69372863238,0.641815315893,1.13414583492,2.69826852199,0.554142279672,-0.23964945388,2.67814220104,12,0.916666666667,129.97851025,173.043375719,0.088190434359,0.0696512691141,3.83333333333,2.58333333333,0.0616302186879,0.0854870775348,269372.863238,False,0,-0.145262333594
OOS_REUSED,10,HYBRID_YAHOO_ON_FLAGGED_ROWS_SENSITIVITY_NOT_AUTHORITATIVE,2024-09-04,2026-09-04,503,1.62984874872,0.622217931531,1.11270154743,2.63439519126,0.553930237418,-0.24116863579,2.5800118224,12,0.916666666667,102.32732387,134.884072301,0.086016227697,0.0675141037412,3.83333333333,2.58333333333,0.0616302186879,0.0854870775348,262984.874872,False,3720.42739934,-0.146117071261
FULL_CONTINUOUS,0,HYBRID_YAHOO_ON_FLAGGED_ROWS_SENSITIVITY_NOT_AUTHORITATIVE,2016-09-06,2026-09-04,2514,66.8839685997,0.525113572053,1.12812074414,2.09462168082,0.465889874744,-0.459114260955,1.14375356357,97,0.721649484536,3.73604410918,5.5323285024,0.0496439547564,0.0417403976267,3.9175257732,2.69072164948,0.103818615752,0.142402545744,6788396.85997,False,0,-0.308959371496
FULL_CONTINUOUS,10,HYBRID_YAHOO_ON_FLAGGED_ROWS_SENSITIVITY_NOT_AUTHORITATIVE,2016-09-06,2026-09-04,2514,54.9131636946,0.495791632287,1.0867167484,2.00619562254,0.465676571619,-0.461273483307,1.07483228547,97,0.711340206186,3.54680433218,5.05202250625,0.0475467640376,0.0396589982309,3.9175257732,2.69072164948,0.103818615752,0.142402545744,5591316.36946,False,199823.990224,-0.309650412125
LEGACY_CONTINUOUS,0,HYBRID_YAHOO_ON_FLAGGED_ROWS_SENSITIVITY_NOT_AUTHORITATIVE,2016-09-06,2026-09-04,2514,71.2979892599,0.534758188946,1.14058022703,2.12067627729,0.466639760723,-0.459114260955,1.16476057144,98,0.724489795918,3.77298880769,5.53646571166,0.0498008839954,0.0419318390575,3.88775510204,2.67346938776,0.104216388226,0.143198090692,7229798.92599,False,0,-0.308959371496
