wr_entry,cci_entry,adx_entry,start,end,sessions,total_return,cagr,sharpe,sortino,annual_volatility,max_drawdown,calmar,trades,win_rate,profit_factor_return,profit_factor_dollar,avg_trade,median_trade,avg_holding_calendar_days,avg_holding_sessions,close_position_fraction,exposed_return_days,ending_equity,open_position_at_end,sum_cost_dollars,worst_day
-95,-100,10,2016-09-06,2022-09-02,1510,1.01107741356,0.123765050508,0.50621409958,0.756987631835,0.360471861552,-0.461273483307,0.268311652386,33,0.757575757576,2.17430880847,1.80169975807,0.0338557232665,0.0296395870731,3.72727272727,2.45454545455,0.0562913907285,0.0781456953642,201107.741356,True,10743.0885245,-0.309650412125
-95,-100,15,2016-09-06,2022-09-02,1510,1.01291429842,0.123936408732,0.514625522534,0.763612187993,0.344025552909,-0.461273483307,0.268683141818,29,0.758620689655,2.50443825767,2.39228630448,0.0365468018022,0.0371097205659,3.58620689655,2.41379310345,0.0490066225166,0.0682119205298,201291.429842,True,8633.18952662,-0.309650412125
-95,-100,20,2016-09-06,2022-09-02,1510,0.478426696051,0.067476188767,0.3694379631,0.534949656164,0.311451517272,-0.447321441805,0.15084496843,19,0.736842105263,2.23925293798,2.18714273018,0.0383318382776,0.0400411160918,3.94736842105,2.57894736842,0.0350993377483,0.0476821192053,147842.669605,True,4398.49699723,-0.309650412125
-95,-80,10,2016-09-06,2022-09-02,1510,3.04212938473,0.262727765283,0.791536471924,1.25873613742,0.391200582698,-0.461273483307,0.569570492973,39,0.794871794872,2.96754017119,2.64012429149,0.0479979532693,0.0471149619518,3.79487179487,2.48717948718,0.0668874172185,0.0927152317881,404212.938473,True,17243.3793431,-0.309650412125
-95,-80,15,2016-09-06,2022-09-02,1510,3.04582139887,0.262920313349,0.80885853307,1.28368377057,0.376107697103,-0.461273483307,0.569987920104,35,0.8,3.57568764739,4.06120369978,0.0518439589135,0.0537336184526,3.68571428571,2.45714285714,0.0596026490066,0.0827814569536,404582.139887,True,14249.773092,-0.309650412125
-95,-80,20,2016-09-06,2022-09-02,1510,1.70217666648,0.180593369789,0.651647944528,1.01983372118,0.34810254685,-0.447321441805,0.403721692974,24,0.791666666667,3.34795960646,3.95004657262,0.0574953431627,0.0638366655437,4,2.625,0.0443708609272,0.0602649006623,270217.666648,True,7217.88577836,-0.309650412125
-95,-60,10,2016-09-06,2022-09-02,1510,5.22355312204,0.357100584231,0.959934364719,1.54252992042,0.402145237447,-0.461273483307,0.774162394229,46,0.826086956522,3.21473025841,3.04864871405,0.0512642249627,0.0580001340032,3.60869565217,2.41304347826,0.076821192053,0.107284768212,622355.312204,True,25214.7916721,-0.309650412125
-95,-60,15,2016-09-06,2022-09-02,1510,4.24328427646,0.318805283385,0.911023525162,1.45389382537,0.385258501542,-0.461273483307,0.691141578527,41,0.829268292683,3.58329104999,4.03177109651,0.0515300379946,0.0622666495538,3.53658536585,2.39024390244,0.0682119205298,0.0953642384106,524328.427646,True,19693.7456868,-0.309650412125
-95,-60,20,2016-09-06,2022-09-02,1510,2.45294826393,0.229937122327,0.757671794722,1.19421050075,0.357993578859,-0.447321441805,0.514031076621,29,0.827586206897,3.37340804789,3.9390019594,0.0573754758343,0.0727899194923,3.8275862069,2.55172413793,0.0523178807947,0.0715231788079,345294.826393,True,10084.5891062,-0.309650412125
-90,-100,10,2016-09-06,2022-09-02,1510,2.61468817105,0.239376304408,0.70567762757,1.11970272605,0.440465675345,-0.492060950604,0.486476937692,57,0.701754385965,2.20762964343,1.87485229095,0.0329360485695,0.0185455967484,3.9649122807,2.71929824561,0.105298013245,0.143046357616,361468.817105,True,24093.6829296,-0.309650412125
