start,end,sessions,total_return,cagr,sharpe,sortino,annual_volatility,max_drawdown,calmar,trades,win_rate,profit_factor_return,profit_factor_dollar,avg_trade,median_trade,avg_holding_calendar_days,avg_holding_sessions,close_position_fraction,exposed_return_days,ending_equity,open_position_at_end,sum_cost_dollars,worst_day,period,mode,cost_bps_per_side,source
2016-09-06,2022-09-02,1510,11.8572276264,0.53192764978,1.16541900173,2.00605164052,0.451895044581,-0.459114260955,1.15859535418,59,0.728813559322,3.71495554869,3.92141970011,0.0535258217939,0.0492112882019,3.64406779661,2.52542372881,0.101324503311,0.140397350993,1285722.76264,True,0,-0.308959371496,IS,LOCAL_WARMUP,0,Tradier
2016-09-06,2022-09-02,1510,11.1145381873,0.516780191343,1.14374688227,1.96340993795,0.451721190987,-0.460194951472,1.12295927995,59,0.728813559322,3.6280404805,3.82534871769,0.0524728224718,0.0481626012572,3.64406779661,2.52542372881,0.101324503311,0.140397350993,1211453.81873,True,24930.7566189,-0.309304891811,IS,LOCAL_WARMUP,5,Tradier
2016-09-06,2022-09-02,1510,10.4147522374,0.501782563822,1.12204335115,1.92094480054,0.451557806456,-0.461273483307,1.08782009368,59,0.728813559322,3.54337006135,3.73162534525,0.0514208750971,0.0471149619518,3.64406779661,2.52542372881,0.101324503311,0.140397350993,1141475.22374,True,47724.8634367,-0.309650412125,IS,LOCAL_WARMUP,10,Tradier
2016-09-06,2022-09-02,1510,8.54873437593,0.457673841598,1.05675903308,1.79461875912,0.451130414256,-0.464496175137,0.985312401039,59,0.728813559322,3.30198957997,3.4636093653,0.0482713289172,0.043978314196,3.64406779661,2.52542372881,0.101324503311,0.140397350993,954873.437593,True,104756.831828,-0.310686973068,IS,LOCAL_WARMUP,25,Tradier
2016-09-06,2022-09-02,1510,6.09161894255,0.387019763666,0.947462147444,1.58772374451,0.450626877807,-0.469824604541,0.82375371559,59,0.694915254237,2.9335641901,3.05441116043,0.043042977796,0.0387713748865,3.64406779661,2.52542372881,0.101324503311,0.140397350993,709161.894255,True,169435.548908,-0.312414574639,IS,LOCAL_WARMUP,50,Tradier
2016-09-06,2022-09-02,1510,3.31595232089,0.27662662207,0.741634115706,1.04611352051,0.949913321313,-0.841074119742,0.328896842237,0,,,,,,,,1,1,431595.232089,True,99.9000999001,-0.385929740838,IS,BUY_HOLD,10,Tradier
2022-09-06,2024-09-03,501,1.37089314028,0.542054511592,1.35890685784,2.75395246481,0.366977259854,-0.143682155597,3.7725945114,21,0.761904761905,5.01933108695,4.19540017403,0.0452917186627,0.029243697479,4.14285714286,2.7619047619,0.115768463074,0.157684630739,237089.314028,False,0,-0.0902051877662,VALIDATION,LOCAL_WARMUP,0,Tradier
2022-09-06,2024-09-03,501,1.32162352187,0.525892625736,1.33001976301,2.68098813202,0.367016893777,-0.145393079934,3.61704027437,21,0.761904761905,4.84917240153,4.06181638953,0.0442469493287,0.0282149681462,4.14285714286,2.7619047619,0.115768463074,0.157684630739,232162.352187,False,3289.56975414,-0.0902051877662,VALIDATION,LOCAL_WARMUP,5,Tradier
2022-09-06,2024-09-03,501,1.27337775335,0.509900120591,1.30110592109,2.60873457162,0.367069952494,-0.147100586694,3.46633641679,21,0.714285714286,4.67870210444,3.92866471432,0.0432032237203,0.027187266515,4.14285714286,2.7619047619,0.115768463074,0.157684630739,227337.775335,False,6502.11816156,-0.0902051877662,VALIDATION,LOCAL_WARMUP,10,Tradier
2022-09-06,2024-09-03,501,1.13457276769,0.462921154461,1.21423644603,2.39623072082,0.367309404165,-0.152202678175,3.04147837614,21,0.714285714286,4.1897203456,3.54655002584,0.0400782936319,0.0241103124542,4.14285714286,2.7619047619,0.115768463074,0.157684630739,213457.276769,False,15694.5134363,-0.0902051877662,VALIDATION,LOCAL_WARMUP,25,Tradier
2022-09-06,2024-09-03,501,0.921805265177,0.38784775685,1.0692221698,2.05605324279,0.367974230782,-0.160638524883,2.4144130876,21,0.571428571429,3.47745988125,2.98339490816,0.0348908060391,0.0190024666583,4.14285714286,2.7619047619,0.115768463074,0.157684630739,192180.526518,False,29626.9086442,-0.0902051877662,VALIDATION,LOCAL_WARMUP,50,Tradier
