date,open,high,low,close,volume,atr,ema10,ema20,range,volume_ref,volume_ratio,pivot_hi,pivot_lo,contraction_ratio,weekly_ema10,weekly_ema20,weekly_support,weekly_ext,weekly_available,state_before,cpa_state,cpa_event,cycle_id,base_count,extension_count,signal_target,signal_reason,signal_stop,pivot,features_ready
2020-01-02,28.3,28.713047,28.114,28.684,143375790,0.940496714285714,27.521567985524264,26.20690737422358,0.5990469999999988,150981349.5,0.9496258344147335,29.020667,26.805333,1.145562989144156,23.500213686092508,21.087297903284426,14.066667,0.18094891655888373,2019-12-28,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-03,29.366667,30.266667,29.128,29.534,266920460,1.0057347857142855,27.88746471542894,26.52377333858324,1.1386670000000017,153190032.0,1.7424140233876313,29.020667,26.805333,1.0266675165407946,23.500213686092508,21.087297903284426,14.066667,0.18094891655888373,2019-12-28,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-06,29.364667,30.104,29.333333,30.102667,152362490,1.0104491428571427,28.290228767169133,26.864620353956262,0.7706669999999995,162383863.75,0.9382859015756114,30.266667,26.805333,1.3472530027901963,24.597265743166595,21.891745722019245,14.066667,0.1671542715796507,2020-01-04,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-07,30.76,31.442,30.223667,31.270667,273137070,0.9860205714285711,28.832126627683834,27.284243844055666,1.2183330000000012,167199256.25,1.633602182964256,30.266667,28.114,1.419731717389702,24.597265743166595,21.891745722019245,14.066667,0.1671542715796507,2020-01-04,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-08,31.58,33.232667,31.215333,32.809333,467990900,1.084401571428571,29.555255059014044,27.81044281128846,2.017333999999998,175141907.0,2.6720669428362456,31.442,29.128,1.2340821796269925,24.597265743166595,21.891745722019245,14.066667,0.1671542715796507,2020-01-04,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-09,33.14,33.253333,31.524667,32.089333,426947790,1.1305919999999994,30.015996502829672,28.217956162594323,1.728665999999997,191761289.0,2.226454527013531,33.232667,29.333333,1.2658849715982654,24.597265743166595,21.891745722019245,14.066667,0.1671542715796507,2020-01-04,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-10,32.119333,32.329333,31.58,31.876667,194652480,1.1188777142857138,30.35430022958791,28.56640481377582,0.749333,206478715.25,0.9427241920036113,33.253333,30.223667,1.604327038094694,24.597265743166595,21.891745722019245,14.066667,0.1671542715796507,2020-01-04,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-13,32.9,35.042,32.8,34.990667,399518210,1.2839491428571423,31.19727600602647,29.17823930770193,2.2420000000000044,211021967.75,1.8932541206956877,33.253333,31.215333,1.3105519072361218,25.92079324440903,22.84269060563646,14.066667,0.18684116992504177,2020-01-11,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-14,36.283667,36.494,34.993333,35.861333,435920660,1.3131395714285705,32.04528636856711,29.814724421254127,1.500667,225165720.0,1.935999227591127,35.042,31.524667,1.55836972326415,25.92079324440903,22.84269060563646,14.066667,0.18684116992504177,2020-01-11,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-15,35.317333,35.856,34.452353,34.566667,260532470,1.3529119285714277,32.50371921064582,30.267290381134686,1.4036469999999994,242031042.25,1.076442375234204,36.494,31.58,1.645171397982299,25.92079324440903,22.84269060563646,14.066667,0.18684116992504177,2020-01-11,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-16,32.916667,34.297333,32.811333,34.232667,326049800,1.439102428571428,32.81807335416476,30.644945297217095,1.4860000000000042,241391960.75,1.3507069538975938,36.494,32.8,1.3273414497928988,25.92079324440903,22.84269060563646,14.066667,0.18684116992504177,2020-01-11,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-17,33.840667,34.377993,33.544,34.033333,204436100,1.4548637857142854,33.03902965340753,30.967648887958326,0.8339929999999995,251316619.5,0.813460329073064,36.494,32.811333,1.0739023289897534,25.92079324440903,22.84269060563646,14.066667,0.18684116992504177,2020-01-11,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-21,35.35,36.572,35.227333,36.48,267052070,1.5356204999999998,33.664660625515246,31.49263470815277,1.3446670000000012,250936130.5,1.0642232725430505,36.494,32.811333,1.151437935096796,27.395800472698298,23.908466071766323,14.066667,0.19503034061640984,2020-01-18,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-22,38.126,39.633333,37.273333,37.970667,470535420,1.6693823571428574,34.44757087542156,32.109590164519176,2.3599999999999994,250698503.5,1.8768976018239374,36.572,32.811333,0.8256975594500828,27.395800472698298,23.908466071766323,14.066667,0.19503034061640984,2020-01-18,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-23,37.616667,38.8,37.04018,38.146667,294765630,1.7361995000000001,35.12013380716309,32.6845498631364,1.7598199999999977,263136370.0,1.1202010197222072,39.633333,33.544,0.9017124302015057,27.395800472698298,23.908466071766323,14.066667,0.19503034061640984,2020-01-18,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-24,38.042,38.257333,36.950667,37.654667,215304000,1.716485142857143,35.58095802404253,33.1578943523615,1.3066659999999999,267875035.5,0.8037479102825914,39.633333,35.227333,1.021007400929107,27.395800472698298,23.908466071766323,14.066667,0.19503034061640984,2020-01-18,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-27,36.132667,37.629333,35.952,37.201333,204121020,1.783056571428572,35.87557165603479,33.54298374737469,1.6773330000000044,272599195.5,0.7487953866687035,39.633333,36.950667,1.0302776602565782,29.261048932207697,25.217628064931436,14.066667,0.22291043146902098,2020-01-25,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-28,37.899333,38.454,37.205333,37.793333,176827400,1.7768661428571435,36.224255536755734,33.94777891429139,1.2486669999999975,274819029.5,0.6434321535947349,39.633333,35.952,1.1315481669853642,29.261048932207697,25.217628064931436,14.066667,0.22291043146902098,2020-01-25,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
2020-01-29,38.379333,39.319993,37.828667,38.732667,273250080,1.7418180000000008,36.68033034825469,34.40348254150174,1.4913259999999937,276192779.0,0.9893454890071547,39.633333,35.952,1.2715054131741113,29.261048932207697,25.217628064931436,14.066667,0.22291043146902098,2020-01-25,DOWNTREND,DOWNTREND,,5,0,0,,,,,True
